uid,step
662,1
793,2
909,3
1099,4
434,5
472,6
640,7
44,8
125,9
146,10
288,11
313,12
315,13
554,14
574,15
198,16
385,17
324,18
120,19
176,20
427,21
90,22
399,23
710,24
960,25
1020,26
1045,27
730,28
954,29
212,30
326,31
1029,32
586,33
691,34
694,35
751,36
975,37
491,38
767,39
1043,40
1090,41
661,42
1109,43
119,44
624,45
902,46
396,47
438,48
567,49
658,50
705,51
897,52
950,53
1108,54
452,55
335,56
883,57
824,58
1078,59
895,60
968,61
216,62
217,63
343,64
337,65
303,66
295,67
836,68
512,69
284,70
38,71
8,72
856,73
99,74
268,75
305,76
320,77
321,78
1112,79
527,80
403,81
502,82
560,83
693,84
1015,85
230,86
251,87
291,88
329,89
520,90
579,91
889,92
1040,93
605,94
857,95
577,96
789,97
839,98
723,99
210,100
749,101
986,102
702,103
108,104
468,105
498,106
781,107
816,108
1095,109
949,110
286,111
299,112
644,113
57,114
139,115
855,116
534,117
984,118
28,119
223,120
233,121
465,122
417,123
743,124
802,125
398,126
152,127
270,128
32,129
525,130
1060,131
145,132
1013,133
966,134
1088,135
490,136
526,137
391,138
555,139
840,140
140,141
499,142
25,143
556,144
853,145
117,146
163,147
70,148
669,149
882,150
899,151
977,152
263,153
301,154
645,155
670,156
1036,157
920,158
654,159
34,160
33,161
867,162
931,163
308,164
443,165
221,166
431,167
1081,168
466,169
762,170
1084,171
112,172
591,173
395,174
1073,175
492,176
755,177
829,178
981,179
1037,180
1093,181
101,182
115,183
225,184
363,185
716,186
851,187
584,188
26,189
39,190
185,191
322,192
1077,193
685,194
1087,195
440,196
1018,197
376,198
830,199
42,200
409,201
660,202
908,203
973,204
721,205
1016,206
957,207
366,208
518,209
364,210
160,211
460,212
760,213
450,214
254,215
888,216
107,217
439,218
758,219
904,220
677,221
995,222
477,223
149,224
756,225
1058,226
106,227
187,228
248,229
298,230
633,231
665,232
707,233
1017,234
1114,235
237,236
158,237
667,238
367,239
759,240
757,241
815,242
1101,243
5,244
69,245
696,246
306,247
1044,248
687,249
285,250
643,251
197,252
126,253
148,254
168,255
448,256
522,257
681,258
49,259
165,260
886,261
1038,262
56,263
244,264
796,265
102,266
467,267
503,268
838,269
893,270
917,271
652,272
956,273
179,274
214,275
470,276
593,277
682,278
382,279
795,280
397,281
731,282
657,283
566,284
74,285
985,286
446,287
726,288
922,289
1052,290
635,291
500,292
182,293
389,294
423,295
613,296
369,297
1042,298
253,299
327,300
402,301
231,302
916,303
602,304
30,305
457,306
388,307
772,308
818,309
820,310
1085,311
708,312
200,313
930,314
799,315
869,316
267,317
342,318
1057,319
67,320
480,321
18,322
154,323
782,324
362,325
451,326
493,327
482,328
133,329
872,330
898,331
100,332
407,333
604,334
754,335
1110,336
689,337
418,338
832,339
914,340
1035,341
736,342
339,343
167,344
338,345
1070,346
143,347
1010,348
21,349
92,350
380,351
733,352
774,353
1053,354
191,355
289,356
259,357
22,358
16,359
91,360
814,361
903,362
65,363
672,364
1054,365
905,366
938,367
103,368
676,369
239,370
48,371
129,372
243,373
974,374
61,375
456,376
894,377
495,378
348,379
547,380
873,381
809,382
921,383
991,384
1051,385
169,386
879,387
1062,388
1076,389
45,390
292,391
573,392
627,393
771,394
24,395
1094,396
571,397
436,398
610,399
673,400
675,401
861,402
929,403
205,404
215,405
496,406
843,407
454,408
344,409
479,410
923,411
445,412
953,413
325,414
962,415
31,416
166,417
365,418
1023,419
111,420
159,421
318,422
598,423
204,424
993,425
854,426
910,427
972,428
906,429
768,430
227,431
371,432
578,433
787,434
1025,435
368,436
258,437
151,438
852,439
901,440
273,441
374,442
1041,443
63,444
416,445
236,446
717,447
1100,448
932,449
934,450
1046,451
1047,452
674,453
252,454
459,455
704,456
15,457
646,458
833,459
961,460
688,461
1019,462
969,463
937,464
241,465
510,466
1113,467
172,468
213,469
370,470
173,471
316,472
354,473
278,474
747,475
642,476
765,477
559,478
53,479
98,480
59,481
620,482
486,483
1063,484
501,485
552,486
575,487
589,488
590,489
636,490
419,491
1001,492
1005,493
517,494
519,495
695,496
523,497
821,498
769,499
58,500
296,501
750,502
351,503
713,504
546,505
928,506
476,507
333,508
432,509
712,510
1002,511
400,512
462,513
538,514
887,515
279,516
651,517
262,518
509,519
247,520
352,521
862,522
1048,523
860,524
424,525
497,526
530,527
55,528
387,529
806,530
871,531
983,532
473,533
606,534
625,535
345,536
516,537
700,538
229,539
458,540
543,541
933,542
565,543
729,544
220,545
116,546
1072,547
357,548
585,549
881,550
884,551
804,552
426,553
485,554
11,555
823,556
2,557
741,558
341,559
697,560
619,561
1071,562
997,563
1082,564
441,565
437,566
199,567
722,568
14,569
488,570
803,571
1092,572
737,573
95,574
157,575
174,576
37,577
570,578
1003,579
529,580
600,581
753,582
778,583
1091,584
181,585
615,586
12,587
868,588
137,589
334,590
632,591
393,592
951,593
40,594
1007,595
611,596
680,597
494,598
19,599
222,600
825,601
310,602
536,603
256,604
80,605
122,606
340,607
390,608
647,609
79,610
939,611
275,612
246,613
603,614
828,615
242,616
124,617
41,618
850,619
545,620
742,621
266,622
202,623
797,624
890,625
203,626
1055,627
684,628
161,629
808,630
858,631
224,632
649,633
1075,634
614,635
800,636
870,637
720,638
819,639
47,640
563,641
83,642
51,643
947,644
924,645
406,646
1106,647
71,648
718,649
475,650
1086,651
245,652
844,653
504,654
193,655
17,656
1068,657
996,658
935,659
347,660
653,661
130,662
372,663
1006,664
548,665
826,666
863,667
435,668
281,669
1,670
507,671
1061,672
150,673
171,674
276,675
277,676
413,677
421,678
551,679
379,680
433,681
648,682
671,683
987,684
811,685
75,686
540,687
805,688
287,689
936,690
162,691
940,692
549,693
383,694
404,695
582,696
113,697
264,698
1080,699
489,700
735,701
686,702
