board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,430,430,5.0,5.0,335.0,260.0,335.0,260.0,0
1,785,785,5.0,265.0,2172.5,918.5,2172.5,918.5,0
1,688,688,340.0,5.0,1797.5,260.0,1797.5,260.0,0
1,317,317,2177.5,5.0,250.0,1177.0,250.0,1177.0,0
2,533,533,5.0,5.0,2360.0,800.0,2360.0,800.0,0
2,81,81,5.0,805.0,2299.0,400.0,2299.0,400.0,0
2,13,13,2365.0,5.0,70.0,1113.0,1113.0,70.0,1
3,569,569,5.0,5.0,2360.0,800.0,2360.0,800.0,0
3,788,788,5.0,805.0,2335.0,380.0,2335.0,380.0,0
3,618,618,2365.0,5.0,70.0,1075.0,1075.0,70.0,1
4,900,900,5.0,5.0,2400.0,750.0,2400.0,750.0,0
4,539,539,5.0,755.0,2299.0,415.0,2299.0,415.0,0
5,332,332,5.0,5.0,2390.0,655.0,2390.0,655.0,0
5,219,219,5.0,660.0,2250.0,534.0,2250.0,534.0,0
5,876,876,2255.0,660.0,143.5,550.0,143.5,550.0,0
6,355,355,5.0,5.0,2240.0,684.0,2240.0,684.0,0
6,86,86,5.0,689.0,2340.0,522.0,2340.0,522.0,0
6,394,394,2245.0,5.0,182.0,600.0,600.0,182.0,1
6,282,282,2345.0,605.0,70.0,544.0,544.0,70.0,1
7,269,269,5.0,5.0,2250.0,534.0,2250.0,534.0,0
7,744,744,5.0,539.0,2333.0,600.0,2333.0,600.0,0
7,78,78,5.0,1139.0,2000.0,63.0,2000.0,63.0,0
7,773,773,2255.0,5.0,160.0,480.0,480.0,160.0,1
7,15,15,2338.0,485.0,82.0,636.0,82.0,636.0,0
7,750,750,2005.0,1139.0,383.0,75.0,383.0,75.0,0
8,792,792,5.0,5.0,2240.0,684.0,2240.0,684.0,0
8,891,891,5.0,689.0,2340.0,522.0,2340.0,522.0,0
8,68,68,2245.0,5.0,180.0,590.0,180.0,590.0,0
8,810,810,2345.0,595.0,70.0,544.0,544.0,70.0,1
9,848,848,5.0,5.0,2240.0,684.0,2240.0,684.0,0
9,628,628,5.0,689.0,2299.0,520.0,2299.0,520.0,0
9,420,420,2304.0,5.0,120.0,1170.0,1170.0,120.0,1
10,979,979,5.0,5.0,2240.0,684.0,2240.0,684.0,0
10,375,375,5.0,689.0,2390.0,495.0,2390.0,495.0,0
10,532,532,2245.0,5.0,180.0,570.0,180.0,570.0,0
11,265,265,5.0,5.0,2335.0,590.0,2335.0,590.0,0
11,1050,1050,5.0,595.0,2315.0,590.0,2315.0,590.0,0
11,945,945,2340.0,5.0,70.0,974.0,974.0,70.0,1
12,913,913,5.0,5.0,2299.0,590.0,2299.0,590.0,0
12,1105,1105,5.0,595.0,2295.0,573.0,2295.0,573.0,0
13,314,314,5.0,5.0,2150.0,590.0,2150.0,590.0,0
13,474,474,5.0,595.0,2299.0,540.0,2299.0,540.0,0
13,1090,1090,2155.0,5.0,264.0,311.0,264.0,311.0,0
13,662,662,2155.0,316.0,264.0,273.0,264.0,273.0,0
13,487,487,5.0,1135.0,1874.0,70.0,1874.0,70.0,0
13,1064,1064,2304.0,589.0,119.0,592.0,592.0,119.0,1
13,482,482,1879.0,1135.0,383.0,80.0,383.0,80.0,0
14,274,274,5.0,5.0,1852.0,683.0,1852.0,683.0,0
14,706,706,5.0,688.0,2360.0,500.0,2360.0,500.0,0
14,293,293,1857.0,5.0,574.0,667.0,667.0,574.0,1
14,749,749,2365.0,672.0,60.0,384.0,384.0,60.0,1
15,948,948,5.0,5.0,1852.0,683.0,1852.0,683.0,0
15,194,194,5.0,688.0,2335.0,492.0,2335.0,492.0,0
15,294,294,1857.0,5.0,574.0,667.0,667.0,574.0,1
16,447,447,5.0,5.0,2254.0,550.0,2254.0,550.0,0
16,780,780,5.0,555.0,2254.0,550.0,2254.0,550.0,0
16,855,855,2259.0,5.0,167.0,353.0,353.0,167.0,1
17,959,959,5.0,5.0,2254.0,550.0,2254.0,550.0,0
17,1111,1111,5.0,555.0,2254.0,550.0,2254.0,550.0,0
18,82,82,5.0,5.0,2254.0,544.0,2254.0,544.0,0
18,147,147,5.0,549.0,2254.0,544.0,2254.0,544.0,0
18,1074,1074,5.0,1093.0,2390.0,120.0,2390.0,120.0,0
18,580,580,2259.0,5.0,160.0,874.0,874.0,160.0,1
19,429,429,5.0,5.0,2250.0,534.0,2250.0,534.0,0
19,378,378,5.0,539.0,2100.0,560.0,2100.0,560.0,0
19,535,535,2105.0,539.0,297.0,609.7,609.7,297.0,1
19,77,77,5.0,1099.0,1956.0,81.0,1956.0,81.0,0
19,52,52,2255.0,5.0,158.0,480.0,480.0,158.0,1
20,537,537,5.0,5.0,1207.0,983.5,1207.0,983.5,0
20,588,588,1212.0,5.0,1207.0,983.5,1207.0,983.5,0
20,541,541,5.0,988.5,2254.0,204.0,2254.0,204.0,0
21,841,841,5.0,5.0,1360.0,869.0,1360.0,869.0,0
21,469,469,1365.0,5.0,973.5,1187.0,1187.0,973.5,1
21,561,561,5.0,874.0,1260.0,334.0,1260.0,334.0,0
21,422,422,2338.5,5.0,94.0,913.5,913.5,94.0,1
22,123,123,5.0,5.0,1523.5,765.5,1523.5,765.5,0
22,631,631,5.0,770.5,2205.0,419.0,2205.0,419.0,0
22,360,360,1528.5,5.0,782.0,755.0,755.0,782.0,1
22,1004,1004,2310.5,5.0,120.0,1170.0,1170.0,120.0,1
22,1005,1005,2210.0,760.0,80.0,383.0,383.0,80.0,1
23,300,300,5.0,5.0,1523.5,765.5,1523.5,765.5,0
23,144,144,5.0,770.5,2187.0,419.0,2187.0,419.0,0
23,3,3,1528.5,5.0,870.0,633.0,870.0,633.0,0
23,1024,1024,2192.0,638.0,226.0,520.0,226.0,520.0,0
24,272,272,5.0,5.0,2100.0,554.0,2100.0,554.0,0
24,311,311,5.0,559.0,2100.0,554.0,2100.0,554.0,0
24,350,350,2105.0,5.0,311.0,1155.5,1155.5,311.0,1
24,748,748,5.0,1113.0,1970.0,100.0,1970.0,100.0,0
25,328,328,5.0,5.0,2100.0,554.0,2100.0,554.0,0
25,683,683,5.0,559.0,2100.0,554.0,2100.0,554.0,0
25,478,478,2105.0,5.0,311.0,1155.5,1155.5,311.0,1
25,875,875,5.0,1113.0,1970.0,100.0,1970.0,100.0,0
26,1030,1030,5.0,5.0,2100.0,554.0,2100.0,554.0,0
26,1031,1031,5.0,559.0,2100.0,554.0,2100.0,554.0,0
26,599,599,2105.0,5.0,298.5,1133.5,298.5,1133.5,0
26,1067,1067,5.0,1113.0,1770.0,100.0,1770.0,100.0,0
26,874,874,1775.0,1138.5,621.0,70.0,621.0,70.0,0
27,817,817,5.0,5.0,2000.0,580.0,2000.0,580.0,0
27,912,912,5.0,585.0,2000.0,580.0,2000.0,580.0,0
27,226,226,2005.0,5.0,383.0,1080.0,1080.0,383.0,1
28,724,724,5.0,5.0,1187.0,973.5,1187.0,973.5,0
28,709,709,1192.0,5.0,1215.0,947.5,1215.0,947.5,0
28,425,425,5.0,978.5,2254.0,230.0,2254.0,230.0,0
28,118,118,2259.0,952.5,163.5,260.0,163.5,260.0,0
29,1021,1021,5.0,5.0,1215.0,947.5,1215.0,947.5,0
29,183,183,1220.0,5.0,1073.0,1062.5,1073.0,1062.5,0
29,572,572,5.0,952.5,1133.0,262.0,1133.0,262.0,0
30,621,621,5.0,5.0,1908.0,603.0,1908.0,603.0,0
30,766,766,5.0,608.0,1908.0,603.0,1908.0,603.0,0
30,622,622,1913.0,5.0,510.0,964.0,964.0,510.0,1
30,1015,1015,1913.0,969.0,350.0,201.0,350.0,201.0,0
31,776,776,5.0,5.0,2335.0,492.0,2335.0,492.0,0
31,401,401,5.0,497.0,1610.5,707.5,1610.5,707.5,0
31,664,664,1615.5,497.0,784.0,660.0,784.0,660.0,0
32,35,35,5.0,5.0,2100.0,534.0,2100.0,534.0,0
32,639,639,5.0,539.0,2100.0,534.0,2100.0,534.0,0
