uid,step
430,1
785,2
533,3
569,4
900,5
332,6
355,7
219,8
269,9
792,10
848,11
979,12
744,13
265,14
1050,15
913,16
1105,17
314,18
274,19
948,20
474,21
447,22
780,23
959,24
1111,25
82,26
147,27
86,28
891,29
429,30
628,31
537,32
588,33
375,34
841,35
706,36
378,37
123,38
300,39
272,40
311,41
328,42
683,43
1030,44
1031,45
817,46
912,47
469,48
724,49
709,50
1021,51
621,52
766,53
194,54
776,55
183,56
401,57
35,58
639,59
1096,60
725,61
958,62
659,63
715,64
779,65
96,66
89,67
186,68
336,69
655,70
849,71
892,72
539,73
631,74
81,75
144,76
595,77
788,78
521,79
592,80
865,81
238,82
540,83
794,84
805,85
62,86
798,87
597,88
641,89
701,90
952,91
679,92
1104,93
783,94
290,95
134,96
740,97
29,98
505,99
576,100
699,101
386,102
770,103
601,104
1014,105
1028,106
461,107
373,108
9,109
506,110
464,111
528,112
845,113
846,114
964,115
1082,116
441,117
784,118
608,119
1049,120
178,121
629,122
823,123
2,124
741,125
777,126
309,127
245,128
844,129
504,130
481,131
988,132
583,133
349,134
989,135
980,136
607,137
994,138
228,139
287,140
557,141
54,142
630,143
896,144
609,145
926,146
131,147
136,148
925,149
1056,150
138,151
868,152
196,153
137,154
919,155
184,156
1089,157
822,158
827,159
235,160
531,161
970,162
164,163
195,164
437,165
634,166
104,167
384,168
334,169
356,170
357,171
585,172
626,173
955,174
881,175
85,176
866,177
297,178
442,179
752,180
826,181
863,182
132,183
801,184
864,185
935,186
347,187
412,188
414,189
807,190
250,191
1102,192
260,193
435,194
653,195
508,196
6,197
7,198
544,199
611,200
415,201
680,202
360,203
513,204
965,205
763,206
494,207
121,208
1039,209
130,210
84,211
23,212
20,213
885,214
668,215
775,216
1098,217
109,218
911,219
358,220
240,221
907,222
834,223
3,224
27,225
656,226
880,227
976,228
331,229
553,230
642,231
765,232
978,233
559,234
735,235
1083,236
732,237
686,238
915,239
50,240
150,241
171,242
276,243
277,244
379,245
433,246
648,247
671,248
425,249
155,250
664,251
562,252
594,253
761,254
53,255
114,256
842,257
524,258
110,259
383,260
404,261
582,262
632,263
703,264
330,265
638,266
511,267
113,268
232,269
302,270
319,271
257,272
428,273
622,274
264,275
307,276
529,277
600,278
753,279
778,280
1091,281
1092,282
737,283
637,284
46,285
95,286
157,287
174,288
646,289
833,290
961,291
1033,292
1034,293
1103,294
177,295
963,296
650,297
837,298
413,299
987,300
405,301
727,302
688,303
678,304
739,305
884,306
542,307
541,308
990,309
341,310
361,311
684,312
161,313
808,314
858,315
275,316
790,317
246,318
224,319
603,320
828,321
587,322
971,323
1019,324
1026,325
463,326
1032,327
93,328
312,329
564,330
786,331
256,332
80,333
122,334
340,335
390,336
501,337
552,338
575,339
589,340
590,341
636,342
832,343
914,344
1035,345
736,346
1012,347
339,348
167,349
369,350
175,351
561,352
1042,353
98,354
226,355
281,356
568,357
253,358
327,359
402,360
517,361
519,362
695,363
514,364
647,365
201,366
523,367
821,368
1113,369
19,370
172,371
213,372
370,373
400,374
462,375
