board,n_parts,used_area,waste_area,board_area,U
1,12,2351303.0,625497.0,2976800.0,0.789876041386724
2,8,2798257.0,178543.0,2976800.0,0.9400218355280838
3,4,2837925.0,138875.0,2976800.0,0.9533475544208546
4,3,2828100.0,148700.0,2976800.0,0.9500470303681806
5,4,2894831.5,81968.5,2976800.0,0.9724642233270626
6,5,2873090.0,103710.0,2976800.0,0.9651605751142166
7,4,2906297.0,70503.0,2976800.0,0.9763158425154528
8,7,2860702.0,116098.0,2976800.0,0.9609990593926364
9,6,2858316.95,118483.04999999981,2976800.0,0.9601978466809998
10,3,2827734.5,149065.5,2976800.0,0.9499242475141091
11,3,2866152.0,110648.0,2976800.0,0.9628298844396668
12,5,2888286.0,88514.0,2976800.0,0.9702653856490191
13,4,2860240.0,116560.0,2976800.0,0.9608438591776404
14,2,2405520.0,571280.0,2976800.0,0.8080892233270626
15,2,2405520.0,571280.0,2976800.0,0.8080892233270626
16,5,2838825.0,137975.0,2976800.0,0.9536498925020156
17,6,2871357.0,105443.0,2976800.0,0.9645784063423811
18,4,2846350.0,130450.0,2976800.0,0.9561777747917226
19,5,2833635.0,143165.0,2976800.0,0.9519064095673206
20,3,2634117.0,342683.0,2976800.0,0.8848820881483472
21,5,2887327.0,89473.0,2976800.0,0.969943227626982
22,5,2919299.5,57500.5,2976800.0,0.9806837879602257
23,5,2916069.5,60730.5,2976800.0,0.9795987301800592
24,4,2852720.0,124080.0,2976800.0,0.9583176565439399
25,6,2858028.0,118772.0,2976800.0,0.960100779360387
26,4,2885270.0,91530.0,2976800.0,0.9692522171459285
27,4,2863079.0,113721.0,2976800.0,0.9617975678581027
28,6,2823851.0,152949.0,2976800.0,0.9486196586938995
29,4,2811082.0,165718.0,2976800.0,0.9443301531846278
30,4,2811301.0,165499.0,2976800.0,0.9444037221177103
31,5,2875989.0,100811.0,2976800.0,0.9661344396667563
32,4,2830641.5,146158.5,2976800.0,0.950900799516259
33,4,2802616.0,174184.0,2976800.0,0.9414861596345069
34,4,2641049.0,335751.0,2976800.0,0.8872107632356894
35,4,2637664.0,339136.0,2976800.0,0.8860736361193228
36,4,2632448.0,344352.0,2976800.0,0.8843214189733942
37,4,2613580.0,363220.0,2976800.0,0.8779830690674549
38,4,2602816.0,373984.0,2976800.0,0.8743671056167697
39,4,2602816.0,373984.0,2976800.0,0.8743671056167697
40,4,2602816.0,373984.0,2976800.0,0.8743671056167697
41,4,2602816.0,373984.0,2976800.0,0.8743671056167697
42,4,2602816.0,373984.0,2976800.0,0.8743671056167697
43,5,2816848.0,159952.0,2976800.0,0.9462671324912658
44,6,2778467.0,198333.0,2976800.0,0.9333737570545553
45,6,2777487.0,199313.0,2976800.0,0.933044544477291
46,6,2774189.0,202611.0,2976800.0,0.9319366433754367
47,4,2646630.0,330170.0,2976800.0,0.8890855952700887
48,7,2815288.0,161512.0,2976800.0,0.9457430798172535
49,4,2879096.0,97704.0,2976800.0,0.9671781779091642
50,5,2864580.0,112220.0,2976800.0,0.9623018005912389
51,5,2864300.0,112500.0,2976800.0,0.9622077398548777
52,6,2813020.5,163779.5,2976800.0,0.9449813558183284
53,4,2762576.0,214224.0,2976800.0,0.9280354743348562
54,4,2852812.5,123987.5,2976800.0,0.9583487301800592
55,4,2896877.5,79922.5,2976800.0,0.9731515385649019
56,3,2551754.0,425046.0,2976800.0,0.8572137866165009
57,3,2613940.0,362860.0,2976800.0,0.8781040042999194
58,3,2344884.0,631916.0,2976800.0,0.7877196990056436
59,4,2882854.0,93946.0,2976800.0,0.9684406073636119
60,5,2882166.0,94634.0,2976800.0,0.9682094866971245
61,7,2849120.0,127680.0,2976800.0,0.9571083042192959
62,6,2780739.5,196060.5,2976800.0,0.9341371607094867
63,3,2465294.5,511505.5,2976800.0,0.8281693429185703
64,7,2878359.0,98441.0,2976800.0,0.9669305966138135
65,4,2851079.0,125721.0,2976800.0,0.9577663934426229
66,5,2872186.0,104614.0,2976800.0,0.9648568933082504
67,4,2490939.0,485861.0,2976800.0,0.8367841306100511
68,5,2910351.0,66449.0,2976800.0,0.9776777076054824
69,4,2847750.0,129050.0,2976800.0,0.9566480784735286
70,5,2824560.0,152240.0,2976800.0,0.9488578339156141
71,6,2852200.5,124599.5,2976800.0,0.9581431402848697
72,4,2640193.0,336607.0,2976800.0,0.8869232061273851
73,3,2459680.0,517120.0,2976800.0,0.8262832571889277
74,7,2848698.0,128102.0,2976800.0,0.9569665412523515
75,4,2856824.0,119976.0,2976800.0,0.9596963181940339
76,5,2841447.0,135353.0,2976800.0,0.9545307041117979
77,7,2815472.25,161327.75,2976800.0,0.9458049751410911
78,4,2529314.75,447485.25,2976800.0,0.8496757424079548
79,8,2807074.25,169725.75,2976800.0,0.9429838249126579
80,5,2870317.0,106483.0,2976800.0,0.9642290378930395
81,7,2879325.25,97474.75,2976800.0,0.96725519013706
82,5,2599610.0,377190.0,2976800.0,0.873290110185434
83,5,2583759.5,393040.5,2976800.0,0.8679654326793873
84,5,2796542.0,180258.0,2976800.0,0.9394457135178715
85,8,2855249.75,121550.25,2976800.0,0.9591674785004031
86,6,2556393.9,420406.1000000001,2976800.0,0.8587724737973663
87,7,2795060.0,181740.0,2976800.0,0.9389478634775598
88,4,2366511.75,610288.25,2976800.0,0.7949851350443429
89,8,2808509.0,168291.0,2976800.0,0.9434658022037087
90,5,2515824.0,460976.0,2976800.0,0.8451437785541521
91,5,2364299.0,612501.0,2976800.0,0.7942418032786885
92,7,2797746.5,179053.5,2976800.0,0.9398503426498254
93,6,2700597.0,276203.0,2976800.0,0.9072147944101048
94,8,2802491.0,174309.0,2976800.0,0.9414441682343456
95,8,2764260.0,212540.0,2976800.0,0.9286011824778285
96,6,2769381.0,207419.0,2976800.0,0.9303214861596345
97,7,2842565.0,134235.0,2976800.0,0.9549062751948401
98,6,2782538.0,194262.0,2976800.0,0.9347413329750067
99,5,2537154.0,439646.0,2976800.0,0.8523091910776673
100,5,2455594.0,521206.0,2976800.0,0.8249106423004569
101,6,2611943.0,364857.0,2976800.0,0.8774331496909433
