board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,348,348,5.0,5.0,419.5,279.0,419.5,279.0,0
1,723,723,5.0,284.0,419.5,279.0,419.5,279.0,0
1,1018,1018,5.0,563.0,857.0,299.0,857.0,299.0,0
1,1168,1168,862.0,5.0,299.0,857.0,857.0,299.0,1
1,459,459,1161.0,5.0,544.0,470.0,470.0,544.0,1
1,578,578,1161.0,475.0,544.0,470.0,470.0,544.0,1
1,1060,1060,1705.0,5.0,470.0,544.0,470.0,544.0,0
1,143,143,1705.0,549.0,531.0,477.0,477.0,531.0,1
1,591,591,424.5,5.0,330.0,351.0,351.0,330.0,1
1,1010,1010,5.0,862.0,351.0,330.0,351.0,330.0,0
1,736,736,356.0,862.0,411.0,281.0,411.0,281.0,0
1,827,827,767.0,945.0,882.0,269.0,882.0,269.0,0
2,719,719,5.0,5.0,762.0,329.0,762.0,329.0,0
2,1016,1016,767.0,5.0,419.5,279.0,419.5,279.0,0
2,602,602,5.0,334.0,2376.0,620.0,2376.0,620.0,0
2,22,22,1186.5,5.0,860.0,323.0,860.0,323.0,0
2,363,363,5.0,954.0,896.0,261.0,896.0,261.0,0
2,934,934,901.0,954.0,896.0,261.0,896.0,261.0,0
2,372,372,1797.0,954.0,587.0,199.5,199.5,587.0,1
2,317,317,2046.5,5.0,316.0,300.0,316.0,300.0,0
3,756,756,5.0,5.0,1864.5,924.0,1864.5,924.0,0
3,105,105,1869.5,5.0,543.0,1009.0,1009.0,543.0,1
3,1178,1178,5.0,929.0,1680.0,250.5,1680.0,250.5,0
3,480,480,1685.0,1014.0,732.0,200.0,200.0,732.0,1
4,973,973,5.0,5.0,1833.0,800.0,1833.0,800.0,0
4,672,672,5.0,805.0,2375.0,380.0,2375.0,380.0,0
4,45,45,1838.0,5.0,574.0,800.0,800.0,574.0,1
5,310,310,5.0,5.0,1897.0,762.0,1897.0,762.0,0
5,1175,1175,5.0,767.0,2350.0,442.0,2350.0,442.0,0
5,673,673,1902.0,5.0,519.0,732.5,732.5,519.0,1
5,875,875,2355.0,737.5,70.0,435.0,435.0,70.0,1
6,516,516,5.0,5.0,2326.0,575.0,2326.0,575.0,0
6,1164,1164,5.0,580.0,2326.0,575.0,2326.0,575.0,0
6,1005,1005,5.0,1155.0,1704.0,60.0,1704.0,60.0,0
6,126,126,2331.0,5.0,70.0,991.0,991.0,70.0,1
6,873,873,1709.0,1155.0,443.0,60.0,443.0,60.0,0
7,526,526,5.0,5.0,1775.0,753.0,1775.0,753.0,0
7,434,434,5.0,758.0,2363.0,449.0,2363.0,449.0,0
7,205,205,1780.0,5.0,655.0,733.0,655.0,733.0,0
7,726,726,2368.0,738.0,60.0,477.0,477.0,60.0,1
8,490,490,5.0,5.0,1301.0,975.0,1301.0,975.0,0
8,357,357,1306.0,5.0,762.0,825.0,762.0,825.0,0
8,920,920,2068.0,5.0,363.0,839.0,839.0,363.0,1
8,579,579,1306.0,844.0,845.0,350.0,845.0,350.0,0
8,93,93,5.0,980.0,870.0,225.0,870.0,225.0,0
8,1106,1106,2151.0,844.0,280.0,300.0,280.0,300.0,0
8,286,286,875.0,980.0,360.0,232.0,232.0,360.0,1
9,597,597,5.0,5.0,1264.0,997.0,1264.0,997.0,0
9,283,283,1269.0,5.0,748.5,808.5,748.5,808.5,0
9,1114,1114,2017.5,5.0,409.0,914.0,914.0,409.0,1
9,817,817,5.0,1002.0,1864.0,200.0,1864.0,200.0,0
9,370,370,1869.0,919.0,487.7,291.0,487.7,291.0,0
9,21,21,1269.0,813.5,580.0,180.0,180.0,580.0,1
10,465,465,5.0,5.0,1555.5,804.0,1555.5,804.0,0
10,670,670,5.0,809.0,2420.0,370.0,2420.0,370.0,0
10,734,734,1560.5,5.0,857.5,795.0,795.0,857.5,1
11,231,231,5.0,5.0,2400.0,520.0,2400.0,520.0,0
11,994,994,5.0,525.0,1785.0,680.0,1785.0,680.0,0
11,117,117,1790.0,525.0,624.0,648.0,624.0,648.0,0
12,644,644,5.0,5.0,1945.0,620.0,1945.0,620.0,0
12,39,39,5.0,625.0,2340.0,514.0,2340.0,514.0,0
12,683,683,1950.0,5.0,476.0,586.0,476.0,586.0,0
12,122,122,5.0,1139.0,2243.0,70.0,2243.0,70.0,0
12,870,870,2345.0,591.0,70.0,624.0,624.0,70.0,1
13,113,113,5.0,5.0,2340.0,514.0,2340.0,514.0,0
13,263,263,5.0,519.0,2340.0,514.0,2340.0,514.0,0
13,329,329,5.0,1033.0,2114.0,180.0,2114.0,180.0,0
13,999,999,2345.0,5.0,70.0,1060.0,1060.0,70.0,1
14,311,311,5.0,5.0,2340.0,514.0,2340.0,514.0,0
14,494,494,5.0,519.0,2340.0,514.0,2340.0,514.0,0
15,583,583,5.0,5.0,2340.0,514.0,2340.0,514.0,0
15,852,852,5.0,519.0,2340.0,514.0,2340.0,514.0,0
16,178,178,5.0,5.0,2114.0,561.0,2114.0,561.0,0
16,1113,1113,5.0,566.0,2114.0,561.0,2114.0,561.0,0
16,186,186,2119.0,5.0,302.0,1028.5,1028.5,302.0,1
16,801,801,5.0,1127.0,1732.0,70.0,1732.0,70.0,0
16,1136,1136,1737.0,1127.0,501.0,70.0,501.0,70.0,0
17,188,188,5.0,5.0,2055.0,573.0,2055.0,573.0,0
17,1053,1053,5.0,578.0,2090.0,560.0,2090.0,560.0,0
17,921,921,2095.0,5.0,330.0,961.0,961.0,330.0,1
17,332,332,2095.0,966.0,338.0,214.0,214.0,338.0,1
17,1069,1069,5.0,1138.0,957.0,70.0,957.0,70.0,0
17,1142,1142,962.0,1138.0,957.0,70.0,957.0,70.0,0
18,142,142,5.0,5.0,2150.0,544.0,2150.0,544.0,0
18,976,976,5.0,549.0,2150.0,544.0,2150.0,544.0,0
18,814,814,2155.0,5.0,274.0,975.0,975.0,274.0,1
18,1068,1068,5.0,1093.0,2400.0,100.0,2400.0,100.0,0
19,1173,1173,5.0,5.0,2150.0,544.0,2150.0,544.0,0
