uid,step
348,1
723,2
1018,3
1168,4
459,5
578,6
1060,7
143,8
591,9
1010,10
736,11
719,12
1016,13
756,14
602,15
973,16
310,17
516,18
1164,19
526,20
490,21
597,22
465,23
231,24
994,25
644,26
39,27
113,28
263,29
311,30
494,31
583,32
852,33
178,34
1113,35
188,36
1053,37
142,38
976,39
1173,40
838,41
618,42
82,43
260,44
423,45
675,46
832,47
1098,48
1115,49
1190,50
1233,51
714,52
43,53
1057,54
287,55
453,56
1163,57
94,58
849,59
685,60
889,61
747,62
139,63
424,64
84,65
1059,66
88,67
534,68
120,69
277,70
298,71
412,72
737,73
758,74
1037,75
79,76
106,77
136,78
195,79
325,80
327,81
355,82
467,83
503,84
505,85
577,86
622,87
628,88
629,89
773,90
775,91
795,92
904,93
958,94
991,95
1118,96
472,97
744,98
172,99
413,100
468,101
601,102
796,103
196,104
224,105
210,106
434,107
752,108
1100,109
680,110
996,111
69,112
1038,113
1175,114
986,115
1224,116
73,117
248,118
1019,119
1066,120
911,121
1040,122
270,123
662,124
152,125
808,126
1188,127
426,128
903,129
238,130
242,131
244,132
672,133
267,134
908,135
670,136
557,137
1045,138
1181,139
42,140
246,141
436,142
790,143
1227,144
687,145
147,146
938,147
1052,148
1093,149
1195,150
933,151
985,152
68,153
444,154
742,155
1032,156
116,157
611,158
679,159
984,160
1089,161
479,162
853,163
1088,164
845,165
1110,166
663,167
203,168
858,169
463,170
387,171
762,172
487,173
841,174
932,175
1199,176
916,177
1051,178
576,179
30,180
513,181
748,182
207,183
646,184
818,185
264,186
204,187
382,188
473,189
497,190
1036,191
1096,192
1101,193
734,194
215,195
138,196
1189,197
85,198
455,199
18,200
712,201
418,202
961,203
625,204
26,205
405,206
543,207
226,208
357,209
401,210
866,211
306,212
307,213
283,214
1107,215
440,216
1034,217
1025,218
634,219
1186,220
954,221
1017,222
691,223
252,224
1104,225
766,226
105,227
141,228
652,229
91,230
156,231
636,232
302,233
1128,234
599,235
787,236
698,237
724,238
1139,239
295,240
923,241
67,242
442,243
64,244
159,245
200,246
495,247
584,248
881,249
488,250
358,251
230,252
235,253
446,254
501,255
573,256
930,257
931,258
1135,259
374,260
530,261
846,262
1176,263
119,264
228,265
408,266
476,267
477,268
512,269
643,270
815,271
33,272
71,273
280,274
506,275
739,276
1138,277
1030,278
175,279
237,280
304,281
484,282
569,283
606,284
772,285
840,286
1041,287
41,288
651,289
87,290
217,291
349,292
448,293
515,294
998,295
273,296
227,297
233,298
696,299
733,300
1015,301
1065,302
924,303
173,304
529,305
620,306
935,307
510,308
410,309
697,310
28,311
268,312
338,313
768,314
820,315
205,316
521,317
988,318
989,319
1094,320
894,321
171,322
192,323
300,324
326,325
769,326
745,327
927,328
78,329
229,330
619,331
109,332
1197,333
163,334
328,335
345,336
356,337
365,338
419,339
422,340
552,341
715,342
879,343
275,344
568,345
540,346
45,347
55,348
956,349
253,350
323,351
631,352
245,353
213,354
585,355
851,356
257,357
308,358
421,359
1229,360
8,361
471,362
962,363
666,364
150,365
221,366
334,367
347,368
369,369
549,370
586,371
587,372
922,373
1119,374
1008,375
942,376
225,377
844,378
428,379
499,380
741,381
191,382
101,383
276,384
13,385
563,386
692,387
425,388
475,389
564,390
590,391
1179,392
1178,393
810,394
919,395
902,396
478,397
975,398
1174,399
319,400
1183,401
1154,402
1169,403
432,404
767,405
560,406
247,407
411,408
928,409
1007,410
249,411
409,412
430,413
466,414
759,415
979,416
1171,417
117,418
107,419
359,420
32,421
216,422
321,423
322,424
504,425
983,426
378,427
158,428
169,429
170,430
285,431
293,432
312,433
630,434
637,435
833,436
835,437
850,438
964,439
86,440
1024,441
19,442
686,443
802,444
953,445
132,446
415,447
518,448
604,449
749,450
897,451
437,452
925,453
337,454
385,455
329,456
673,457
218,458
324,459
389,460
647,461
878,462
1026,463
1114,464
118,465
817,466
340,467
955,468
541,469
296,470
757,471
1219,472
144,473
174,474
206,475
303,476
517,477
605,478
750,479
951,480
952,481
371,482
177,483
856,484
699,485
959,486
301,487
502,488
265,489
380,490
862,491
1116,492
1191,493
452,494
804,495
805,496
58,497
1156,498
1221,499
1201,500
214,501
96,502
500,503
997,504
713,505
1049,506
667,507
165,508
377,509
1202,510
209,511
362,512
843,513
888,514
912,515
803,516
24,517
164,518
166,519
1054,520
1203,521
859,522
1086,523
1151,524
1220,525
937,526
417,527
486,528
914,529
1222,530
921,531
807,532
1028,533
36,534
272,535
884,536
75,537
110,538
509,539
740,540
1047,541
987,542
193,543
489,544
407,545
907,546
186,547
255,548
1228,549
353,550
34,551
76,552
181,553
197,554
15,555
344,556
654,557
29,558
537,559
482,560
360,561
491,562
492,563
641,564
831,565
920,566
594,567
379,568
638,569
660,570
811,571
968,572
1012,573
1192,574
1187,575
222,576
967,577
579,578
718,579
155,580
1020,581
533,582
676,583
318,584
616,585
394,586
609,587
721,588
1103,589
262,590
693,591
14,592
16,593
176,594
1184,595
208,596
393,597
658,598
190,599
261,600
683,601
154,602
397,603
716,604
809,605
1031,606
22,607
162,608
665,609
813,610
1027,611
847,612
1092,613
17,614
182,615
183,616
456,617
623,618
865,619
1091,620
1198,621
314,622
6,623
7,624
149,625
167,626
180,627
212,628
547,629
556,630
627,631
717,632
901,633
1117,634
1193,635
194,636
383,637
814,638
234,639
299,640
241,641
536,642
140,643
1044,644
910,645
981,646
1137,647
83,648
445,649
892,650
137,651
522,652
1055,653
243,654
474,655
551,656
38,657
553,658
309,659
153,660
368,661
70,662
567,663
695,664
977,665
305,666
343,667
570,668
438,669
946,670
61,671
384,672
565,673
46,674
454,675
481,676
1063,677
290,678
1132,679
861,680
351,681
361,682
447,683
528,684
707,685
364,686
684,687
386,688
439,689
538,690
792,691
793,692
826,693
966,694
254,695
621,696
755,697
131,698
1039,699
219,700
346,701
1099,702
44,703
97,704
274,705
288,706
297,707
339,708
429,709
464,710
524,711
559,712
600,713
732,714
743,715
883,716
885,717
886,718
906,719
909,720
945,721
970,722
1064,723
1109,724
689,725
427,726
940,727
1014,728
316,729
965,730
441,731
320,732
341,733
342,734
457,735
632,736
839,737
863,738
887,739
47,740
124,741
729,742
779,743
799,744
867,745
1068,746
1084,747
