board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,602,602,5.0,5.0,2376.0,620.0,2376.0,620.0,0
1,516,516,5.0,625.0,2326.0,575.0,2326.0,575.0,0
1,778,778,2331.0,625.0,92.0,550.0,550.0,92.0,1
2,973,973,5.0,5.0,1833.0,800.0,1833.0,800.0,0
2,672,672,5.0,805.0,2375.0,380.0,2375.0,380.0,0
2,45,45,1838.0,5.0,574.0,800.0,800.0,574.0,1
3,310,310,5.0,5.0,1897.0,762.0,1897.0,762.0,0
3,1175,1175,5.0,767.0,2350.0,442.0,2350.0,442.0,0
3,673,673,1902.0,5.0,519.0,732.5,732.5,519.0,1
3,869,869,2355.0,737.5,70.0,393.0,393.0,70.0,1
4,1164,1164,5.0,5.0,2326.0,575.0,2326.0,575.0,0
4,231,231,5.0,580.0,2400.0,520.0,2400.0,520.0,0
5,526,526,5.0,5.0,1775.0,753.0,1775.0,753.0,0
5,434,434,5.0,758.0,2363.0,449.0,2363.0,449.0,0
5,205,205,1780.0,5.0,655.0,733.0,655.0,733.0,0
5,873,873,2368.0,738.0,60.0,443.0,443.0,60.0,1
6,490,490,5.0,5.0,1301.0,975.0,1301.0,975.0,0
6,283,283,1306.0,5.0,748.5,808.5,748.5,808.5,0
6,959,959,1306.0,813.5,882.0,400.0,882.0,400.0,0
6,314,314,2054.5,5.0,340.0,799.5,799.5,340.0,1
6,251,251,5.0,980.0,870.0,225.0,870.0,225.0,0
6,640,640,875.0,980.0,360.0,232.0,232.0,360.0,1
6,1102,1102,2188.0,804.5,232.0,360.0,232.0,360.0,0
7,597,597,5.0,5.0,1264.0,997.0,1264.0,997.0,0
7,91,91,1269.0,5.0,553.0,989.0,989.0,553.0,1
7,156,156,1822.0,5.0,553.0,989.0,989.0,553.0,1
7,319,319,5.0,1002.0,2260.0,184.0,2260.0,184.0,0
7,1207,1207,2375.0,5.0,60.0,941.0,941.0,60.0,1
8,465,465,5.0,5.0,1555.5,804.0,1555.5,804.0,0
8,670,670,5.0,809.0,2420.0,370.0,2420.0,370.0,0
8,734,734,1560.5,5.0,857.5,795.0,795.0,857.5,1
9,994,994,5.0,5.0,1785.0,680.0,1785.0,680.0,0
9,39,39,5.0,685.0,2340.0,514.0,2340.0,514.0,0
9,117,117,1790.0,5.0,624.0,648.0,624.0,648.0,0
9,1141,1141,2345.0,653.0,70.0,501.0,501.0,70.0,1
10,644,644,5.0,5.0,1945.0,620.0,1945.0,620.0,0
10,113,113,5.0,625.0,2340.0,514.0,2340.0,514.0,0
10,683,683,1950.0,5.0,476.0,586.0,476.0,586.0,0
10,122,122,5.0,1139.0,2243.0,70.0,2243.0,70.0,0
10,1136,1136,2345.0,591.0,70.0,501.0,501.0,70.0,1
11,263,263,5.0,5.0,2340.0,514.0,2340.0,514.0,0
11,311,311,5.0,519.0,2340.0,514.0,2340.0,514.0,0
11,329,329,5.0,1033.0,2114.0,180.0,2114.0,180.0,0
11,48,48,2345.0,5.0,80.0,753.0,753.0,80.0,1
11,725,725,2345.0,758.0,70.0,400.0,400.0,70.0,1
12,494,494,5.0,5.0,2340.0,514.0,2340.0,514.0,0
12,583,583,5.0,519.0,2340.0,514.0,2340.0,514.0,0
13,852,852,5.0,5.0,2340.0,514.0,2340.0,514.0,0
13,178,178,5.0,519.0,2114.0,561.0,2114.0,561.0,0
13,198,198,2119.0,519.0,311.0,539.0,539.0,311.0,1
14,1113,1113,5.0,5.0,2114.0,561.0,2114.0,561.0,0
14,188,188,5.0,566.0,2055.0,573.0,2055.0,573.0,0
14,186,186,2119.0,5.0,302.0,1028.5,1028.5,302.0,1
14,1002,1002,5.0,1139.0,1866.0,70.0,1866.0,70.0,0
14,27,27,2060.0,1033.5,342.0,163.5,163.5,342.0,1
15,1053,1053,5.0,5.0,2090.0,560.0,2090.0,560.0,0
15,142,142,5.0,565.0,2150.0,544.0,2150.0,544.0,0
15,384,384,2155.0,5.0,272.0,938.0,938.0,272.0,1
