uid,step
768,1
1212,2
477,3
660,4
1180,5
397,6
1567,7
1501,8
918,9
1356,10
1064,11
1289,12
694,13
240,14
1439,15
1518,16
449,17
698,18
1420,19
899,20
883,21
1295,22
47,23
97,24
873,25
1147,26
1169,27
1197,28
1590,29
189,30
1078,31
1353,32
425,33
609,34
970,35
1014,36
1143,37
244,38
1358,39
1104,40
409,41
829,42
296,43
745,44
1227,45
1608,46
1063,47
636,48
952,49
1020,50
1103,51
1315,52
233,53
1489,54
587,55
1426,56
1597,57
749,58
1442,59
1237,60
71,61
565,62
666,63
1204,64
1592,65
1179,66
1201,67
1362,68
1459,69
433,70
817,71
275,72
945,73
838,74
6,75
520,76
1093,77
1499,78
1378,79
222,80
659,81
867,82
908,83
1191,84
1633,85
1131,86
691,87
398,88
445,89
1047,90
1612,91
415,92
432,93
717,94
1357,95
820,96
192,97
243,98
1092,99
1577,100
909,101
1146,102
827,103
1637,104
173,105
1554,106
1010,107
506,108
968,109
280,110
984,111
273,112
794,113
1184,114
348,115
828,116
727,117
880,118
737,119
1249,120
733,121
165,122
389,123
1177,124
615,125
578,126
131,127
474,128
1138,129
1354,130
1516,131
381,132
1578,133
548,134
1622,135
783,136
1360,137
188,138
1537,139
430,140
431,141
1,142
355,143
339,144
707,145
630,146
281,147
309,148
394,149
876,150
544,151
1422,152
1394,153
1059,154
1277,155
1336,156
512,157
28,158
35,159
98,160
1118,161
1545,162
1345,163
44,164
777,165
966,166
1520,167
1513,168
1009,169
1547,170
292,171
395,172
775,173
127,174
1505,175
416,176
1539,177
975,178
1528,179
901,180
64,181
495,182
135,183
913,184
1140,185
1555,186
66,187
335,188
653,189
726,190
1502,191
1530,192
1564,193
941,194
10,195
288,196
467,197
652,198
998,199
1562,200
1188,201
752,202
1460,203
633,204
919,205
18,206
1305,207
60,208
1234,209
63,210
1286,211
453,212
174,213
158,214
956,215
634,216
144,217
596,218
1105,219
1646,220
1203,221
1418,222
875,223
48,224
1096,225
1226,226
91,227
1255,228
168,229
251,230
1236,231
1328,232
247,233
1251,234
382,235
808,236
504,237
1275,238
254,239
1113,240
219,241
1052,242
1579,243
924,244
1438,245
1346,246
751,247
964,248
510,249
680,250
542,251
774,252
187,253
238,254
1452,255
235,256
1182,257
304,258
921,259
195,260
1106,261
145,262
812,263
864,264
1588,265
911,266
1351,267
1572,268
406,269
1186,270
268,271
367,272
848,273
92,274
689,275
42,276
695,277
175,278
716,279
134,280
1060,281
1283,282
1619,283
517,284
960,285
976,286
1065,287
1421,288
413,289
1369,290
1573,291
882,292
59,293
84,294
566,295
618,296
1000,297
1490,298
1563,299
128,300
1015,301
1321,302
1361,303
437,304
1290,305
1527,306
1615,307
368,308
334,309
451,310
65,311
1263,312
755,313
1265,314
610,315
518,316
1017,317
1293,318
1399,319
1575,320
831,321
521,322
1127,323
1246,324
1316,325
949,326
1250,327
1430,328
1447,329
516,330
625,331
714,332
86,333
299,334
424,335
1005,336
711,337
1569,338
626,339
1308,340
1380,341
352,342
907,343
111,344
836,345
681,346
734,347
1247,348
999,349
1044,350
186,351
444,352
593,353
1099,354
1130,355
1207,356
1441,357
1462,358
1507,359
1266,360
1413,361
791,362
857,363
340,364
858,365
1319,366
847,367
1230,368
1242,369
757,370
982,371
744,372
906,373
245,374
250,375
1094,376
61,377
171,378
388,379
400,380
656,381
837,382
951,383
1292,384
1508,385
790,386
14,387
1273,388
203,389
58,390
287,391
588,392
688,393
1168,394
200,395
43,396
255,397
1543,398
764,399
840,400
1445,401
1623,402
442,403
1072,404
27,405
34,406
1038,407
568,408
1016,409
439,410
765,411
1048,412
1302,413
277,414
541,415
2,416
509,417
719,418
753,419
1596,420
1061,421
1553,422
870,423
499,424
482,425
1162,426
157,427
1443,428
826,429
1557,430
96,431
511,432
125,433
228,434
538,435
1451,436
1067,437
1252,438
37,439
100,440
362,441
513,442
648,443
724,444
917,445
967,446
1200,447
730,448
1620,449
807,450
1069,451
1231,452
307,453
169,454
822,455
1291,456
1355,457
799,458
236,459
1132,460
1350,461
1551,462
357,463
697,464
1165,465
1400,466
1571,467
1593,468
249,469
70,470
1561,471
1004,472
1259,473
552,474
30,475
392,476
393,477
440,478
758,479
852,480
154,481
429,482
314,483
844,484
977,485
1055,486
878,487
41,488
664,489
118,490
574,491
295,492
246,493
1108,494
1640,495
156,496
167,497
586,498
1062,499
1536,500
954,501
1049,502
1304,503
514,504
850,505
1195,506
1515,507
537,508
1128,509
944,510
1377,511
536,512
1404,513
1446,514
130,515
708,516
1281,517
1461,518
1478,519
898,520
599,521
706,522
1066,523
1245,524
112,525
549,526
458,527
1175,528
912,529
712,530
582,531
1647,532
230,533
500,534
843,535
1114,536
1171,537
1598,538
657,539
1630,540
1091,541
1274,542
272,543
1558,544
635,545
823,546
1056,547
1125,548
120,549
959,550
1026,551
1376,552
170,553
1476,554
786,555
1628,556
225,557
1599,558
242,559
460,560
1117,561
363,562
1649,563
1276,564
62,565
114,566
115,567
576,568
383,569
1185,570
1538,571
824,572
402,573
502,574
1471,575
16,576
159,577
1074,578
1075,579
797,580
788,581
201,582
1284,583
939,584
11,585
443,586
308,587
319,588
1638,589
269,590
1051,591
718,592
1095,593
756,594
1173,595
67,596
546,597
611,598
761,599
1280,600
1300,601
1325,602
1477,603
1533,604
475,605
818,606
1352,607
143,608
1330,609
129,610
591,611
1506,612
1526,613
231,614
1210,615
19,616
162,617
414,618
577,619
957,620
1160,621
1241,622
1331,623
1626,624
108,625
3,626
679,627
869,628
996,629
1409,630
286,631
1043,632
1576,633
46,634
463,635
631,636
651,637
1456,638
1529,639
1498,640
146,641
338,642
1582,643
366,644
1559,645
1057,646
356,647
1635,648
141,649
1193,650
138,651
1129,652
172,653
152,654
196,655
860,656
1198,657
1199,658
1492,659
595,660
879,661
1238,662
1327,663
1534,664
522,665
1340,666
1552,667
1268,668
204,669
715,670
26,671
678,672
720,673
802,674
1111,675
1264,676
725,677
795,678
480,679
232,680
457,681
1115,682
1454,683
136,684
106,685
166,686
404,687
1287,688
1415,689
1503,690
342,691
384,692
1363,693
1457,694
82,695
102,696
736,697
53,698
315,699
627,700
1213,701
842,702
1133,703
965,704
781,705
553,706
1402,707
1627,708
677,709
354,710
297,711
1342,712
692,713
1602,714
461,715
684,716
849,717
1267,718
1107,719
1403,720
1436,721
123,722
161,723
1068,724
816,725
1589,726
109,727
612,728
545,729
800,730
894,731
1159,732
1617,733
1642,734
1648,735
773,736
623,737
420,738
407,739
809,740
279,741
476,742
1424,743
284,744
427,745
861,746
947,747
1324,748
54,749
234,750
503,751
683,752
221,753
1607,754
478,755
573,756
1050,757
1318,758
1392,759
317,760
358,761
603,762
1149,763
218,764
347,765
782,766
1401,767
1412,768
369,769
621,770
1258,771
647,772
1282,773
793,774
1523,775
699,776
825,777
839,778
896,779
1021,780
1621,781
1594,782
915,783
1156,784
1367,785
113,786
881,787
935,788
505,789
572,790
624,791
701,792
1370,793
142,794
473,795
1077,796
1307,797
1548,798
1262,799
750,800
119,801
1372,802
853,803
1519,804
1414,805
1521,806
22,807
24,808
294,809
658,810
1088,811
1223,812
738,813
117,814
205,815
450,816
579,817
124,818
291,819
350,820
351,821
455,822
1135,823
1425,824
1586,825
1574,826
585,827
466,828
687,829
1306,830
12,831
1073,832
1216,833
1546,834
29,835
604,836
1320,837
346,838
391,839
33,840
628,841
682,842
1428,843
704,844
137,845
1100,846
1101,847
1532,848
441,849
862,850
1046,851
1568,852
1611,853
1609,854
408,855
88,856
89,857
305,858
341,859
386,860
654,861
1417,862
1565,863
331,864
177,865
126,866
198,867
199,868
469,869
759,870
859,871
1154,872
1217,873
1347,874
1348,875
1416,876
1440,877
592,878
620,879
796,880
1070,881
1158,882
1206,883
270,884
813,885
359,886
459,887
821,888
1007,889
1254,890
1514,891
470,892
1071,893
1208,894
1235,895
32,896
1229,897
845,898
1116,899
1465,900
447,901
160,902
239,903
614,904
1591,905
1604,906
471,907
212,908
923,909
436,910
540,911
1224,912
1407,913
1431,914
1470,915
1542,916
260,917
1022,918
1332,919
1001,920
1011,921
1269,922
68,923
662,924
983,925
267,926
376,927
23,928
223,929
910,930
1468,931
1469,932
1042,933
713,934
95,935
303,936
981,937
1228,938
581,939
1097,940
479,941
1181,942
282,943
1112,944
1540,945
613,946
110,947
895,948
132,949
428,950
1613,951
1614,952
830,953
1373,954
547,955
1549,956
483,957
1152,958
1435,959
1517,960
1524,961
1341,962
1453,963
1220,964
722,965
778,966
494,967
535,968
1335,969
85,970
90,971
387,972
920,973
1366,974
1495,975
1566,976
1374,977
833,978
1151,979
1019,980
148,981
1006,982
276,983
210,984
149,985
507,986
900,987
1379,988
710,989
116,990
410,991
616,992
780,993
1215,994
810,995
642,996
8,997
133,998
1600,999
721,1000
803,1001
1209,1002
52,1003
224,1004
497,1005
498,1006
1163,1007
1339,1008
302,1009
1432,1010
1375,1011
617,1012
1202,1013
147,1014
1189,1015
1148,1016
93,1017
293,1018
1087,1019
1137,1020
1429,1021
1511,1022
1595,1023
150,1024
151,1025
980,1026
1408,1027
863,1028
324,1029
527,1030
575,1031
283,1032
312,1033
772,1034
661,1035
1139,1036
1634,1037
1410,1038
543,1039
872,1040
685,1041
1616,1042
686,1043
1310,1044
1641,1045
215,1046
1301,1047
1278,1048
274,1049
1058,1050
1102,1051
1496,1052
969,1053
374,1054
1480,1055
344,1056
472,1057
571,1058
700,1059
763,1060
1076,1061
1239,1062
1248,1063
1464,1064
1535,1065
524,1066
819,1067
690,1068
974,1069
15,1070
446,1071
570,1072
709,1073
748,1074
779,1075
1018,1076
1312,1077
1419,1078
1570,1079
1644,1080
20,1081
163,1082
164,1083
190,1084
729,1085
