board,n_parts,used_area,waste_area,board_area,U
1,5,2865675.0,111125.0,2976800.0,0.9626696452566514
2,4,2866200.0,110600.0,2976800.0,0.9628460091373287
3,6,2800364.0,176436.0,2976800.0,0.9407296425692018
4,5,2817556.0,159244.0,2976800.0,0.9465049717817791
5,4,2843460.0,133340.0,2976800.0,0.9552069336199946
6,8,2663055.0,313745.0,2976800.0,0.8946032652512765
7,6,2826942.0,149858.0,2976800.0,0.9496580220370868
8,8,2824652.25,152147.75,2976800.0,0.9488888235689331
9,7,2668267.5,308532.5,2976800.0,0.8963543066380005
10,6,2719740.0,257060.0,2976800.0,0.9136455253963989
11,6,2698388.3,278411.7000000002,2976800.0,0.9064728231658156
12,8,2774178.25,202621.75,2976800.0,0.9319330321150229
13,10,2695299.0,281501.0,2976800.0,0.9054350309056706
14,6,2267788.5,709011.5,2976800.0,0.7618209150765923
15,12,2762600.25,214199.75,2976800.0,0.9280436206664875
16,12,2629966.25,346833.75,2976800.0,0.8834877217145929
17,12,2511673.25,465126.75,2976800.0,0.8437494121203978
18,14,2741249.5,235550.5,2976800.0,0.9208712375705456
19,14,2706136.15,270663.8500000001,2976800.0,0.9090755677237301
20,11,2213834.75,762965.25,2976800.0,0.7436961670249933
21,15,2379395.9,597404.1000000001,2976800.0,0.7993133230314431
22,17,2209050.8,767749.2000000002,2976800.0,0.742089088954582
23,4,378319.29999999993,2598480.7,2976800.0,0.12708925692018272
