board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,161,161,5.0,5.0,1445.0,1150.0,1445.0,1150.0,0
1,180,180,1450.0,5.0,732.0,1190.0,1190.0,732.0,1
1,193,193,2182.0,5.0,200.0,782.0,782.0,200.0,1
1,137,137,2182.0,787.0,230.0,403.5,403.5,230.0,1
1,109,109,5.0,1155.0,1394.0,60.0,1394.0,60.0,0
2,111,111,5.0,5.0,2289.0,70.0,2289.0,70.0,0
2,4,4,5.0,75.0,2305.0,588.0,2305.0,588.0,0
2,23,23,5.0,663.0,2360.0,540.0,2360.0,540.0,0
2,155,155,2365.0,5.0,70.0,1089.0,1089.0,70.0,1
3,44,44,5.0,5.0,1044.0,70.0,1044.0,70.0,0
3,88,88,5.0,75.0,1247.0,60.0,1247.0,60.0,0
3,110,110,5.0,135.0,2128.0,70.0,2128.0,70.0,0
3,85,85,5.0,205.0,1324.0,376.0,1324.0,376.0,0
3,57,57,5.0,581.0,1326.0,373.5,1326.0,373.5,0
3,14,14,1329.0,205.0,932.5,345.5,932.5,345.5,0
3,43,43,5.0,954.5,1614.0,70.0,1614.0,70.0,0
3,61,61,5.0,1024.5,1585.0,70.0,1585.0,70.0,0
3,62,62,2261.5,5.0,60.0,1164.0,1164.0,60.0,1
3,154,154,5.0,1094.5,1285.0,70.0,1285.0,70.0,0
3,41,41,1049.0,5.0,953.0,70.0,953.0,70.0,0
3,150,150,1290.0,1094.5,944.0,70.0,944.0,70.0,0
3,59,59,2321.5,5.0,110.0,844.0,844.0,110.0,1
3,107,107,1252.0,75.0,776.0,60.0,776.0,60.0,0
3,55,55,1619.0,550.5,590.0,544.0,590.0,544.0,0
4,104,104,5.0,5.0,1628.0,297.0,1628.0,297.0,0
4,50,50,1633.0,5.0,299.0,449.0,449.0,299.0,1
4,78,78,1932.0,5.0,309.0,430.0,430.0,309.0,1
4,72,72,1932.0,435.0,309.0,430.0,430.0,309.0,1
4,136,136,5.0,302.0,884.0,543.0,884.0,543.0,0
4,81,81,889.0,454.0,931.5,463.0,463.0,931.5,1
4,149,149,2241.0,5.0,60.0,1014.0,1014.0,60.0,1
4,148,148,5.0,917.0,1244.0,70.0,1244.0,70.0,0
4,113,113,5.0,1019.0,2397.0,146.0,2397.0,146.0,0
4,38,38,2301.0,5.0,60.0,1004.0,1004.0,60.0,1
4,108,108,5.0,845.0,884.0,60.0,884.0,60.0,0
4,39,39,2361.0,5.0,60.0,780.0,780.0,60.0,1
4,114,114,1249.0,917.0,776.0,60.0,776.0,60.0,0
4,40,40,889.0,302.0,727.0,60.0,727.0,60.0,0
