board,n_parts,used_area,waste_area,board_area,U
1,5,2865675.0,111125.0,2976800.0,0.9626696452566514
2,5,2899783.25,77016.75,2976800.0,0.9741276706530503
3,6,2800364.0,176436.0,2976800.0,0.9407296425692018
4,6,2808271.0,168529.0,2976800.0,0.9433858505778017
5,4,2843460.0,133340.0,2976800.0,0.9552069336199946
6,8,2793132.0,183668.0,2976800.0,0.9383001881214728
7,5,2804157.0,172643.0,2976800.0,0.9420038296156947
8,9,2783827.75,192972.25,2976800.0,0.9351746002418705
9,5,2202175.0,774625.0,2976800.0,0.7397792932007525
10,11,2514857.0,461943.0,2976800.0,0.8448189330825047
11,8,2791660.0,185140.0,2976800.0,0.9378056973931739
12,8,2722763.5,254036.5,2976800.0,0.914661213383499
13,11,2690916.0,285884.0,2976800.0,0.9039626444504165
14,13,2766212.1,210587.8999999999,2976800.0,0.9292569537758667
15,11,2774167.6,202632.3999999999,2976800.0,0.9319294544477291
16,12,2695210.75,281589.25,2976800.0,0.9054053849771567
17,10,2585499.0,391301.0,2976800.0,0.8685497850040311
18,10,2530360.4,446439.6000000001,2976800.0,0.8500270088685837
19,10,2528778.5,448021.5,2976800.0,0.8494955993012631
20,11,2452955.9,523844.1000000001,2976800.0,0.8240244221983337
21,13,2401857.4,574942.6000000001,2976800.0,0.806858841709218
22,17,2384520.8000000003,592279.1999999997,2976800.0,0.8010349368449342
23,2,223188.0,2753612.0,2976800.0,0.07497581295350712
