board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,161,161,5.0,5.0,1445.0,1150.0,1445.0,1150.0,0
1,180,180,1450.0,5.0,732.0,1190.0,1190.0,732.0,1
1,193,193,2182.0,5.0,200.0,782.0,782.0,200.0,1
1,137,137,2182.0,787.0,230.0,403.5,403.5,230.0,1
1,109,109,5.0,1155.0,1394.0,60.0,1394.0,60.0,0
2,4,4,5.0,5.0,2305.0,588.0,2305.0,588.0,0
2,23,23,5.0,593.0,2360.0,540.0,2360.0,540.0,0
2,111,111,5.0,1133.0,2289.0,70.0,2289.0,70.0,0
2,60,60,2310.0,5.0,123.5,569.5,123.5,569.5,0
2,156,156,2365.0,574.5,70.0,564.0,564.0,70.0,1
3,49,49,5.0,5.0,2321.0,544.0,2321.0,544.0,0
3,82,82,5.0,549.0,2040.0,549.0,2040.0,549.0,0
3,128,128,2045.0,549.0,370.0,645.0,645.0,370.0,1
3,43,43,5.0,1098.0,1614.0,70.0,1614.0,70.0,0
3,152,152,2326.0,5.0,70.0,531.0,531.0,70.0,1
3,151,151,1619.0,1098.0,414.0,70.0,414.0,70.0,0
4,141,141,5.0,5.0,2040.0,549.0,2040.0,549.0,0
4,99,99,5.0,554.0,2040.0,544.0,2040.0,544.0,0
4,67,67,2045.0,5.0,324.0,1139.0,1139.0,324.0,1
4,61,61,5.0,1098.0,1585.0,70.0,1585.0,70.0,0
4,62,62,2369.0,5.0,60.0,1164.0,1164.0,60.0,1
4,63,63,1590.0,1098.0,383.0,75.0,383.0,75.0,0
5,125,125,5.0,5.0,2040.0,490.0,2040.0,490.0,0
5,3,3,5.0,495.0,2382.0,405.0,2382.0,405.0,0
5,27,27,5.0,900.0,2370.0,295.0,2370.0,295.0,0
5,5,5,2045.0,5.0,375.0,480.0,375.0,480.0,0
6,198,198,5.0,5.0,1650.0,580.0,1650.0,580.0,0
6,73,73,5.0,585.0,1502.0,530.0,1502.0,530.0,0
6,199,199,1655.0,5.0,573.0,1089.0,1089.0,573.0,1
6,110,110,5.0,1115.0,2128.0,70.0,2128.0,70.0,0
6,59,59,2228.0,5.0,110.0,844.0,844.0,110.0,1
6,155,155,2338.0,5.0,70.0,1089.0,1089.0,70.0,1
6,45,45,1507.0,585.0,142.0,530.0,142.0,530.0,0
6,87,87,2228.0,849.0,73.5,310.0,73.5,310.0,0
7,74,74,5.0,5.0,1502.0,530.0,1502.0,530.0,0
7,174,174,5.0,535.0,2400.0,324.0,2400.0,324.0,0
7,172,172,5.0,859.0,2355.0,327.0,2355.0,327.0,0
7,48,48,1507.0,5.0,640.0,530.0,640.0,530.0,0
