board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,3,cgcut2_0003,0.0,0.0,9.0,35.0,9.0,35.0,0
1,6,cgcut2_0006,0.0,35.0,9.0,24.0,9.0,24.0,0
1,7,cgcut2_0007,9.0,0.0,9.0,24.0,9.0,24.0,0
1,8,cgcut2_0008,9.0,24.0,9.0,24.0,9.0,24.0,0
1,2,cgcut2_0002,9.0,48.0,31.0,13.0,31.0,13.0,0
1,1,cgcut2_0001,18.0,0.0,22.0,21.0,21.0,22.0,1
1,4,cgcut2_0004,0.0,61.0,35.0,9.0,9.0,35.0,1
1,11,cgcut2_0011,18.0,21.0,11.0,13.0,11.0,13.0,0
1,12,cgcut2_0012,29.0,21.0,11.0,13.0,11.0,13.0,0
1,16,cgcut2_0016,18.0,34.0,8.0,14.0,14.0,8.0,1
1,17,cgcut2_0017,26.0,34.0,14.0,8.0,14.0,8.0,0
2,5,cgcut2_0005,0.0,0.0,9.0,35.0,9.0,35.0,0
2,9,cgcut2_0009,0.0,35.0,7.0,30.0,30.0,7.0,1
2,10,cgcut2_0010,7.0,35.0,7.0,30.0,30.0,7.0,1
2,13,cgcut2_0013,9.0,0.0,11.0,13.0,11.0,13.0,0
2,14,cgcut2_0014,9.0,13.0,14.0,10.0,10.0,14.0,1
2,18,cgcut2_0018,9.0,23.0,8.0,12.0,12.0,8.0,1
2,19,cgcut2_0019,17.0,23.0,8.0,12.0,12.0,8.0,1
2,20,cgcut2_0020,20.0,0.0,12.0,8.0,12.0,8.0,0
2,21,cgcut2_0021,14.0,35.0,7.0,13.0,13.0,7.0,1
2,22,cgcut2_0022,14.0,48.0,7.0,13.0,13.0,7.0,1
2,23,cgcut2_0023,21.0,35.0,7.0,13.0,13.0,7.0,1
2,15,cgcut2_0015,14.0,61.0,14.0,8.0,14.0,8.0,0
