board,n_parts,used_area,waste_area,board_area,U
1,2,2332.0,468.0,2800.0,0.8328571428571429
2,2,2195.0,605.0,2800.0,0.7839285714285714
3,2,2166.0,634.0,2800.0,0.7735714285714286
4,2,2332.0,468.0,2800.0,0.8328571428571429
5,2,2332.0,468.0,2800.0,0.8328571428571429
6,2,2269.0,531.0,2800.0,0.8103571428571429
7,4,2680.0,120.0,2800.0,0.9571428571428572
8,2,2195.0,605.0,2800.0,0.7839285714285714
9,2,2294.0,506.0,2800.0,0.8192857142857143
10,3,2252.0,548.0,2800.0,0.8042857142857143
11,3,2133.0,667.0,2800.0,0.7617857142857143
12,5,2754.0,46.0,2800.0,0.9835714285714285
13,5,2641.0,159.0,2800.0,0.9432142857142857
14,5,2644.0,156.0,2800.0,0.9442857142857143
15,4,2377.0,423.0,2800.0,0.8489285714285715
16,5,2452.0,348.0,2800.0,0.8757142857142857
17,5,2605.0,195.0,2800.0,0.9303571428571429
18,5,2545.0,255.0,2800.0,0.9089285714285714
19,2,1302.0,1498.0,2800.0,0.465
