board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,1,cgcut3_0001,0.0,0.0,31.0,43.0,31.0,43.0,0
1,15,cgcut3_0015,0.0,43.0,37.0,27.0,27.0,37.0,1
2,10,cgcut3_0010,0.0,0.0,29.0,39.0,29.0,39.0,0
2,11,cgcut3_0011,0.0,39.0,38.0,28.0,28.0,38.0,1
3,6,cgcut3_0006,0.0,0.0,30.0,41.0,30.0,41.0,0
3,19,cgcut3_0019,0.0,41.0,36.0,26.0,26.0,36.0,1
4,3,cgcut3_0003,0.0,0.0,31.0,43.0,31.0,43.0,0
4,17,cgcut3_0017,0.0,43.0,37.0,27.0,27.0,37.0,1
5,2,cgcut3_0002,0.0,0.0,31.0,43.0,31.0,43.0,0
5,16,cgcut3_0016,0.0,43.0,37.0,27.0,27.0,37.0,1
6,4,cgcut3_0004,0.0,0.0,31.0,43.0,31.0,43.0,0
6,20,cgcut3_0020,0.0,43.0,36.0,26.0,26.0,36.0,1
7,9,cgcut3_0009,0.0,0.0,29.0,39.0,29.0,39.0,0
7,7,cgcut3_0007,0.0,39.0,39.0,29.0,29.0,39.0,1
7,59,cgcut3_0059,29.0,0.0,11.0,19.0,19.0,11.0,1
7,58,cgcut3_0058,29.0,19.0,11.0,19.0,19.0,11.0,1
8,8,cgcut3_0008,0.0,0.0,29.0,39.0,29.0,39.0,0
8,13,cgcut3_0013,0.0,39.0,38.0,28.0,28.0,38.0,1
9,5,cgcut3_0005,0.0,0.0,30.0,41.0,30.0,41.0,0
9,12,cgcut3_0012,0.0,41.0,38.0,28.0,28.0,38.0,1
10,14,cgcut3_0014,0.0,0.0,28.0,38.0,28.0,38.0,0
10,18,cgcut3_0018,0.0,38.0,36.0,26.0,26.0,36.0,1
10,55,cgcut3_0055,28.0,0.0,12.0,21.0,21.0,12.0,1
11,21,cgcut3_0021,0.0,0.0,26.0,36.0,26.0,36.0,0
11,24,cgcut3_0024,0.0,36.0,35.0,25.0,25.0,35.0,1
11,53,cgcut3_0053,26.0,0.0,14.0,23.0,23.0,14.0,1
12,22,cgcut3_0022,0.0,0.0,25.0,35.0,25.0,35.0,0
12,23,cgcut3_0023,0.0,35.0,25.0,35.0,25.0,35.0,0
12,51,cgcut3_0051,25.0,0.0,14.0,23.0,23.0,14.0,1
12,45,cgcut3_0045,25.0,23.0,15.0,24.0,15.0,24.0,0
12,54,cgcut3_0054,25.0,47.0,14.0,23.0,23.0,14.0,1
13,28,cgcut3_0028,0.0,0.0,24.0,34.0,24.0,34.0,0
13,27,cgcut3_0027,0.0,34.0,24.0,34.0,24.0,34.0,0
13,49,cgcut3_0049,24.0,0.0,16.0,25.0,16.0,25.0,0
13,46,cgcut3_0046,24.0,25.0,16.0,25.0,16.0,25.0,0
13,61,cgcut3_0061,24.0,50.0,11.0,19.0,19.0,11.0,1
14,25,cgcut3_0025,0.0,0.0,24.0,34.0,24.0,34.0,0
14,26,cgcut3_0026,0.0,34.0,24.0,34.0,24.0,34.0,0
14,47,cgcut3_0047,24.0,0.0,16.0,25.0,16.0,25.0,0
14,50,cgcut3_0050,24.0,25.0,15.0,24.0,15.0,24.0,0
14,57,cgcut3_0057,24.0,49.0,12.0,21.0,21.0,12.0,1
15,31,cgcut3_0031,0.0,0.0,23.0,33.0,33.0,23.0,1
15,30,cgcut3_0030,0.0,33.0,23.0,33.0,33.0,23.0,1
15,43,cgcut3_0043,23.0,0.0,17.0,27.0,17.0,27.0,0
15,48,cgcut3_0048,23.0,27.0,16.0,25.0,16.0,25.0,0
16,32,cgcut3_0032,0.0,0.0,23.0,33.0,33.0,23.0,1
16,29,cgcut3_0029,0.0,33.0,23.0,33.0,33.0,23.0,1
16,44,cgcut3_0044,23.0,0.0,15.0,24.0,15.0,24.0,0
16,52,cgcut3_0052,23.0,24.0,14.0,23.0,23.0,14.0,1
16,56,cgcut3_0056,23.0,47.0,12.0,21.0,21.0,12.0,1
17,35,cgcut3_0035,0.0,0.0,22.0,32.0,22.0,32.0,0
17,33,cgcut3_0033,0.0,32.0,22.0,32.0,22.0,32.0,0
17,41,cgcut3_0041,22.0,0.0,18.0,29.0,29.0,18.0,1
17,39,cgcut3_0039,22.0,29.0,18.0,29.0,29.0,18.0,1
17,62,cgcut3_0062,22.0,58.0,17.0,9.0,9.0,17.0,1
18,34,cgcut3_0034,0.0,0.0,22.0,32.0,22.0,32.0,0
18,40,cgcut3_0040,22.0,0.0,18.0,29.0,29.0,18.0,1
18,36,cgcut3_0036,0.0,32.0,21.0,31.0,31.0,21.0,1
18,42,cgcut3_0042,21.0,32.0,17.0,27.0,17.0,27.0,0
18,60,cgcut3_0060,21.0,59.0,19.0,11.0,19.0,11.0,0
19,38,cgcut3_0038,0.0,0.0,21.0,31.0,31.0,21.0,1
19,37,cgcut3_0037,0.0,31.0,21.0,31.0,31.0,21.0,1
