board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,1,gcut11_0001,0.0,0.0,541.0,745.0,541.0,745.0,0
1,11,gcut11_0011,541.0,0.0,431.0,673.0,673.0,431.0,1
1,2,gcut11_0002,541.0,673.0,344.0,301.0,344.0,301.0,0
2,7,gcut11_0007,0.0,0.0,526.0,707.0,526.0,707.0,0
2,6,gcut11_0006,526.0,0.0,367.0,701.0,367.0,701.0,0
2,20,gcut11_0020,0.0,707.0,714.0,266.0,266.0,714.0,1
3,14,gcut11_0014,0.0,0.0,530.0,638.0,530.0,638.0,0
3,15,gcut11_0015,530.0,0.0,375.0,609.0,609.0,375.0,1
3,28,gcut11_0028,0.0,638.0,650.0,332.0,650.0,332.0,0
3,21,gcut11_0021,650.0,609.0,336.0,341.0,341.0,336.0,1
4,24,gcut11_0024,0.0,0.0,571.0,589.0,571.0,589.0,0
4,30,gcut11_0030,571.0,0.0,419.0,503.0,419.0,503.0,0
4,5,gcut11_0005,0.0,589.0,543.0,388.0,543.0,388.0,0
4,12,gcut11_0012,571.0,503.0,362.0,475.0,475.0,362.0,1
5,25,gcut11_0025,0.0,0.0,674.0,496.0,674.0,496.0,0
5,17,gcut11_0017,0.0,496.0,634.0,486.0,486.0,634.0,1
5,8,gcut11_0008,674.0,0.0,286.0,706.0,286.0,706.0,0
5,4,gcut11_0004,634.0,706.0,341.0,266.0,266.0,341.0,1
6,26,gcut11_0026,0.0,0.0,560.0,497.0,560.0,497.0,0
6,23,gcut11_0023,0.0,497.0,531.0,479.0,531.0,479.0,0
6,13,gcut11_0013,560.0,0.0,439.0,562.0,562.0,439.0,1
6,3,gcut11_0003,531.0,562.0,413.0,294.0,413.0,294.0,0
7,10,gcut11_0010,0.0,0.0,348.0,592.0,348.0,592.0,0
7,27,gcut11_0027,348.0,0.0,389.0,509.0,509.0,389.0,1
7,19,gcut11_0019,348.0,509.0,623.0,306.0,623.0,306.0,0
7,18,gcut11_0018,0.0,592.0,272.0,377.0,272.0,377.0,0
8,9,gcut11_0009,0.0,0.0,614.0,289.0,614.0,289.0,0
8,16,gcut11_0016,0.0,289.0,540.0,274.0,540.0,274.0,0
8,29,gcut11_0029,540.0,289.0,285.0,474.0,474.0,285.0,1
8,22,gcut11_0022,0.0,563.0,340.0,296.0,340.0,296.0,0
