board,n_parts,used_area,waste_area,board_area,U
1,4,57660.0,4840.0,62500.0,0.92256
2,4,58925.0,3575.0,62500.0,0.9428
3,4,55265.0,7235.0,62500.0,0.88424
4,4,59813.0,2687.0,62500.0,0.957008
5,4,61386.0,1114.0,62500.0,0.982176
6,5,59404.0,3096.0,62500.0,0.950464
7,4,57600.0,4900.0,62500.0,0.9216
8,4,51407.0,11093.0,62500.0,0.822512
9,4,60590.0,1910.0,62500.0,0.96944
10,3,53340.0,9160.0,62500.0,0.85344
11,4,61337.0,1163.0,62500.0,0.981392
12,4,56663.0,5837.0,62500.0,0.906608
13,2,38018.0,24482.0,62500.0,0.608288
