board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,10,gcut5_0010,0.0,0.0,342.0,151.0,342.0,151.0,0
1,5,gcut5_0005,0.0,151.0,352.0,145.0,352.0,145.0,0
1,8,gcut5_0008,0.0,296.0,250.0,164.0,164.0,250.0,1
1,4,gcut5_0004,352.0,0.0,147.0,272.0,272.0,147.0,1
1,1,gcut5_0001,250.0,296.0,205.0,198.0,198.0,205.0,1
2,3,gcut5_0003,0.0,0.0,364.0,236.0,364.0,236.0,0
2,6,gcut5_0006,0.0,236.0,343.0,245.0,343.0,245.0,0
2,2,gcut5_0002,343.0,236.0,155.0,179.0,179.0,155.0,1
2,7,gcut5_0007,364.0,0.0,132.0,174.0,132.0,174.0,0
3,9,gcut5_0009,0.0,0.0,282.0,356.0,282.0,356.0,0
