board,n_parts,used_area,waste_area,board_area,U
1,3,196004.0,53996.0,250000.0,0.784016
2,4,235955.0,14045.0,250000.0,0.94382
3,4,227981.0,22019.0,250000.0,0.911924
4,4,236450.0,13550.0,250000.0,0.9458
5,4,235868.0,14132.0,250000.0,0.943472
6,4,230836.0,19164.0,250000.0,0.923344
7,4,239922.0,10078.0,250000.0,0.959688
8,3,216790.0,33210.0,250000.0,0.86716
9,4,226706.0,23294.0,250000.0,0.906824
10,4,232834.0,17166.0,250000.0,0.931336
11,4,196188.0,53812.0,250000.0,0.784752
12,4,177234.0,72766.0,250000.0,0.708936
13,4,152694.0,97306.0,250000.0,0.610776
