board,n_parts,used_area,waste_area,board_area,U
1,3,199188.0,50812.0,250000.0,0.796752
2,4,225676.0,24324.0,250000.0,0.902704
3,4,233672.0,16328.0,250000.0,0.934688
4,4,236268.0,13732.0,250000.0,0.945072
5,4,244466.0,5534.0,250000.0,0.977864
6,4,235320.0,14680.0,250000.0,0.94128
7,4,234960.0,15040.0,250000.0,0.93984
8,4,224983.0,25017.0,250000.0,0.899932
9,4,236225.0,13775.0,250000.0,0.9449
10,4,229436.0,20564.0,250000.0,0.917744
11,4,215155.0,34845.0,250000.0,0.86062
12,5,227363.0,22637.0,250000.0,0.909452
13,2,62750.0,187250.0,250000.0,0.251
