board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,11,ngcut3_0011,0.0,0.0,4.0,8.0,8.0,4.0,1
1,14,ngcut3_0014,4.0,0.0,3.0,7.0,3.0,7.0,0
1,15,ngcut3_0015,7.0,0.0,3.0,7.0,3.0,7.0,0
1,19,ngcut3_0019,4.0,7.0,6.0,2.0,6.0,2.0,0
1,21,ngcut3_0021,0.0,9.0,9.0,1.0,9.0,1.0,0
1,9,ngcut3_0009,0.0,8.0,4.0,1.0,4.0,1.0,0
2,16,ngcut3_0016,0.0,0.0,3.0,7.0,3.0,7.0,0
2,5,ngcut3_0005,3.0,0.0,2.0,7.0,7.0,2.0,1
2,18,ngcut3_0018,0.0,7.0,6.0,2.0,6.0,2.0,0
2,3,ngcut3_0003,5.0,0.0,2.0,7.0,7.0,2.0,1
2,4,ngcut3_0004,7.0,0.0,2.0,7.0,7.0,2.0,1
2,10,ngcut3_0010,9.0,0.0,1.0,10.0,1.0,10.0,0
2,20,ngcut3_0020,0.0,9.0,9.0,1.0,9.0,1.0,0
2,2,ngcut3_0002,6.0,7.0,3.0,2.0,3.0,2.0,0
3,7,ngcut3_0007,0.0,0.0,4.0,5.0,4.0,5.0,0
3,6,ngcut3_0006,0.0,5.0,4.0,5.0,4.0,5.0,0
3,17,ngcut3_0017,4.0,0.0,6.0,2.0,6.0,2.0,0
3,13,ngcut3_0013,4.0,2.0,2.0,4.0,4.0,2.0,1
3,12,ngcut3_0012,4.0,6.0,2.0,4.0,4.0,2.0,1
3,1,ngcut3_0001,6.0,2.0,2.0,3.0,3.0,2.0,1
3,8,ngcut3_0008,6.0,5.0,4.0,1.0,4.0,1.0,0
