case,seed,LB_area,N_board_baseline,N_board_baseline_gap_to_LB,N_board_delta,N_board_main,N_board_main_gap_to_LB,N_board_main_vs_baseline,N_board_ref,N_board_ref_gap_to_LB,U_avg_excl_last_delta,U_avg_excl_last_main,U_avg_excl_last_ref,U_global_baseline,U_global_delta,U_global_main,U_global_main_vs_baseline,U_global_ref,runtime_s_baseline,runtime_s_delta,runtime_s_main,runtime_s_ref,variant_baseline,variant_main,variant_ref,suite,case_id,family,source,csv_path,n_items,suite_runtime_s
generalization_public_1seed_300s__cgcut1,1000,2,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,1.0,1.0,0.75,0.0,0.75,0.0,0.75,0.010487999999999997,-288.54526300000003,0.952218500000015,289.49748150000005,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,cgcut1,cgcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\cgcut1.csv,16,291.419375
generalization_public_1seed_300s__cgcut2,1000,2,2,0.0,0.0,2,0.0,0.0,2,0.0,-0.04392857142857143,0.9475,0.9914285714285714,0.7757142857142857,0.0,0.7757142857142857,0.0,0.7757142857142857,0.0094785,-292.1091671,2.1347344000000135,294.2439015,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,cgcut2,cgcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\cgcut2.csv,23,297.55407
generalization_public_1seed_300s__gcut1,1000,3,4,1.0,0.0,4,1.0,0.0,4,1.0,-1.1102230246251565e-16,0.745728,0.7457280000000001,0.654248,0.0,0.654248,0.0,0.654248,0.4311427000000094,-286.09939779999996,0.6939343000000235,286.7933321,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,gcut1,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut1.csv,10,290.263408
generalization_public_1seed_300s__cgcut3,1000,16,19,3.0,0.0,19,3.0,0.0,19,3.0,0.0,0.8571031746031746,0.8571031746031746,0.8364661654135338,0.0,0.8364661654135338,0.0,0.8364661654135338,0.05637960000001385,-295.65536690000005,1.5267863999999918,297.18215330000004,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,cgcut3,cgcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\cgcut3.csv,62,299.713131
generalization_public_1seed_300s__gcut5,1000,3,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,0.8898159999999999,0.8898159999999999,0.7270666666666666,0.0,0.7270666666666666,0.0,0.7270666666666666,0.10742429999993419,-286.4786163,0.9662543000000596,287.44487060000006,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,gcut5,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut5.csv,10,289.49906
generalization_public_1seed_300s__gcut9,1000,3,3,0.0,0.0,3,0.0,0.0,3,0.0,-0.019591499999999984,0.8864035,0.905995,0.6739433333333333,0.0,0.6739433333333333,0.0,0.6739433333333333,0.3855831999999282,-285.38624259999995,0.8163025000000061,286.20254509999995,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,gcut9,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut9.csv,10,289.256144
generalization_public_1seed_300s__gcut10,1000,6,7,1.0,0.0,7,1.0,0.0,7,1.0,-1.1102230246251565e-16,0.8150284999999999,0.8150285,0.7650538571428571,0.0,0.7650538571428571,0.0,0.7650538571428571,0.0068879000000379165,-286.84805960000006,1.7633249999998952,288.61138459999995,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,gcut10,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut10.csv,20,292.009773
generalization_public_1seed_300s__gcut2,1000,5,6,1.0,1.0,6,1.0,0.0,5,0.0,-0.054242400000000024,0.8492256,0.903468,0.732168,-0.14643359999999994,0.732168,0.0,0.8786016,1.1977357999999185,-286.5003432000001,1.3681658000000425,287.86850900000013,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,gcut2,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut2.csv,20,292.15659
generalization_public_1seed_300s__gcut6,1000,5,7,2.0,0.0,6,1.0,-1.0,6,1.0,-0.04809439999999998,0.8446088,0.8927032,0.7040325714285715,0.0,0.8213713333333333,0.11733876190476189,0.8213713333333333,0.13320560000011028,-294.8277392,1.1170756000001347,295.94481480000013,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,gcut6,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut6.csv,20,298.223522
generalization_public_1seed_300s__gcut11,1000,7,8,1.0,0.0,8,1.0,0.0,8,1.0,-0.00599485714285708,0.8936985714285715,0.8996934285714285,0.817065,0.0,0.817065,0.0,0.817065,0.39989940000009483,-292.71447549999993,1.5305582000000868,294.2450337,baseline_greedy,rh_mcts_prefix_beam,rh_mcts_ref,generalization_public_1seed_300s,gcut11,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut11.csv,30,297.92829
