board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,756,756,5.0,5.0,1864.5,924.0,1864.5,924.0,0
1,401,401,1869.5,5.0,561.0,1094.0,1094.0,561.0,1
1,1178,1178,5.0,929.0,1680.0,250.5,1680.0,250.5,0
1,1076,1076,1685.0,1099.0,624.0,100.0,624.0,100.0,0
2,602,602,5.0,5.0,2376.0,620.0,2376.0,620.0,0
2,516,516,5.0,625.0,2326.0,575.0,2326.0,575.0,0
2,50,50,2331.0,625.0,92.0,550.0,550.0,92.0,1
3,973,973,5.0,5.0,1833.0,800.0,1833.0,800.0,0
3,672,672,5.0,805.0,2375.0,380.0,2375.0,380.0,0
3,45,45,1838.0,5.0,574.0,800.0,800.0,574.0,1
4,310,310,5.0,5.0,1897.0,762.0,1897.0,762.0,0
4,1175,1175,5.0,767.0,2350.0,442.0,2350.0,442.0,0
4,673,673,1902.0,5.0,519.0,732.5,732.5,519.0,1
4,875,875,2355.0,737.5,70.0,435.0,435.0,70.0,1
5,1164,1164,5.0,5.0,2326.0,575.0,2326.0,575.0,0
5,231,231,5.0,580.0,2400.0,520.0,2400.0,520.0,0
5,47,47,5.0,1100.0,2400.0,100.0,2400.0,100.0,0
5,778,778,2331.0,5.0,92.0,550.0,550.0,92.0,1
6,526,526,5.0,5.0,1775.0,753.0,1775.0,753.0,0
6,434,434,5.0,758.0,2363.0,449.0,2363.0,449.0,0
6,205,205,1780.0,5.0,655.0,733.0,655.0,733.0,0
6,726,726,2368.0,738.0,60.0,477.0,477.0,60.0,1
7,490,490,5.0,5.0,1301.0,975.0,1301.0,975.0,0
7,1181,1181,1306.0,5.0,755.0,1173.0,755.0,1173.0,0
7,1116,1116,2061.0,5.0,349.0,982.0,982.0,349.0,1
7,639,639,5.0,980.0,1264.0,170.0,1264.0,170.0,0
7,678,678,2061.0,987.0,345.0,225.0,225.0,345.0,1
7,1000,1000,5.0,1150.0,991.0,60.0,991.0,60.0,0
8,597,597,5.0,5.0,1264.0,997.0,1264.0,997.0,0
8,1032,1032,1269.0,5.0,953.0,866.5,953.0,866.5,0
8,319,319,5.0,1002.0,2260.0,184.0,2260.0,184.0,0
8,451,451,2222.0,5.0,206.0,827.0,827.0,206.0,1
8,1208,1208,1269.0,871.5,654.0,120.0,654.0,120.0,0
8,27,27,2265.0,832.0,163.5,342.0,163.5,342.0,0
8,53,53,1923.0,871.5,300.0,70.0,70.0,300.0,1
9,465,465,5.0,5.0,1555.5,804.0,1555.5,804.0,0
9,670,670,5.0,809.0,2420.0,370.0,2420.0,370.0,0
9,734,734,1560.5,5.0,857.5,795.0,795.0,857.5,1
10,994,994,5.0,5.0,1785.0,680.0,1785.0,680.0,0
10,39,39,5.0,685.0,2340.0,514.0,2340.0,514.0,0
10,117,117,1790.0,5.0,624.0,648.0,624.0,648.0,0
