board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,1555,1555,5.0,5.0,2390.0,284.0,2390.0,284.0,0
1,251,251,5.0,289.0,2364.0,246.0,2364.0,246.0,0
1,941,941,5.0,535.0,2340.0,284.0,2340.0,284.0,0
1,1188,1188,5.0,819.0,2310.0,280.0,2310.0,280.0,0
1,177,177,5.0,1099.0,2290.0,101.0,2290.0,101.0,0
1,987,987,2369.0,289.0,60.0,802.0,802.0,60.0,1
2,98,98,5.0,5.0,2406.0,316.0,2406.0,316.0,0
2,1118,1118,5.0,321.0,2406.0,316.0,2406.0,316.0,0
2,1545,1545,5.0,637.0,2406.0,316.0,2406.0,316.0,0
2,634,634,5.0,953.0,2310.0,260.0,2310.0,260.0,0
2,80,80,2315.0,953.0,89.0,250.0,250.0,89.0,1
3,918,918,5.0,5.0,2325.0,913.0,2325.0,913.0,0
3,18,18,5.0,918.0,2346.0,269.0,2346.0,269.0,0
3,789,789,2351.0,5.0,70.0,1017.0,1017.0,70.0,1
4,1356,1356,5.0,5.0,1684.0,1166.5,1684.0,1166.5,0
4,1516,1516,1689.0,5.0,725.0,1210.0,1210.0,725.0,1
5,1064,1064,5.0,5.0,2385.0,794.0,2385.0,794.0,0
5,506,506,5.0,799.0,2420.0,397.0,2420.0,397.0,0
6,1289,1289,5.0,5.0,1834.0,1019.5,1834.0,1019.5,0
6,808,808,1839.0,5.0,543.0,1059.0,1059.0,543.0,1
6,1576,1576,5.0,1024.5,1684.0,179.0,1684.0,179.0,0
6,1382,1382,1689.0,1064.0,714.0,120.0,714.0,120.0,0
7,694,694,5.0,5.0,1746.0,1050.0,1746.0,1050.0,0
7,168,168,1751.0,5.0,639.0,913.0,913.0,639.0,1
7,224,224,1751.0,918.0,669.0,274.0,669.0,274.0,0
7,1301,1301,5.0,1055.0,1032.0,160.0,160.0,1032.0,1
7,155,155,1037.0,1055.0,714.0,120.0,714.0,120.0,0
8,240,240,5.0,5.0,1600.0,1128.0,1600.0,1128.0,0
8,165,165,1605.0,5.0,775.0,1164.0,775.0,1164.0,0
8,373,373,5.0,1133.0,1495.0,70.0,1495.0,70.0,0
9,1439,1439,5.0,5.0,2325.0,680.0,2325.0,680.0,0
9,433,433,5.0,685.0,2310.0,514.0,2310.0,514.0,0
9,326,326,2330.0,5.0,100.0,920.0,100.0,920.0,0
9,532,532,2315.0,925.0,89.0,280.0,280.0,89.0,1
10,1518,1518,5.0,5.0,2325.0,680.0,2325.0,680.0,0
10,222,222,5.0,685.0,2282.0,489.0,2282.0,489.0,0
10,1034,1034,2330.0,5.0,100.0,920.0,100.0,920.0,0
11,449,449,5.0,5.0,1684.0,925.0,1684.0,925.0,0
11,875,875,5.0,930.0,2169.0,273.0,2169.0,273.0,0
11,48,48,1689.0,5.0,642.0,913.0,913.0,642.0,1
11,1030,1030,2331.0,5.0,100.0,920.0,100.0,920.0,0
