uid,step
970,1
983,2
2255,3
225,4
1356,5
2120,6
2050,7
2174,8
1212,9
494,10
1454,11
1946,12
1953,13
2200,14
77,15
1699,16
1528,17
1980,18
1875,19
990,20
1892,21
19,22
624,23
227,24
1388,25
653,26
207,27
632,28
681,29
924,30
1318,31
1964,32
1283,33
518,34
2148,35
1041,36
502,37
1389,38
718,39
2270,40
1442,41
401,42
1527,43
1726,44
215,45
1175,46
1305,47
1529,48
1672,49
1920,50
108,51
1056,52
1716,53
698,54
699,55
194,56
1030,57
690,58
2391,59
2116,60
1115,61
2276,62
746,63
1039,64
1968,65
408,66
711,67
697,68
1034,69
1466,70
407,71
724,72
873,73
926,74
1019,75
1658,76
1879,77
1916,78
1913,79
1923,80
2095,81
2153,82
839,83
124,84
539,85
1357,86
603,87
1418,88
1612,89
2277,90
1536,91
25,92
1100,93
1868,94
145,95
831,96
1755,97
1507,98
658,99
1042,100
1838,101
256,102
319,103
412,104
1625,105
571,106
118,107
1310,108
2350,109
778,110
1514,111
163,112
1091,113
1092,114
485,115
516,116
641,117
1181,118
1608,119
1914,120
1924,121
2130,122
266,123
836,124
475,125
830,126
1151,127
1766,128
1919,129
2073,130
2074,131
2078,132
2094,133
1440,134
783,135
1364,136
2338,137
1644,138
233,139
479,140
1196,141
726,142
1217,143
1464,144
559,145
1728,146
1935,147
2385,148
359,149
1506,150
1594,151
2240,152
917,153
981,154
576,155
1531,156
1545,157
1606,158
2034,159
2143,160
191,161
505,162
936,163
1114,164
1451,165
1504,166
1876,167
467,168
646,169
1945,170
1846,171
2121,172
205,173
727,174
1174,175
1238,176
1443,177
1515,178
1516,179
2071,180
2294,181
2360,182
226,183
2087,184
1093,185
1111,186
348,187
2236,188
2246,189
1127,190
1133,191
1134,192
1492,193
1646,194
1922,195
49,196
258,197
534,198
654,199
859,200
921,201
1239,202
1272,203
1498,204
2384,205
1965,206
450,207
739,208
1079,209
1191,210
1261,211
1439,212
1812,213
2090,214
2250,215
2251,216
2287,217
1565,218
97,219
572,220
573,221
867,222
1268,223
2352,224
2136,225
2355,226
103,227
147,228
195,229
290,230
294,231
322,232
332,233
444,234
490,235
491,236
620,237
908,238
1033,239
1046,240
1204,241
1385,242
1467,243
1552,244
1628,245
1794,246
1940,247
2047,248
2137,249
2392,250
193,251
965,252
1486,253
1600,254
78,255
1368,256
684,257
2190,258
1478,259
1785,260
2135,261
2262,262
1878,263
2426,264
1733,265
56,266
422,267
680,268
2194,269
2045,270
347,271
391,272
363,273
676,274
421,275
731,276
2086,277
2125,278
2411,279
353,280
262,281
743,282
821,283
890,284
1719,285
801,286
509,287
1849,288
2401,289
744,290
1485,291
2380,292
2406,293
816,294
973,295
6,296
489,297
1358,298
677,299
2388,300
1983,301
15,302
81,303
1307,304
260,305
2225,306
91,307
93,308
486,309
824,310
877,311
881,312
1249,313
1634,314
1779,315
1780,316
1216,317
1234,318
1052,319
1517,320
1484,321
1958,322
1810,323
2019,324
324,325
868,326
1499,327
437,328
895,329
2092,330
141,331
1020,332
1459,333
1533,334
1621,335
1638,336
2169,337
265,338
286,339
9,340
361,341
1900,342
1474,343
1392,344
1609,345
851,346
102,347
666,348
2152,349
1220,350
713,351
1847,352
2226,353
2075,354
1428,355
581,356
1566,357
638,358
846,359
119,360
1548,361
857,362
1654,363
1989,364
644,365
720,366
905,367
1630,368
2368,369
986,370
1647,371
804,372
1757,373
2346,374
2015,375
2337,376
1982,377
185,378
1285,379
1832,380
915,381
1537,382
2016,383
1154,384
1182,385
1242,386
1617,387
156,388
1562,389
442,390
1335,391
995,392
263,393
1031,394
928,395
1667,396
523,397
2065,398
2356,399
2429,400
514,401
747,402
2119,403
522,404
788,405
2022,406
115,407
1801,408
109,409
2295,410
650,411
669,412
328,413
812,414
50,415
451,416
741,417
776,418
752,419
1648,420
2035,421
210,422
779,423
1233,424
1387,425
1541,426
2123,427
799,428
1579,429
1122,430
2140,431
668,432
700,433
13,434
2371,435
879,436
607,437
380,438
498,439
1581,440
1125,441
1256,442
352,443
809,444
32,445
834,446
640,447
1106,448
2278,449
1193,450
825,451
1273,452
31,453
410,454
506,455
2424,456
1767,457
18,458
1702,459
143,460
1795,461
1105,462
1361,463
1074,464
1787,465
1118,466
1490,467
609,468
2214,469
52,470
360,471
438,472
1685,473
2051,474
1747,475
432,476
649,477
756,478
2409,479
471,480
356,481
1649,482
1934,483
1038,484
1126,485
2025,486
662,487
405,488
474,489
1241,490
1583,491
759,492
2147,493
685,494
1577,495
1809,496
2056,497
848,498
1338,499
956,500
1290,501
880,502
47,503
1808,504
657,505
689,506
2266,507
832,508
1089,509
2221,510
2363,511
252,512
1211,513
1660,514
2076,515
1501,516
2370,517
1391,518
1805,519
2198,520
1197,521
1309,522
1557,523
2298,524
107,525
862,526
1448,527
1725,528
1909,529
2345,530
12,531
647,532
729,533
967,534
982,535
1088,536
350,537
214,538
1222,539
2364,540
991,541
992,542
1143,543
1320,544
1814,545
2291,546
75,547
618,548
769,549
955,550
1124,551
1166,552
1404,553
1599,554
1690,555
1855,556
1908,557
2189,558
974,559
1845,560
325,561
615,562
1072,563
1932,564
1244,565
1559,566
2308,567
925,568
2020,569
2066,570
105,571
840,572
251,573
460,574
1170,575
1694,576
1017,577
1169,578
1437,579
34,580
425,581
601,582
763,583
933,584
2222,585
136,586
292,587
392,588
446,589
470,590
621,591
674,592
702,593
717,594
853,595
962,596
1519,597
1668,598
1811,599
1997,600
2207,601
2293,602
2358,603
2395,604
36,605
270,606
1055,607
1037,608
1966,609
481,610
998,611
1760,612
1129,613
1712,614
1894,615
1359,616
1626,617
2052,618
2281,619
376,620
870,621
1575,622
2372,623
623,624
390,625
1522,626
2099,627
37,628
234,629
817,630
2348,631
822,632
1870,633
672,634
912,635
994,636
1086,637
2000,638
2028,639
2029,640
960,641
541,642
1746,643
117,644
288,645
712,646
1386,647
1842,648
2242,649
599,650
335,651
1303,652
1960,653
1605,654
355,655
388,656
389,657
448,658
600,659
963,660
1582,661
1662,662
1874,663
2026,664
2091,665
2142,666
2381,667
2285,668
2141,669
2060,670
1048,671
533,672
706,673
1179,674
1372,675
1425,676
1988,677
2082,678
384,679
385,680
1036,681
1468,682
1469,683
2249,684
45,685
753,686
1138,687
1652,688
521,689
745,690
1455,691
1750,692
402,693
1693,694
2077,695
148,696
291,697
371,698
807,699
648,700
2089,701
2215,702
287,703
901,704
2132,705
2235,706
1016,707
83,708
782,709
827,710
1219,711
1371,712
1696,713
1765,714
2414,715
2416,716
1162,717
1045,718
525,719
28,720
29,721
211,722
1153,723
1671,724
1749,725
1895,726
2070,727
2212,728
465,729
775,730
1670,731
2290,732
346,733
507,734
561,735
562,736
687,737
688,738
748,739
793,740
794,741
1452,742
1763,743
1834,744
2299,745
1721,746
1781,747
121,748
563,749
1839,750
1094,751
1788,752
2245,753
2315,754
934,755
5,756
587,757
808,758
1095,759
1413,760
2203,761
882,762
1275,763
329,764
1406,765
1481,766
1450,767
517,768
692,769
820,770
863,771
1109,772
1415,773
1416,774
1463,775
1558,776
379,777
902,778
979,779
1254,780
1508,781
1653,782
1901,783
2267,784
2302,785
665,786
686,787
1312,788
1730,789
733,790
935,791
2114,792
537,793
602,794
1113,795
838,796
2079,797
161,798
1271,799
829,800
1024,801
786,802
1462,803
1493,804
1715,805
1085,806
1365,807
511,808
707,809
761,810
837,811
932,812
1025,813
1308,814
1414,815
1491,816
1704,817
1770,818
2032,819
2072,820
2097,821
2159,822
2160,823
2417,824
269,825
312,826
478,827
765,828
1026,829
1198,830
1758,831
2128,832
2223,833
2224,834
2347,835
519,836
751,837
1453,838
60,839
714,840
2228,841
8,842
1510,843
520,844
2057,845
1636,846
157,847
1289,848
626,849
1902,850
1903,851
382,852
492,853
1408,854
1791,855
1807,856
1951,857
530,858
1218,859
1458,860
2085,861
2096,862
2157,863
2158,864
2362,865
2376,866
106,867
424,868
762,869
1841,870
2040,871
1616,872
664,873
560,874
1311,875
2041,876
367,877
1931,878
70,879
894,880
2238,881
197,882
187,883
735,884
1132,885
2418,886
249,887
387,888
445,889
1482,890
1601,891
1995,892
2248,893
289,894
806,895
958,896
959,897
1713,898
1896,899
420,900
1131,901
1542,902
1543,903
7,904
112,905
327,906
409,907
441,908
693,909
896,910
2247,911
2283,912
1695,913
503,914
596,915
1235,916
1727,917
308,918
695,919
855,920
2012,921
2124,922
2373,923
2382,924
1578,925
40,926
2009,927
800,928
1698,929
1828,930
2004,931
229,932
2154,933
953,934
2268,935
1505,936
1927,937
1432,938
1035,939
1304,940
1096,941
4,942
429,943
524,944
1390,945
2017,946
2213,947
2340,948
1116,949
2427,950
1880,951
293,952
1513,953
584,954
592,955
740,956
774,957
913,958
1097,959
1314,960
1405,961
1631,962
802,963
2208,964
1207,965
317,966
734,967
1544,968
818,969
1011,970
1991,971
153,972
464,973
781,974
1959,975
2027,976
2093,977
2379,978
76,979
428,980
2127,981
888,982
889,983
58,984
501,985
619,986
842,987
2231,988
73,989
413,990
21,991
383,992
152,993
375,994
2010,995
2046,996
1210,997
1430,998
721,999
1753,1000
636,1001
1420,1002
1426,1003
2312,1004
1985,1005
1445,1006
988,1007
1572,1008
500,1009
2036,1010
449,1011
1947,1012
2317,1013
742,1014
1526,1015
1263,1016
53,1017
1554,1018
2219,1019
62,1020
884,1021
1224,1022
2168,1023
200,1024
453,1025
2403,1026
114,1027
2042,1028
98,1029
1080,1030
43,1031
625,1032
1933,1033
1936,1034
2311,1035
2273,1036
957,1037
1423,1038
188,1039
787,1040
1449,1041
1570,1042
1773,1043
1910,1044
2113,1045
2422,1046
1602,1047
2374,1048
1632,1049
100,1050
1692,1051
99,1052
373,1053
433,1054
1316,1055
1961,1056
1925,1057
202,1058
326,1059
643,1060
696,1061
719,1062
1596,1063
2053,1064
2133,1065
149,1066
1769,1067
730,1068
2365,1069
569,1070
257,1071
679,1072
1950,1073
598,1074
