board,n_parts,used_area,waste_area,board_area,U
1,17,2109774.7,867025.2999999998,2976800.0,0.7087391494221984
2,4,2807972.0,168828.0,2976800.0,0.943285407148616
3,3,2861170.0,115630.0,2976800.0,0.9611562751948401
4,3,2828100.0,148700.0,2976800.0,0.9500470303681806
5,4,2894831.5,81968.5,2976800.0,0.9724642233270626
6,4,2860520.0,116280.0,2976800.0,0.9609379199140016
7,4,2904257.0,72543.0,2976800.0,0.9756305428648213
8,6,2848773.0,128027.0,2976800.0,0.9569917360924483
9,9,2792499.5,184300.5,2976800.0,0.9380877116366568
10,6,2560568.5,416231.5,2976800.0,0.8601748521902715
11,7,2832622.0,144178.0,2976800.0,0.9515661112604139
12,5,2873936.0,102864.0,2976800.0,0.9654447729105079
13,6,2902240.0,74560.0,2976800.0,0.9749529696318194
14,6,2875820.0,100980.0,2976800.0,0.9660776672937382
15,8,2857610.0,119190.0,2976800.0,0.9599603601182478
16,5,2847435.0,129365.0,2976800.0,0.9565422601451222
17,7,2869426.0,107374.0,2976800.0,0.9639297231926901
18,6,2819913.0,156887.0,2976800.0,0.9472967616232195
19,4,2483110.0,493690.0,2976800.0,0.8341541252351519
20,4,2826950.0,149850.0,2976800.0,0.9496607094866971
21,4,2872850.0,103950.0,2976800.0,0.965079951625907
22,4,2866327.0,110473.0,2976800.0,0.9628886723998925
23,4,2866327.0,110473.0,2976800.0,0.9628886723998925
24,5,2919299.5,57500.5,2976800.0,0.9806837879602257
25,6,2882299.0,94501.0,2976800.0,0.968254165546896
26,4,2850967.0,125833.0,2976800.0,0.9577287691480785
27,4,2863079.0,113721.0,2976800.0,0.9617975678581027
28,5,2831392.0,145408.0,2976800.0,0.9511529158828272
29,5,2883013.0,93787.0,2976800.0,0.9684940204246171
30,4,2794453.0,182347.0,2976800.0,0.9387439532383768
31,4,2766682.0,210118.0,2976800.0,0.9294148078473529
32,4,2830641.5,146158.5,2976800.0,0.950900799516259
33,5,2860117.0,116683.0,2976800.0,0.9608025396398817
34,5,2879194.0,97606.0,2976800.0,0.9672110991668906
35,5,2872744.0,104056.0,2976800.0,0.9650443429185703
36,5,2821810.0,154990.0,2976800.0,0.9479340231120666
37,6,2803224.0,173576.0,2976800.0,0.9416904058048912
38,6,2799194.75,177605.25,2976800.0,0.9403368550120935
39,6,2780640.0,196160.0,2976800.0,0.9341037355549583
40,6,2776038.0,200762.0,2976800.0,0.9325577801666218
41,6,2760078.0,216722.0,2976800.0,0.9271963181940338
42,7,2824056.0,152744.0,2976800.0,0.948688524590164
43,6,2751996.0,224804.0,2976800.0,0.9244813222252083
44,7,2766496.0,210304.0,2976800.0,0.9293523246439129
45,8,2787146.0,189654.0,2976800.0,0.9362893039505509
46,4,2585211.5,391588.5,2976800.0,0.8684532047836603
47,6,2817968.0,158832.0,2976800.0,0.9466433754367105
48,6,2785467.0,191333.0,2976800.0,0.9357252754635851
49,6,2745765.0,231035.0,2976800.0,0.9223881349099704
50,4,2848256.0,128544.0,2976800.0,0.9568180596613813
