board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,918,918,5.0,5.0,2325.0,913.0,2325.0,913.0,0
1,1555,1555,5.0,918.0,2390.0,284.0,2390.0,284.0,0
1,1085,1085,2330.0,5.0,100.0,864.0,864.0,100.0,1
2,1356,1356,5.0,5.0,1684.0,1166.5,1684.0,1166.5,0
2,1516,1516,1689.0,5.0,725.0,1210.0,1210.0,725.0,1
3,1064,1064,5.0,5.0,2385.0,794.0,2385.0,794.0,0
3,506,506,5.0,799.0,2420.0,397.0,2420.0,397.0,0
4,1289,1289,5.0,5.0,1834.0,1019.5,1834.0,1019.5,0
4,808,808,1839.0,5.0,543.0,1059.0,1059.0,543.0,1
4,1576,1576,5.0,1024.5,1684.0,179.0,1684.0,179.0,0
4,486,486,1689.0,1064.0,714.0,120.0,714.0,120.0,0
5,694,694,5.0,5.0,1746.0,1050.0,1746.0,1050.0,0
5,168,168,1751.0,5.0,639.0,913.0,913.0,639.0,1
5,52,52,1751.0,918.0,669.0,274.0,669.0,274.0,0
5,643,643,5.0,1055.0,950.0,130.0,950.0,130.0,0
5,1382,1382,955.0,1055.0,714.0,120.0,714.0,120.0,0
6,240,240,5.0,5.0,1600.0,1128.0,1600.0,1128.0,0
6,165,165,1605.0,5.0,775.0,1164.0,775.0,1164.0,0
6,373,373,5.0,1133.0,1495.0,70.0,1495.0,70.0,0
7,1439,1439,5.0,5.0,2325.0,680.0,2325.0,680.0,0
7,433,433,5.0,685.0,2310.0,514.0,2310.0,514.0,0
7,326,326,2330.0,5.0,100.0,920.0,100.0,920.0,0
8,1518,1518,5.0,5.0,2325.0,680.0,2325.0,680.0,0
8,222,222,5.0,685.0,2282.0,489.0,2282.0,489.0,0
8,1037,1037,2330.0,5.0,100.0,920.0,100.0,920.0,0
9,449,449,5.0,5.0,1684.0,925.0,1684.0,925.0,0
9,18,18,5.0,930.0,2346.0,269.0,2346.0,269.0,0
9,48,48,1689.0,5.0,642.0,913.0,913.0,642.0,1
9,423,423,2331.0,5.0,94.0,864.0,864.0,94.0,1
9,884,884,2351.0,869.0,70.0,329.5,329.5,70.0,1
10,698,698,5.0,5.0,1350.0,1050.0,1350.0,1050.0,0
10,817,817,1355.0,5.0,1050.0,1114.0,1050.0,1114.0,0
11,1420,1420,5.0,5.0,1434.5,964.0,1434.5,964.0,0
11,737,737,1439.5,5.0,925.0,984.0,925.0,984.0,0
11,1361,1361,5.0,989.0,2290.0,225.0,2290.0,225.0,0
11,487,487,2364.5,5.0,60.0,1194.0,1194.0,60.0,1
12,899,899,5.0,5.0,2414.0,560.0,2414.0,560.0,0
12,883,883,5.0,565.0,2395.0,560.0,2395.0,560.0,0
12,1086,1086,5.0,1125.0,2043.0,70.0,2043.0,70.0,0
12,208,208,2048.0,1125.0,384.0,60.0,384.0,60.0,0
13,1295,1295,5.0,5.0,2310.0,580.0,2310.0,580.0,0
13,47,47,5.0,585.0,2420.0,550.0,2420.0,550.0,0
13,1119,1119,5.0,1135.0,2037.5,70.0,2037.5,70.0,0
13,1123,1123,2315.0,5.0,94.0,553.5,553.5,94.0,1
13,1580,1580,2042.5,1135.0,326.0,80.0,80.0,326.0,1
14,97,97,5.0,5.0,2420.0,550.0,2420.0,550.0,0
14,873,873,5.0,555.0,2420.0,550.0,2420.0,550.0,0
14,177,177,5.0,1105.0,2290.0,101.0,2290.0,101.0,0
15,1147,1147,5.0,5.0,2420.0,550.0,2420.0,550.0,0
15,1169,1169,5.0,555.0,2420.0,550.0,2420.0,550.0,0
15,642,642,5.0,1105.0,2004.0,94.0,2004.0,94.0,0
15,1081,1081,2009.0,1105.0,420.0,70.0,420.0,70.0,0
16,1197,1197,5.0,5.0,2420.0,550.0,2420.0,550.0,0
16,1590,1590,5.0,555.0,2415.0,550.0,2415.0,550.0,0
16,374,374,5.0,1105.0,1435.0,110.0,1435.0,110.0,0
