board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,81,81,5.0,5.0,2397.0,812.0,2397.0,812.0,0
1,1067,1067,5.0,817.0,2350.0,394.0,2350.0,394.0,0
1,608,608,2355.0,817.0,75.0,383.0,383.0,75.0,1
2,384,384,5.0,5.0,2321.0,814.0,2321.0,814.0,0
2,1977,1977,5.0,819.0,2350.0,394.0,2350.0,394.0,0
2,829,829,2355.0,5.0,80.0,1209.5,1209.5,80.0,1
3,2137,2137,5.0,5.0,1720.0,1071.0,1720.0,1071.0,0
3,1500,1500,1725.0,5.0,679.5,1209.0,1209.0,679.5,1
3,2086,2086,5.0,1076.0,1614.0,70.0,1614.0,70.0,0
3,471,471,5.0,1146.0,1433.0,60.0,1433.0,60.0,0
4,1516,1516,5.0,5.0,1627.5,1083.5,1627.5,1083.5,0
4,1023,1023,1632.5,5.0,732.0,1190.0,1190.0,732.0,1
4,904,904,5.0,1088.5,1585.0,70.0,1585.0,70.0,0
4,1239,1239,2364.5,5.0,70.0,1064.0,1064.0,70.0,1
5,547,547,5.0,5.0,1883.5,896.0,1883.5,896.0,0
5,519,519,5.0,901.0,2330.0,312.0,2330.0,312.0,0
5,343,343,1888.5,5.0,543.0,884.0,884.0,543.0,1
5,930,930,2335.0,889.0,73.5,310.0,73.5,310.0,0
6,1004,1004,5.0,5.0,1445.0,1150.0,1445.0,1150.0,0
6,2371,2371,1450.0,5.0,901.5,1144.0,901.5,1144.0,0
6,31,31,2351.5,5.0,70.0,1004.0,1004.0,70.0,1
6,2702,2702,5.0,1155.0,962.0,60.0,962.0,60.0,0
6,396,396,967.0,1155.0,953.0,60.0,953.0,60.0,0
6,1948,1948,1920.0,1149.0,513.0,60.0,513.0,60.0,0
7,119,119,5.0,5.0,1440.0,1150.0,1440.0,1150.0,0
7,369,369,1445.0,5.0,900.0,989.0,900.0,989.0,0
7,348,348,1445.0,994.0,976.0,220.0,976.0,220.0,0
7,775,775,5.0,1155.0,1394.0,60.0,1394.0,60.0,0
7,2669,2669,2345.0,5.0,80.0,892.0,892.0,80.0,1
8,1982,1982,5.0,5.0,2257.0,710.0,2257.0,710.0,0
8,1675,1675,5.0,715.0,2357.0,499.0,2357.0,499.0,0
8,2303,2303,2262.0,5.0,145.5,640.5,145.5,640.5,0
8,999,999,2362.0,645.5,70.0,564.0,564.0,70.0,1
9,170,170,5.0,5.0,1395.0,1062.0,1395.0,1062.0,0
9,2033,2033,1400.0,5.0,1004.0,883.5,883.5,1004.0,1
9,869,869,1400.0,888.5,1033.5,322.0,1033.5,322.0,0
9,541,541,5.0,1067.0,1326.5,145.5,1326.5,145.5,0
10,1091,1091,5.0,5.0,1563.5,917.5,1563.5,917.5,0
10,1908,1908,1568.5,5.0,855.5,877.5,877.5,855.5,1
10,253,253,5.0,922.5,2370.0,289.0,2370.0,289.0,0
10,2062,2062,2375.0,882.5,60.0,315.0,315.0,60.0,1
11,1972,1972,5.0,5.0,2260.0,625.0,2260.0,625.0,0
11,340,340,5.0,630.0,2400.0,580.0,2400.0,580.0,0
11,2614,2614,2265.0,5.0,162.0,576.0,162.0,576.0,0
12,2492,2492,5.0,5.0,2400.0,580.0,2400.0,580.0,0
12,2138,2138,5.0,585.0,2400.0,574.0,2400.0,574.0,0
13,492,492,5.0,5.0,1832.0,755.0,1832.0,755.0,0
13,599,599,5.0,760.0,2400.0,440.0,2400.0,440.0,0
13,1156,1156,1837.0,5.0,550.0,755.0,755.0,550.0,1
14,546,546,5.0,5.0,1820.0,754.0,1820.0,754.0,0
14,1589,1589,5.0,759.0,2400.0,440.0,2400.0,440.0,0
14,1639,1639,1825.0,5.0,550.0,732.0,732.0,550.0,1
14,883,883,2375.0,5.0,60.0,727.0,727.0,60.0,1
15,2664,2664,5.0,5.0,1534.0,894.0,1534.0,894.0,0
15,2329,2329,1539.0,5.0,887.0,982.0,982.0,887.0,1
15,1286,1286,5.0,899.0,1524.0,303.0,1524.0,303.0,0
15,754,754,1529.0,987.0,836.0,199.0,836.0,199.0,0
16,1409,1409,5.0,5.0,2330.0,586.0,2330.0,586.0,0
16,659,659,5.0,591.0,2410.0,564.0,2410.0,564.0,0
16,1953,1953,5.0,1155.0,1266.0,60.0,1266.0,60.0,0
16,2425,2425,1271.0,1155.0,1164.0,60.0,1164.0,60.0,0
16,827,827,2335.0,5.0,100.0,509.0,509.0,100.0,1
17,1495,1495,5.0,5.0,2410.0,564.0,2410.0,564.0,0
17,2536,2536,5.0,569.0,2410.0,564.0,2410.0,564.0,0
17,954,954,5.0,1133.0,2289.0,70.0,2289.0,70.0,0
18,847,847,5.0,5.0,2305.0,588.0,2305.0,588.0,0
18,41,41,5.0,593.0,2405.0,554.0,2405.0,554.0,0
