board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,939,939,5.0,5.0,430.0,326.0,326.0,430.0,1
1,812,812,5.0,331.0,478.0,293.0,478.0,293.0,0
1,917,917,5.0,624.0,424.0,301.0,424.0,301.0,0
1,1016,1016,429.0,624.0,419.5,279.0,419.5,279.0,0
1,934,934,848.5,5.0,261.0,896.0,896.0,261.0,1
1,44,44,1109.5,5.0,877.5,279.0,279.0,877.5,1
1,266,266,1109.5,284.0,861.5,272.0,861.5,272.0,0
1,1129,1129,1109.5,556.0,861.5,272.0,861.5,272.0,0
1,427,427,1109.5,828.0,867.0,281.0,867.0,281.0,0
1,995,995,5.0,925.0,857.5,279.0,279.0,857.5,1
1,972,972,1987.0,5.0,279.0,856.5,279.0,856.5,0
1,232,232,483.0,5.0,298.0,573.0,298.0,573.0,0
1,1234,1234,1976.5,861.5,425.0,344.0,425.0,344.0,0
2,940,940,5.0,5.0,841.0,289.0,841.0,289.0,0
2,1014,1014,846.0,5.0,841.0,289.0,841.0,289.0,0
2,861,861,1687.0,5.0,300.0,835.0,835.0,300.0,1
2,386,386,5.0,294.0,832.0,300.0,832.0,300.0,0
2,439,439,5.0,594.0,832.0,300.0,832.0,300.0,0
2,538,538,5.0,894.0,832.0,300.0,832.0,300.0,0
2,792,792,1987.0,5.0,300.0,832.0,832.0,300.0,1
2,793,793,837.0,294.0,300.0,832.0,832.0,300.0,1
2,826,826,1137.0,294.0,300.0,832.0,832.0,300.0,1
2,774,774,1437.0,840.0,539.0,311.0,539.0,311.0,0
2,135,135,1987.0,837.0,429.0,351.0,429.0,351.0,0
2,286,286,1437.0,294.0,232.0,360.0,232.0,360.0,0
2,121,121,2287.0,5.0,143.5,560.0,143.5,560.0,0
2,709,709,837.0,1151.0,941.0,60.0,941.0,60.0,0
3,966,966,5.0,5.0,832.0,300.0,832.0,300.0,0
3,254,254,837.0,5.0,770.0,324.0,770.0,324.0,0
3,621,621,1607.0,5.0,770.0,324.0,770.0,324.0,0
3,689,689,5.0,305.0,320.0,762.0,762.0,320.0,1
3,719,719,325.0,305.0,329.0,762.0,762.0,329.0,1
3,202,202,654.0,329.0,696.5,326.5,696.5,326.5,0
3,3,3,1350.5,329.0,682.0,350.0,682.0,350.0,0
3,288,288,2032.5,329.0,363.0,672.0,672.0,363.0,1
3,297,297,654.0,655.5,672.0,363.0,672.0,363.0,0
3,339,339,1326.0,679.0,672.0,363.0,672.0,363.0,0
3,639,639,654.0,1042.0,1264.0,170.0,1264.0,170.0,0
3,726,726,5.0,1067.0,477.0,60.0,477.0,60.0,0
3,449,449,1918.0,1042.0,428.0,160.0,160.0,428.0,1
3,1206,1206,5.0,1127.0,400.0,70.0,400.0,70.0,0
4,429,429,5.0,5.0,672.0,363.0,672.0,363.0,0
4,464,464,5.0,368.0,672.0,363.0,672.0,363.0,0
4,524,524,5.0,731.0,672.0,363.0,672.0,363.0,0
4,559,559,677.0,5.0,672.0,363.0,672.0,363.0,0
4,600,600,1349.0,5.0,672.0,363.0,672.0,363.0,0
4,732,732,677.0,368.0,672.0,363.0,672.0,363.0,0
4,743,743,677.0,731.0,672.0,363.0,672.0,363.0,0
4,883,883,1349.0,368.0,672.0,363.0,672.0,363.0,0
4,885,885,1349.0,731.0,672.0,363.0,672.0,363.0,0
4,886,886,2021.0,5.0,363.0,672.0,672.0,363.0,1
4,971,971,2021.0,677.0,299.0,526.0,526.0,299.0,1
4,1146,1146,5.0,1094.0,1959.0,120.0,1959.0,120.0,0
4,1006,1006,2320.0,677.0,70.0,414.0,414.0,70.0,1
5,906,906,5.0,5.0,672.0,363.0,672.0,363.0,0
5,909,909,5.0,368.0,672.0,363.0,672.0,363.0,0
5,945,945,5.0,731.0,672.0,363.0,672.0,363.0,0
5,970,970,677.0,5.0,672.0,363.0,672.0,363.0,0
5,1064,1064,1349.0,5.0,672.0,363.0,672.0,363.0,0
5,1109,1109,677.0,368.0,672.0,363.0,672.0,363.0,0
5,441,441,1349.0,368.0,671.0,359.0,671.0,359.0,0
5,825,825,1349.0,727.0,573.0,298.0,298.0,573.0,1
5,98,98,677.0,731.0,551.0,435.5,435.5,551.0,1
5,1050,1050,2020.0,368.0,311.0,539.0,539.0,311.0,1
5,20,20,2021.0,5.0,412.0,323.0,412.0,323.0,0
5,746,746,1922.0,907.0,450.0,281.0,450.0,281.0,0
5,649,649,1228.0,1025.0,580.0,180.0,180.0,580.0,1
6,735,735,5.0,5.0,551.0,435.5,435.5,551.0,1
6,1131,1131,5.0,440.5,551.0,435.5,435.5,551.0,1
6,1170,1170,556.0,5.0,551.0,435.5,435.5,551.0,1
6,532,532,556.0,440.5,553.0,419.0,419.0,553.0,1
6,626,626,1107.0,5.0,553.0,419.0,419.0,553.0,1
6,848,848,1660.0,5.0,553.0,419.0,419.0,553.0,1
6,608,608,556.0,859.5,539.0,331.0,539.0,331.0,0
6,1123,1123,1095.0,859.5,539.0,331.0,539.0,331.0,0
6,1112,1112,1634.0,424.0,331.0,539.0,539.0,331.0,1
6,1042,1042,1965.0,424.0,331.0,539.0,539.0,331.0,1
6,682,682,5.0,876.0,539.0,331.0,539.0,331.0,0
6,519,519,1634.0,963.0,774.0,183.0,774.0,183.0,0
7,351,351,5.0,5.0,544.0,460.0,460.0,544.0,1
7,361,361,5.0,465.0,544.0,460.0,460.0,544.0,1
7,447,447,549.0,5.0,544.0,460.0,460.0,544.0,1
7,528,528,549.0,465.0,544.0,460.0,460.0,544.0,1
7,707,707,1093.0,5.0,544.0,460.0,460.0,544.0,1
7,1132,1132,1637.0,5.0,463.5,542.0,463.5,542.0,0
7,320,320,1093.0,465.0,443.0,543.0,443.0,543.0,0
7,341,341,1536.0,547.0,543.0,443.0,443.0,543.0,1
7,648,648,2079.0,547.0,331.0,539.0,539.0,331.0,1
7,390,390,2100.5,5.0,303.0,519.0,519.0,303.0,1
7,789,789,5.0,925.0,465.0,271.0,465.0,271.0,0
7,736,736,470.0,925.0,411.0,281.0,411.0,281.0,0
7,80,80,881.0,1008.0,914.0,160.0,160.0,914.0,1
8,342,342,5.0,5.0,543.0,443.0,443.0,543.0,1
8,457,457,5.0,448.0,543.0,443.0,443.0,543.0,1
8,632,632,548.0,5.0,543.0,443.0,443.0,543.0,1
8,839,839,548.0,448.0,543.0,443.0,443.0,543.0,1
8,863,863,1091.0,5.0,543.0,443.0,443.0,543.0,1
8,887,887,1091.0,448.0,543.0,443.0,443.0,543.0,1
8,219,219,1634.0,5.0,453.0,541.0,453.0,541.0,0
