uid,step
939,1
812,2
917,3
1016,4
934,5
44,6
266,7
1129,8
427,9
995,10
972,11
940,12
1014,13
861,14
386,15
439,16
538,17
792,18
793,19
826,20
966,21
254,22
621,23
689,24
719,25
202,26
3,27
288,28
297,29
339,30
429,31
464,32
524,33
559,34
600,35
732,36
743,37
883,38
885,39
886,40
906,41
909,42
945,43
970,44
1064,45
1109,46
441,47
232,48
825,49
98,50
735,51
1131,52
1170,53
532,54
626,55
848,56
351,57
361,58
447,59
528,60
707,61
1132,62
774,63
1050,64
320,65
341,66
342,67
457,68
632,69
839,70
863,71
887,72
219,73
346,74
1099,75
168,76
548,77
834,78
963,79
279,80
388,81
539,82
572,83
653,84
706,85
770,86
929,87
974,88
978,89
1087,90
1133,91
1161,92
1162,93
1172,94
1,95
352,96
485,97
250,98
514,99
837,100
1111,101
648,102
608,103
1123,104
1112,105
1042,106
682,107
458,108
402,109
454,110
481,111
971,112
390,113
399,114
420,115
531,116
918,117
755,118
965,119
588,120
789,121
613,122
731,123
1022,124
135,125
736,126
1234,127
20,128
746,129
656,130
711,131
877,132
1058,133
655,134
1023,135
624,136
891,137
282,138
764,139
435,140
722,141
103,142
1061,143
703,144
1160,145
381,146
554,147
591,148
980,149
269,150
756,151
401,152
1178,153
50,154
602,155
516,156
778,157
973,158
672,159
45,160
310,161
1175,162
673,163
875,164
1164,165
231,166
47,167
1136,168
526,169
434,170
205,171
873,172
490,173
1181,174
1116,175
639,176
678,177
1000,178
597,179
1032,180
319,181
383,182
465,183
670,184
734,185
994,186
39,187
117,188
1141,189
644,190
113,191
683,192
122,193
1081,194
263,195
311,196
329,197
999,198
494,199
583,200
124,201
1002,202
51,203
1004,204
852,205
178,206
729,207
37,208
54,209
1113,210
188,211
186,212
801,213
870,214
53,215
1053,216
142,217
779,218
4,219
702,220
976,221
1173,222
814,223
799,224
838,225
618,226
234,227
189,228
82,229
260,230
921,231
867,232
800,233
423,234
675,235
255,236
1068,237
832,238
1098,239
1228,240
1084,241
1115,242
1190,243
15,244
1140,245
433,246
1233,247
714,248
344,249
784,250
72,251
1145,252
43,253
287,254
371,255
5,256
726,257
1057,258
557,259
845,260
876,261
453,262
1163,263
450,264
558,265
727,266
94,267
849,268
1191,269
1143,270
1213,271
685,272
747,273
1201,274
668,275
889,276
139,277
165,278
63,279
424,280
42,281
215,282
333,283
84,284
1059,285
803,286
1080,287
27,288
88,289
534,290
377,291
77,292
1005,293
120,294
277,295
417,296
1146,297
317,298
298,299
412,300
486,301
708,302
615,303
737,304
758,305
914,306
1216,307
661,308
1006,309
1037,310
79,311
1155,312
112,313
130,314
1076,315
106,316
136,317
1222,318
1085,319
704,320
123,321
195,322
325,323
807,324
926,325
780,326
1208,327
327,328
355,329
1028,330
1159,331
129,332
1144,333
467,334
503,335
75,336
60,337
1077,338
48,339
505,340
577,341
110,342
59,343
874,344
785,345
622,346
628,347
509,348
781,349
948,350
566,351
1214,352
629,353
773,354
740,355
1106,356
126,357
1217,358
775,359
795,360
1047,361
286,362
1069,363
1142,364
730,365
904,366
958,367
987,368
507,369
797,370
1150,371
991,372
1118,373
34,374
25,375
1147,376
1212,377
472,378
172,379
76,380
511,381
777,382
1209,383
744,384
752,385
418,386
1071,387
413,388
468,389
810,390
640,391
950,392
125,393
601,394
796,395
919,396
1102,397
786,398
1079,399
196,400
1100,401
252,402
1075,403
224,404
986,405
961,406
127,407
49,408
210,409
996,410
55,411
449,412
1078,413
1148,414
680,415
246,416
264,417
847,418
69,419
73,420
302,421
871,422
1074,423
1070,424
52,425
725,426
1038,427
1224,428
540,429
1120,430
128,431
1210,432
248,433
1019,434
866,435
1211,436
1082,437
201,438
782,439
1066,440
911,441
1020,442
57,443
80,444
220,445
633,446
121,447
1040,448
270,449
30,450
607,451
783,452
662,453
152,454
1183,455
856,456
776,457
808,458
1188,459
218,460
265,461
1072,462
949,463
709,464
798,465
426,466
903,467
954,468
596,469
868,470
1067,471
1205,472
857,473
238,474
242,475
1017,476
145,477
765,478
148,479
244,480
267,481
226,482
241,483
1207,484
1003,485
908,486
436,487
245,488
337,489
243,490
1045,491
790,492
1202,493
209,494
362,495
843,496
888,497
766,498
1090,499
1073,500
890,501
612,502
710,503
947,504
1227,505
687,506
213,507
385,508
474,509
1180,510
185,511
521,512
324,513
1215,514
1083,515
728,516
1149,517
147,518
938,519
1052,520
872,521
1206,522
1001,523
869,524
1093,525
1195,526
513,527
666,528
933,529
985,530
748,531
594,532
68,533
444,534
742,535
313,536
116,537
611,538
679,539
370,540
984,541
1089,542
625,543
1221,544
108,545
479,546
853,547
1088,548
817,549
690,550
1110,551
663,552
357,553
804,554
451,555
480,556
203,557
858,558
463,559
942,560
335,561
387,562
762,563
105,564
273,565
483,566
519,567
487,568
841,569
932,570
181,571
592,572
1199,573
916,574
283,575
118,576
10,577
1051,578
576,579
141,580
296,581
384,582
1230,583
207,584
646,585
818,586
956,587
204,588
382,589
473,590
144,591
497,592
1036,593
1096,594
1101,595
138,596
1189,597
85,598
86,599
1153,600
455,601
18,602
712,603
14,604
1193,605
26,606
405,607
543,608
374,609
89,610
816,611
306,612
307,613
1107,614
1104,615
1063,616
720,617
90,618
1125,619
1126,620
259,621
284,622
376,623
398,624
674,625
440,626
1034,627
1043,628
936,629
657,630
763,631
1097,632
819,633
738,634
760,635
1025,636
842,637
143,638
372,639
634,640
1186,641
691,642
389,643
380,644
1127,645
115,646
652,647
91,648
156,649
636,650
222,651
161,652
1128,653
599,654
787,655
488,656
802,657
992,658
698,659
724,660
1139,661
230,662
197,663
523,664
771,665
295,666
923,667
67,668
530,669
1008,670
66,671
442,672
64,673
159,674
235,675
967,676
12,677
701,678
200,679
495,680
358,681
446,682
360,683
565,684
584,685
881,686
501,687
573,688
8,689
93,690
930,691
931,692
1135,693
1176,694
191,695
1194,696
846,697
119,698
228,699
815,700
491,701
251,702
21,703
408,704
476,705
477,706
512,707
492,708
700,709
336,710
33,711
71,712
280,713
699,714
11,715
598,716
643,717
506,718
739,719
1138,720
1030,721
935,722
470,723
332,724
175,725
237,726
304,727
484,728
359,729
595,730
754,731
111,732
569,733
606,734
772,735
840,736
46,737
364,738
1182,739
1056,740
1041,741
41,742
651,743
227,744
953,745
198,746
1095,747
102,748
87,749
217,750
349,751
448,752
83,753
445,754
1225,755
258,756
515,757
993,758
821,759
614,760
366,761
461,762
610,763
460,764
396,765
395,766
350,767
35,768
62,769
705,770
998,771
233,772
696,773
132,774
239,775
525,776
292,777
733,778
1015,779
1065,780
924,781
394,782
104,783
199,784
173,785
529,786
620,787
510,788
410,789
827,790
957,791
697,792
28,793
268,794
338,795
768,796
367,797
820,798
988,799
989,800
1094,801
1007,802
38,803
681,804
894,805
171,806
192,807
300,808
326,809
609,810
769,811
257,812
308,813
421,814
1229,815
471,816
745,817
927,818
78,819
1169,820
363,821
960,822
229,823
619,824
109,825
163,826
13,827
1166,828
649,829
830,830
1197,831
328,832
345,833
356,834
844,835
174,836
114,837
365,838
419,839
422,840
552,841
902,842
579,843
669,844
545,845
715,846
879,847
275,848
568,849
253,850
404,851
1226,852
323,853
631,854
585,855
851,856
340,857
225,858
378,859
580,860
962,861
150,862
221,863
334,864
347,865
937,866
92,867
880,868
369,869
549,870
586,871
587,872
922,873
654,874
694,875
1119,876
428,877
499,878
741,879
101,880
276,881
563,882
692,883
425,884
475,885
158,886
316,887
2,888
564,889
590,890
1179,891
478,892
975,893
959,894
262,895
1174,896
1154,897
432,898
767,899
560,900
415,901
65,902
247,903
411,904
928,905
249,906
409,907
430,908
466,909
759,910
979,911
1171,912
107,913
518,914
140,915
32,916
216,917
321,918
322,919
504,920
604,921
353,922
983,923
169,924
170,925
285,926
749,927
647,928
1187,929
1185,930
293,931
312,932
630,933
637,934
833,935
897,936
134,937
835,938
850,939
964,940
1024,941
19,942
1026,943
194,944
686,945
437,946
925,947
878,948
1114,949
955,950
546,951
99,952
893,953
271,954
541,955
757,956
1219,957
206,958
303,959
517,960
97,961
236,962
1121,963
605,964
750,965
951,966
952,967
177,968
641,969
684,970
561,971
278,972
535,973
301,974
502,975
862,976
452,977
805,978
667,979
24,980
56,981
