uid,step
111,1
1039,2
215,3
448,4
58,5
349,6
479,7
1059,8
1094,9
185,10
569,11
365,12
277,13
1017,14
1038,15
311,16
534,17
622,18
625,19
468,20
563,21
235,22
685,23
773,24
1030,25
845,26
1040,27
1045,28
1101,29
68,30
488,31
1066,32
436,33
147,34
983,35
733,36
494,37
412,38
413,39
810,40
1100,41
1227,42
629,43
242,44
1173,45
252,46
1118,47
670,48
484,49
691,50
418,51
260,52
1053,53
217,54
737,55
1189,56
597,57
590,58
478,59
923,60
423,61
475,62
796,63
976,64
246,65
889,66
467,67
505,68
136,69
426,70
585,71
991,72
419,73
881,74
42,75
745,76
120,77
1051,78
919,79
88,80
942,81
752,82
1176,83
1180,84
852,85
490,86
1093,87
28,88
82,89
503,90
267,91
697,92
263,93
203,94
1224,95
1089,96
1188,97
1233,98
338,99
382,100
159,101
116,102
1164,103
195,104
444,105
853,106
628,107
175,108
455,109
326,110
172,111
1098,112
422,113
611,114
908,115
986,116
818,117
141,118
698,119
275,120
319,121
30,122
306,123
79,124
557,125
916,126
529,127
105,128
920,129
933,130
894,131
138,132
748,133
424,134
91,135
170,136
962,137
577,138
618,139
994,140
1139,141
300,142
385,143
188,144
802,145
787,146
1163,147
248,148
713,149
1088,150
465,151
113,152
295,153
69,154
1065,155
495,156
831,157
213,158
244,159
803,160
762,161
41,162
472,163
756,164
1032,165
238,166
866,167
1096,168
820,169
408,170
39,171
314,172
526,173
675,174
954,175
1034,176
790,177
257,178
775,179
606,180
152,181
849,182
714,183
245,184
358,185
833,186
440,187
1190,188
204,189
1175,190
1115,191
67,192
672,193
680,194
163,195
583,196
410,197
687,198
516,199
262,200
620,201
196,202
515,203
904,204
1104,205
401,206
1024,207
928,208
1036,209
897,210
386,211
280,212
1026,213
858,214
216,215
842,216
584,217
477,218
931,219
325,220
651,221
1019,222
772,223
1057,224
8,225
417,226
273,227
1128,228
985,229
405,230
1008,231
499,232
329,233
210,234
955,235
599,236
984,237
506,238
1199,239
769,240
838,241
567,242
679,243
264,244
200,245
473,246
747,247
45,248
961,249
276,250
207,251
327,252
636,253
312,254
139,255
930,256
308,257
718,258
270,259
501,260
304,261
345,262
229,263
742,264
218,265
87,266
911,267
227,268
178,269
55,270
328,271
487,272
173,273
355,274
973,275
758,276
357,277
1041,278
878,279
734,280
1052,281
1119,282
119,283
749,284
192,285
502,286
101,287
766,288
815,289
903,290
1220,291
513,292
862,293
530,294
224,295
73,296
463,297
692,298
619,299
389,300
841,301
907,302
1174,303
43,304
959,305
471,306
1195,307
938,308
432,309
958,310
434,311
844,312
843,313
118,314
296,315
453,316
78,317
454,318
504,319
165,320
106,321
602,322
489,323
922,324
446,325
1007,326
347,327
1116,328
809,329
840,330
912,331
1154,332
96,333
142,334
323,335
795,336
1135,337
637,338
587,339
521,340
361,341
910,342
998,343
186,344
36,345
13,346
110,347
107,348
509,349
1181,350
164,351
662,352
84,353
832,354
86,355
814,356
144,357
975,358
237,359
652,360
673,361
850,362
996,363
644,364
425,365
543,366
283,367
1183,368
497,369
604,370
64,371
835,372
205,373
724,374
956,375
1060,376
686,377
846,378
964,379
643,380
865,381
71,382
249,383
231,384
466,385
750,386
18,387
234,388
937,389
1156,390
663,391
549,392
265,393
132,394
861,395
1138,396
634,397
739,398
927,399
981,400
808,401
1037,402
988,403
924,404
510,405
932,406
1201,407
29,408
1025,409
859,410
117,411
518,412
630,413
387,414
1027,415
182,416
1187,417
377,418
1191,419
1092,420
560,421
226,422
500,423
1179,424
476,425
757,426
654,427
212,428
952,429
293,430
70,431
442,432
759,433
879,434
343,435
1028,436
362,437
935,438
