board,n_parts,used_area,waste_area,board_area,U
1,9,2865200.0,111600.0,2976800.0,0.9625100779360387
2,9,2898345.0,78455.0,2976800.0,0.9736445176027949
3,5,2827885.0,148915.0,2976800.0,0.9499748051599033
4,3,2772665.0,204135.0,2976800.0,0.9314246842246708
5,6,2891007.0,85793.0,2976800.0,0.9711794544477291
6,6,2867175.0,109625.0,2976800.0,0.9631735420585864
7,7,2790790.0,186010.0,2976800.0,0.9375134372480516
8,5,2736250.0,240550.0,2976800.0,0.9191917495296963
9,7,2799361.0,177439.0,2976800.0,0.9403927035743079
10,5,2815897.0,160903.0,2976800.0,0.9459476619188391
11,4,2820126.0,156674.0,2976800.0,0.9473683149690943
12,7,2829997.5,146802.5,2976800.0,0.9506844598226283
13,5,2876780.0,100020.0,2976800.0,0.9664001612469766
14,8,2889876.0,86924.0,2976800.0,0.9707995162590701
15,5,2762518.0,214282.0,2976800.0,0.9280159903251815
16,6,2819681.0,157119.0,2976800.0,0.9472188255845203
17,5,2855765.0,121035.0,2976800.0,0.9593405670518678
18,6,2795581.0,181219.0,2976800.0,0.9391228836334319
19,6,2827384.75,149415.25,2976800.0,0.949806755576458
20,6,2824733.0,152067.0,2976800.0,0.9489159500134372
21,3,2808464.0,168336.0,2976800.0,0.9434506852996506
22,6,2891810.0,84990.0,2976800.0,0.9714492072023649
23,6,2861189.0,115611.0,2976800.0,0.9611626578876646
24,8,2901152.0,75648.0,2976800.0,0.9745874764848159
25,8,2907312.0,69488.0,2976800.0,0.9766568126847621
26,6,2851566.25,125233.75,2976800.0,0.9579300759204515
27,6,2858075.25,118724.75,2976800.0,0.9601166521096479
28,6,2885380.0,91420.0,2976800.0,0.9692891695780704
29,5,2631583.0,345217.0,2976800.0,0.8840308384842784
30,4,2777647.25,199152.75,2976800.0,0.9330983774522977
31,5,2860255.0,116545.0,2976800.0,0.9608488981456598
32,6,2824363.5,152436.5,2976800.0,0.9487918234345606
33,7,2785697.0,191103.0,2976800.0,0.9358025396398818
34,6,2835232.0,141568.0,2976800.0,0.9524428916957807
35,7,2846532.0,130268.0,2976800.0,0.9562389142703575
36,8,2842223.5,134576.5,2976800.0,0.9547915546895995
37,8,2869919.0,106881.0,2976800.0,0.9640953372749261
38,8,2842192.0,134608.0,2976800.0,0.9547809728567589
39,6,2901628.75,75171.25,2976800.0,0.9747476316850309
40,4,2814529.0,162271.0,2976800.0,0.9454881080354743
41,5,2742390.0,234410.0,2976800.0,0.9212543671056168
42,7,2845112.5,131687.5,2976800.0,0.9557620599301263
43,7,2825998.0,150802.0,2976800.0,0.9493409029830691
44,7,2881936.0,94864.0,2976800.0,0.9681322225208278
45,6,2794992.0,181808.0,2976800.0,0.9389250201558721
46,6,2892921.0,83879.0,2976800.0,0.9718224267669981
47,7,2875356.0,101444.0,2976800.0,0.9659217952163397
48,6,2860674.0,116126.0,2976800.0,0.9609896533190002
49,6,2822991.0,153809.0,2976800.0,0.9483307578607901
50,6,2655576.5,321223.5,2976800.0,0.8920910037624294
51,4,2805862.0,170938.0,2976800.0,0.9425765923138941
52,7,2856586.75,120213.25,2976800.0,0.9596166185165278
53,6,2859786.75,117013.25,2976800.0,0.9606915983606558
54,7,2857865.0,118935.0,2976800.0,0.9600460225745767
55,7,2890512.5,86287.5,2976800.0,0.9710133364686913
56,6,2850707.0,126093.0,2976800.0,0.9576414270357431
57,6,2822585.0,154215.0,2976800.0,0.9481943697930664
58,4,2832824.0,143976.0,2976800.0,0.9516339693630744
59,9,2825414.0,151386.0,2976800.0,0.9491447191615158
60,6,2836754.25,140045.75,2976800.0,0.9529542629669444
61,6,2839427.0,137373.0,2976800.0,0.9538521230851922
62,6,2873214.5,103585.5,2976800.0,0.9652023985487772
63,8,2843471.0,133329.0,2976800.0,0.9552106288632088
64,7,2819964.75,156835.25,2976800.0,0.9473141460628863
65,4,2875691.0,101109.0,2976800.0,0.9660343321687719
