uid,step
785,1
533,2
569,3
900,4
332,5
355,6
792,7
848,8
979,9
744,10
265,11
1050,12
913,13
1105,14
314,15
274,16
948,17
474,18
447,19
780,20
959,21
1111,22
82,23
147,24
86,25
891,26
219,27
269,28
429,29
628,30
537,31
588,32
375,33
841,34
706,35
378,36
123,37
300,38
272,39
311,40
328,41
683,42
1030,43
1031,44
817,45
912,46
469,47
724,48
709,49
1021,50
621,51
766,52
194,53
776,54
183,55
401,56
35,57
639,58
1096,59
725,60
958,61
659,62
715,63
779,64
96,65
89,66
186,67
336,68
655,69
849,70
892,71
539,72
631,73
81,74
144,75
595,76
788,77
521,78
592,79
865,80
238,81
540,82
794,83
805,84
62,85
798,86
597,87
641,88
701,89
952,90
679,91
1104,92
783,93
290,94
134,95
740,96
29,97
505,98
576,99
699,100
386,101
770,102
601,103
1014,104
1028,105
461,106
373,107
9,108
506,109
464,110
528,111
845,112
846,113
964,114
1082,115
441,116
784,117
608,118
1049,119
178,120
629,121
823,122
2,123
741,124
777,125
309,126
245,127
844,128
504,129
481,130
988,131
583,132
349,133
989,134
980,135
607,136
994,137
228,138
287,139
557,140
54,141
630,142
896,143
609,144
926,145
131,146
136,147
925,148
1056,149
138,150
868,151
196,152
137,153
919,154
184,155
1089,156
822,157
827,158
235,159
531,160
970,161
164,162
195,163
437,164
634,165
104,166
384,167
334,168
356,169
357,170
585,171
626,172
955,173
881,174
85,175
866,176
297,177
442,178
752,179
826,180
863,181
132,182
801,183
864,184
935,185
347,186
412,187
414,188
807,189
250,190
1102,191
260,192
435,193
653,194
508,195
6,196
7,197
544,198
611,199
415,200
680,201
360,202
513,203
965,204
763,205
494,206
121,207
1039,208
130,209
84,210
23,211
20,212
885,213
668,214
775,215
1098,216
109,217
911,218
358,219
240,220
907,221
834,222
3,223
27,224
656,225
880,226
976,227
331,228
553,229
642,230
765,231
978,232
559,233
735,234
1083,235
732,236
686,237
915,238
50,239
150,240
171,241
276,242
277,243
379,244
433,245
648,246
671,247
425,248
155,249
664,250
562,251
594,252
761,253
53,254
114,255
842,256
524,257
110,258
383,259
404,260
582,261
632,262
703,263
330,264
638,265
511,266
113,267
232,268
302,269
319,270
257,271
428,272
622,273
264,274
307,275
529,276
600,277
753,278
778,279
1091,280
1092,281
737,282
637,283
46,284
95,285
157,286
174,287
646,288
833,289
961,290
1033,291
1034,292
1103,293
177,294
963,295
650,296
837,297
413,298
987,299
405,300
727,301
688,302
678,303
739,304
884,305
542,306
541,307
990,308
341,309
361,310
684,311
161,312
808,313
858,314
275,315
790,316
246,317
224,318
603,319
828,320
587,321
971,322
1019,323
1026,324
463,325
1032,326
93,327
312,328
564,329
786,330
256,331
80,332
122,333
340,334
390,335
501,336
552,337
575,338
589,339
590,340
636,341
832,342
914,343
1035,344
736,345
1012,346
339,347
167,348
369,349
175,350
561,351
1042,352
98,353
226,354
281,355
568,356
253,357
327,358
402,359
517,360
519,361
695,362
514,363
647,364
201,365
523,366
821,367
1113,368
19,369
172,370
213,371
370,372
400,373
462,374
538,375
887,376
173,377
279,378
351,379
193,380
713,381
546,382
928,383
476,384
927,385
967,386
66,387
346,388
352,389
862,390
1048,391
453,392
651,393
87,394
581,395
860,396
1057,397
67,398
480,399
18,400
154,401
229,402
458,403
543,404
933,405
293,406
294,407
424,408
565,409
932,410
934,411
1046,412
1047,413
333,414
729,415
674,416
806,417
871,418
983,419
252,420
459,421
473,422
606,423
800,424
870,425
625,426
720,427
819,428
1011,429
64,430
676,431
199,432
47,433
239,434
48,435
129,436
243,437
563,438
947,439
835,440
974,441
188,442
769,443
924,444
408,445
497,446
782,447
406,448
1106,449
71,450
545,451
742,452
266,453
202,454
350,455
478,456
797,457
362,458
890,459
344,460
479,461
923,462
718,463
445,464
323,465
953,466
192,467
599,468
133,469
872,470
1107,471
325,472
898,473
100,474
407,475
604,476
754,477
666,478
1027,479
962,480
1022,481
1023,482
111,483
159,484
318,485
598,486
203,487
204,488
610,489
673,490
675,491
861,492
929,493
205,494
982,495
21,496
