board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,4,cgcut2_0004,0.0,0.0,9.0,35.0,9.0,35.0,0
1,19,cgcut2_0019,0.0,35.0,12.0,8.0,12.0,8.0,0
1,7,cgcut2_0007,0.0,43.0,24.0,9.0,9.0,24.0,1
1,2,cgcut2_0002,9.0,0.0,31.0,13.0,31.0,13.0,0
1,1,cgcut2_0001,9.0,13.0,21.0,22.0,21.0,22.0,0
1,5,cgcut2_0005,24.0,35.0,9.0,35.0,9.0,35.0,0
1,8,cgcut2_0008,0.0,52.0,24.0,9.0,9.0,24.0,1
1,6,cgcut2_0006,0.0,61.0,24.0,9.0,9.0,24.0,1
1,14,cgcut2_0014,30.0,13.0,10.0,14.0,10.0,14.0,0
1,10,cgcut2_0010,33.0,27.0,7.0,30.0,30.0,7.0,1
1,23,cgcut2_0023,33.0,57.0,7.0,13.0,13.0,7.0,1
1,20,cgcut2_0020,12.0,35.0,12.0,8.0,12.0,8.0,0
2,3,cgcut2_0003,0.0,0.0,9.0,35.0,9.0,35.0,0
2,12,cgcut2_0012,0.0,35.0,13.0,11.0,11.0,13.0,1
2,9,cgcut2_0009,9.0,0.0,7.0,30.0,30.0,7.0,1
2,13,cgcut2_0013,0.0,46.0,13.0,11.0,11.0,13.0,1
2,17,cgcut2_0017,0.0,57.0,14.0,8.0,14.0,8.0,0
2,16,cgcut2_0016,16.0,0.0,8.0,14.0,14.0,8.0,1
2,15,cgcut2_0015,24.0,0.0,8.0,14.0,14.0,8.0,1
2,18,cgcut2_0018,32.0,0.0,8.0,12.0,12.0,8.0,1
2,22,cgcut2_0022,16.0,14.0,7.0,13.0,13.0,7.0,1
2,21,cgcut2_0021,23.0,14.0,7.0,13.0,13.0,7.0,1
2,11,cgcut2_0011,13.0,30.0,11.0,13.0,11.0,13.0,0
