board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,15,gcut10_0015,0.0,0.0,639.0,650.0,639.0,650.0,0
1,10,gcut10_0010,0.0,650.0,693.0,345.0,693.0,345.0,0
1,18,gcut10_0018,639.0,0.0,291.0,576.0,576.0,291.0,1
2,12,gcut10_0012,0.0,0.0,456.0,586.0,456.0,586.0,0
2,11,gcut10_0011,0.0,586.0,510.0,381.0,381.0,510.0,1
2,8,gcut10_0008,456.0,0.0,362.0,560.0,560.0,362.0,1
2,3,gcut10_0003,510.0,560.0,463.0,369.0,463.0,369.0,0
3,17,gcut10_0017,0.0,0.0,434.0,700.0,434.0,700.0,0
3,16,gcut10_0016,434.0,0.0,359.0,691.0,691.0,359.0,1
3,1,gcut10_0001,0.0,700.0,730.0,300.0,730.0,300.0,0
4,4,gcut10_0004,0.0,0.0,642.0,464.0,642.0,464.0,0
4,7,gcut10_0007,0.0,464.0,506.0,482.0,506.0,482.0,0
4,13,gcut10_0013,506.0,464.0,453.0,457.0,457.0,453.0,1
5,20,gcut10_0020,0.0,0.0,545.0,742.0,545.0,742.0,0
5,6,gcut10_0006,545.0,0.0,455.0,667.0,455.0,667.0,0
5,5,gcut10_0005,545.0,667.0,453.0,329.0,453.0,329.0,0
6,19,gcut10_0019,0.0,0.0,728.0,739.0,728.0,739.0,0
6,2,gcut10_0002,728.0,0.0,269.0,717.0,269.0,717.0,0
6,9,gcut10_0009,0.0,739.0,483.0,260.0,483.0,260.0,0
7,14,gcut10_0014,0.0,0.0,707.0,658.0,707.0,658.0,0
