board,n_parts,used_area,waste_area,board_area,U
1,3,788667.0,211333.0,1000000.0,0.788667
2,4,909677.0,90323.0,1000000.0,0.909677
3,4,898207.0,101793.0,1000000.0,0.898207
4,2,602086.0,397914.0,1000000.0,0.602086
5,3,868760.0,131240.0,1000000.0,0.86876
6,1,377864.0,622136.0,1000000.0,0.377864
7,4,962516.0,37484.0,1000000.0,0.962516
8,4,948652.0,51348.0,1000000.0,0.948652
9,3,845373.0,154627.0,1000000.0,0.845373
10,3,828648.0,171352.0,1000000.0,0.828648
11,4,947776.0,52224.0,1000000.0,0.947776
12,4,960928.0,39072.0,1000000.0,0.960928
13,4,933538.0,66462.0,1000000.0,0.933538
14,3,740074.0,259926.0,1000000.0,0.740074
15,4,909226.0,90774.0,1000000.0,0.909226
