board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,12,gcut12_0012,0.0,0.0,554.0,549.0,554.0,549.0,0
1,15,gcut12_0015,554.0,0.0,426.0,579.0,426.0,579.0,0
1,36,gcut12_0036,0.0,579.0,583.0,421.0,583.0,421.0,0
1,18,gcut12_0018,583.0,579.0,323.0,382.0,382.0,323.0,1
2,42,gcut12_0042,0.0,0.0,479.0,606.0,479.0,606.0,0
2,38,gcut12_0038,479.0,0.0,465.0,590.0,465.0,590.0,0
2,31,gcut12_0031,0.0,606.0,605.0,290.0,290.0,605.0,1
3,23,gcut12_0023,0.0,0.0,483.0,532.0,483.0,532.0,0
3,14,gcut12_0014,0.0,532.0,528.0,459.0,459.0,528.0,1
3,8,gcut12_0008,483.0,0.0,433.0,446.0,446.0,433.0,1
3,20,gcut12_0020,528.0,446.0,324.0,512.0,324.0,512.0,0
4,46,gcut12_0046,0.0,0.0,596.0,746.0,746.0,596.0,1
4,16,gcut12_0016,596.0,0.0,359.0,728.0,728.0,359.0,1
4,22,gcut12_0022,0.0,746.0,685.0,254.0,254.0,685.0,1
5,45,gcut12_0045,0.0,0.0,604.0,519.0,604.0,519.0,0
5,17,gcut12_0017,0.0,519.0,644.0,465.0,644.0,465.0,0
5,13,gcut12_0013,604.0,0.0,392.0,491.0,392.0,491.0,0
5,11,gcut12_0011,644.0,491.0,320.0,486.0,486.0,320.0,1
6,39,gcut12_0039,0.0,0.0,614.0,585.0,614.0,585.0,0
6,24,gcut12_0024,0.0,585.0,678.0,414.0,678.0,414.0,0
6,44,gcut12_0044,614.0,0.0,355.0,537.0,537.0,355.0,1
6,30,gcut12_0030,678.0,537.0,300.0,417.0,417.0,300.0,1
7,37,gcut12_0037,0.0,0.0,729.0,723.0,729.0,723.0,0
7,34,gcut12_0034,729.0,0.0,269.0,599.0,599.0,269.0,1
7,3,gcut12_0003,0.0,723.0,594.0,264.0,264.0,594.0,1
7,19,gcut12_0019,729.0,599.0,268.0,352.0,268.0,352.0,0
8,1,gcut12_0001,0.0,0.0,572.0,665.0,572.0,665.0,0
8,6,gcut12_0006,572.0,0.0,422.0,745.0,745.0,422.0,1
8,32,gcut12_0032,0.0,665.0,520.0,321.0,321.0,520.0,1
9,28,gcut12_0028,0.0,0.0,634.0,596.0,634.0,596.0,0
9,33,gcut12_0033,0.0,596.0,543.0,290.0,543.0,290.0,0
9,49,gcut12_0049,634.0,0.0,273.0,526.0,273.0,526.0,0
9,47,gcut12_0047,543.0,596.0,439.0,281.0,439.0,281.0,0
10,50,gcut12_0050,0.0,0.0,625.0,568.0,625.0,568.0,0
10,10,gcut12_0010,0.0,568.0,635.0,405.0,405.0,635.0,1
10,4,gcut12_0004,625.0,0.0,349.0,566.0,349.0,566.0,0
10,48,gcut12_0048,635.0,566.0,339.0,405.0,339.0,405.0,0
11,29,gcut12_0029,0.0,0.0,497.0,696.0,497.0,696.0,0
11,35,gcut12_0035,497.0,0.0,467.0,679.0,467.0,679.0,0
11,43,gcut12_0043,0.0,696.0,656.0,278.0,656.0,278.0,0
12,9,gcut12_0009,0.0,0.0,668.0,506.0,668.0,506.0,0
12,2,gcut12_0002,0.0,506.0,640.0,482.0,482.0,640.0,1
12,5,gcut12_0005,668.0,0.0,276.0,660.0,276.0,660.0,0
13,25,gcut12_0025,0.0,0.0,546.0,590.0,546.0,590.0,0
13,7,gcut12_0007,546.0,0.0,434.0,622.0,434.0,622.0,0
13,27,gcut12_0027,0.0,590.0,542.0,400.0,542.0,400.0,0
13,40,gcut12_0040,542.0,622.0,446.0,327.0,446.0,327.0,0
14,21,gcut12_0021,0.0,0.0,277.0,426.0,277.0,426.0,0
14,26,gcut12_0026,277.0,0.0,640.0,716.0,716.0,640.0,1
15,41,gcut12_0041,0.0,0.0,734.0,616.0,734.0,616.0,0
