board,n_parts,used_area,waste_area,board_area,U
1,4,960928.0,39072.0,1000000.0,0.960928
2,4,802933.0,197067.0,1000000.0,0.802933
3,3,883217.0,116783.0,1000000.0,0.883217
4,4,957526.0,42474.0,1000000.0,0.957526
5,4,952842.0,47158.0,1000000.0,0.952842
6,4,933538.0,66462.0,1000000.0,0.933538
7,4,944962.0,55038.0,1000000.0,0.944962
8,4,926690.0,73310.0,1000000.0,0.92669
9,3,750848.0,249152.0,1000000.0,0.750848
10,3,845373.0,154627.0,1000000.0,0.845373
11,3,836310.0,163690.0,1000000.0,0.83631
12,3,784775.0,215225.0,1000000.0,0.784775
13,3,749558.0,250442.0,1000000.0,0.749558
14,3,740348.0,259652.0,1000000.0,0.740348
15,1,452144.0,547856.0,1000000.0,0.452144
