board,n_parts,used_area,waste_area,board_area,U
1,4,244466.0,5534.0,250000.0,0.977864
2,4,239520.0,10480.0,250000.0,0.95808
3,4,243130.0,6870.0,250000.0,0.97252
4,3,183007.0,66993.0,250000.0,0.732028
5,4,217950.0,32050.0,250000.0,0.8718
6,4,229030.0,20970.0,250000.0,0.91612
7,4,234960.0,15040.0,250000.0,0.93984
8,4,223238.0,26762.0,250000.0,0.892952
9,4,236771.0,13229.0,250000.0,0.947084
10,4,236646.0,13354.0,250000.0,0.946584
11,4,234302.0,15698.0,250000.0,0.937208
12,5,219692.0,30308.0,250000.0,0.878768
13,2,62750.0,187250.0,250000.0,0.251
