board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,22,ngcut12_0022,0.0,0.0,16.0,13.0,16.0,13.0,0
1,8,ngcut12_0008,16.0,0.0,8.0,23.0,8.0,23.0,0
1,5,ngcut12_0005,24.0,0.0,6.0,28.0,6.0,28.0,0
1,18,ngcut12_0018,0.0,13.0,9.0,11.0,9.0,11.0,0
1,1,ngcut12_0001,0.0,24.0,16.0,6.0,16.0,6.0,0
2,9,ngcut12_0009,0.0,0.0,8.0,23.0,8.0,23.0,0
2,10,ngcut12_0010,8.0,0.0,8.0,23.0,8.0,23.0,0
2,6,ngcut12_0006,0.0,23.0,28.0,6.0,6.0,28.0,1
2,19,ngcut12_0019,16.0,0.0,9.0,11.0,9.0,11.0,0
2,20,ngcut12_0020,16.0,11.0,9.0,11.0,9.0,11.0,0
2,16,ngcut12_0016,28.0,0.0,2.0,30.0,2.0,30.0,0
2,2,ngcut12_0002,0.0,29.0,24.0,1.0,24.0,1.0,0
2,11,ngcut12_0011,16.0,22.0,5.0,1.0,5.0,1.0,0
2,12,ngcut12_0012,21.0,22.0,5.0,1.0,5.0,1.0,0
2,13,ngcut12_0013,25.0,0.0,1.0,5.0,5.0,1.0,1
3,7,ngcut12_0007,0.0,0.0,6.0,28.0,6.0,28.0,0
3,14,ngcut12_0014,6.0,0.0,6.0,26.0,6.0,26.0,0
3,15,ngcut12_0015,12.0,0.0,6.0,26.0,6.0,26.0,0
3,21,ngcut12_0021,18.0,0.0,4.0,30.0,4.0,30.0,0
3,17,ngcut12_0017,22.0,0.0,2.0,30.0,2.0,30.0,0
3,3,ngcut12_0003,24.0,0.0,1.0,24.0,24.0,1.0,1
3,4,ngcut12_0004,25.0,0.0,1.0,24.0,24.0,1.0,1
