board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,22,ngcut12_0022,0.0,0.0,16.0,13.0,16.0,13.0,0
1,19,ngcut12_0019,16.0,0.0,9.0,11.0,9.0,11.0,0
1,8,ngcut12_0008,0.0,13.0,23.0,8.0,8.0,23.0,1
1,20,ngcut12_0020,0.0,21.0,11.0,9.0,9.0,11.0,1
1,21,ngcut12_0021,25.0,0.0,4.0,30.0,4.0,30.0,0
1,18,ngcut12_0018,11.0,21.0,11.0,9.0,9.0,11.0,1
1,4,ngcut12_0004,29.0,0.0,1.0,24.0,24.0,1.0,1
1,13,ngcut12_0013,29.0,24.0,1.0,5.0,5.0,1.0,1
1,12,ngcut12_0012,22.0,21.0,1.0,5.0,5.0,1.0,1
1,11,ngcut12_0011,16.0,11.0,5.0,1.0,5.0,1.0,0
2,14,ngcut12_0014,0.0,0.0,6.0,26.0,6.0,26.0,0
2,7,ngcut12_0007,6.0,0.0,6.0,28.0,6.0,28.0,0
2,15,ngcut12_0015,12.0,0.0,6.0,26.0,6.0,26.0,0
2,6,ngcut12_0006,18.0,0.0,6.0,28.0,6.0,28.0,0
2,5,ngcut12_0005,24.0,0.0,6.0,28.0,6.0,28.0,0
2,17,ngcut12_0017,0.0,28.0,30.0,2.0,2.0,30.0,1
3,10,ngcut12_0010,0.0,0.0,8.0,23.0,8.0,23.0,0
3,9,ngcut12_0009,8.0,0.0,8.0,23.0,8.0,23.0,0
3,1,ngcut12_0001,0.0,23.0,16.0,6.0,16.0,6.0,0
3,3,ngcut12_0003,0.0,29.0,24.0,1.0,24.0,1.0,0
3,16,ngcut12_0016,24.0,0.0,2.0,30.0,2.0,30.0,0
3,2,ngcut12_0002,26.0,0.0,1.0,24.0,24.0,1.0,1
