board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,3,ngcut9_0003,0.0,0.0,20.0,4.0,20.0,4.0,0
1,4,ngcut9_0004,0.0,4.0,20.0,4.0,20.0,4.0,0
1,14,ngcut9_0014,0.0,8.0,14.0,7.0,7.0,14.0,1
1,13,ngcut9_0013,0.0,15.0,17.0,5.0,17.0,5.0,0
1,6,ngcut9_0006,17.0,8.0,3.0,12.0,12.0,3.0,1
1,2,ngcut9_0002,14.0,8.0,1.0,5.0,1.0,5.0,0
1,16,ngcut9_0016,15.0,8.0,1.0,7.0,1.0,7.0,0
1,17,ngcut9_0017,16.0,8.0,1.0,7.0,1.0,7.0,0
2,7,ngcut9_0007,0.0,0.0,12.0,3.0,12.0,3.0,0
2,15,ngcut9_0015,0.0,3.0,14.0,7.0,7.0,14.0,1
2,1,ngcut9_0001,0.0,10.0,14.0,2.0,14.0,2.0,0
2,8,ngcut9_0008,0.0,12.0,11.0,8.0,11.0,8.0,0
2,10,ngcut9_0010,14.0,0.0,6.0,11.0,11.0,6.0,1
2,12,ngcut9_0012,11.0,12.0,9.0,7.0,7.0,9.0,1
2,18,ngcut9_0018,11.0,19.0,7.0,1.0,1.0,7.0,1
3,9,ngcut9_0009,0.0,0.0,11.0,8.0,11.0,8.0,0
3,11,ngcut9_0011,0.0,8.0,11.0,6.0,11.0,6.0,0
3,5,ngcut9_0005,0.0,14.0,12.0,3.0,12.0,3.0,0
