suite,ordinal,case_id,family,source,csv_path,n_items,status,started_s,elapsed_s,comparison_rows,has_comparison_table,out_case_dir,error
generalization_public_1seed_300s,1,cgcut1,cgcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\cgcut1.csv,16,completed,0.44008,291.483612,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__cgcut1,
generalization_public_1seed_300s,2,cgcut2,cgcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\cgcut2.csv,23,completed,0.441497,298.388509,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__cgcut2,
generalization_public_1seed_300s,3,cgcut3,cgcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\cgcut3.csv,62,completed,292.21154,300.059838,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__cgcut3,
generalization_public_1seed_300s,4,gcut1,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut1.csv,10,completed,299.164785,290.598089,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__gcut1,
generalization_public_1seed_300s,5,gcut5,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut5.csv,10,completed,590.005606,289.847722,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__gcut5,
generalization_public_1seed_300s,6,gcut9,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut9.csv,10,completed,592.656622,289.755612,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__gcut9,
generalization_public_1seed_300s,7,gcut10,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut10.csv,20,completed,879.8551,292.127018,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__gcut10,
generalization_public_1seed_300s,8,gcut2,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut2.csv,20,completed,882.712441,292.556876,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__gcut2,
generalization_public_1seed_300s,9,gcut6,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut6.csv,20,completed,1172.055828,298.236241,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__gcut6,
generalization_public_1seed_300s,10,gcut11,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut11.csv,30,completed,1175.719774,298.561311,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__gcut11,
generalization_public_1seed_300s,11,gcut3,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut3.csv,30,completed,1470.310414,302.116741,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__gcut3,
generalization_public_1seed_300s,12,gcut7,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut7.csv,30,completed,1474.647946,301.843951,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__gcut7,
generalization_public_1seed_300s,13,gcut13,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut13.csv,32,completed,1772.46048,320.478888,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__gcut13,
generalization_public_1seed_300s,14,gcut12,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut12.csv,50,completed,1776.88645,302.727702,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__gcut12,
generalization_public_1seed_300s,15,gcut4,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut4.csv,50,completed,2079.770787,299.760094,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__gcut4,
generalization_public_1seed_300s,16,gcut8,gcut,public_binpacktwo,D:\桌面\CXP\20260311 (2)\20260311\data\public_binpacktwo\instances\gcut8.csv,50,completed,2093.504228,297.246773,1,1,D:\桌面\CXP\20260311 (2)\20260311\outputs\paper_overnight_formal_v2_20260318\generalization_public_1seed_300s\generalization_public_1seed_300s__gcut8,
