board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,1356,1356,5.0,5.0,1980.0,574.0,1980.0,574.0,0
1,2120,2120,5.0,579.0,1980.0,574.0,1980.0,574.0,0
1,2050,2050,1985.0,5.0,450.0,1128.0,1128.0,450.0,1
1,2255,2255,5.0,1153.0,2313.0,62.0,2313.0,62.0,0
2,1212,1212,5.0,5.0,1938.0,1144.0,1938.0,1144.0,0
2,460,460,1943.0,5.0,450.0,1124.0,450.0,1124.0,0
2,340,340,5.0,1149.0,2336.0,60.0,2336.0,60.0,0
3,494,494,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
3,506,506,1868.0,5.0,543.0,1179.0,1179.0,543.0,1
3,1061,1061,5.0,1129.0,1752.0,60.0,1752.0,60.0,0
4,1454,1454,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
4,2424,2424,1868.0,5.0,543.0,1179.0,1179.0,543.0,1
4,1979,1979,5.0,1129.0,1752.0,60.0,1752.0,60.0,0
5,1946,1946,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
5,1074,1074,1868.0,5.0,563.0,1107.0,1107.0,563.0,1
5,2332,2332,5.0,1129.0,2372.0,70.0,2372.0,70.0,0
6,1953,1953,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
6,1787,1787,1868.0,5.0,563.0,1107.0,1107.0,563.0,1
6,1743,1743,5.0,1129.0,2313.0,70.0,2313.0,70.0,0
7,2200,2200,5.0,5.0,2295.0,830.0,2295.0,830.0,0
7,119,119,5.0,835.0,2270.0,380.0,2270.0,380.0,0
7,180,180,2300.0,5.0,120.0,1180.0,120.0,1180.0,0
8,77,77,5.0,5.0,2320.0,683.0,2320.0,683.0,0
8,163,163,5.0,688.0,2373.0,524.0,2373.0,524.0,0
8,172,172,2325.0,5.0,110.0,550.0,550.0,110.0,1
9,1699,1699,5.0,5.0,2320.0,677.0,2320.0,677.0,0
9,1091,1091,5.0,682.0,2373.0,524.0,2373.0,524.0,0
9,338,338,2325.0,5.0,110.0,509.0,509.0,110.0,1
10,1528,1528,5.0,5.0,2295.0,683.0,2295.0,683.0,0
10,1092,1092,5.0,688.0,2373.0,524.0,2373.0,524.0,0
10,342,342,2300.0,5.0,123.5,622.0,123.5,622.0,0
11,1980,1980,5.0,5.0,2295.0,683.0,2295.0,683.0,0
11,348,348,5.0,688.0,2398.0,474.0,2398.0,474.0,0
11,2179,2179,2300.0,5.0,70.0,509.0,509.0,70.0,1
11,219,219,2370.0,5.0,60.0,476.0,476.0,60.0,1
12,1875,1875,5.0,5.0,1952.0,798.0,1952.0,798.0,0
12,1086,1086,5.0,803.0,1284.0,383.0,1284.0,383.0,0
12,1037,1037,1957.0,5.0,456.0,1100.0,1100.0,456.0,1
12,1231,1231,1289.0,803.0,653.5,385.3,653.5,385.3,0
12,1066,1066,1942.5,1105.0,463.0,94.0,463.0,94.0,0
13,990,990,5.0,5.0,2395.0,650.0,2395.0,650.0,0
13,1726,1726,5.0,655.0,2405.0,560.0,2405.0,560.0,0
14,1892,1892,5.0,5.0,2395.0,650.0,2395.0,650.0,0
14,108,108,5.0,655.0,2405.0,554.0,2405.0,554.0,0
15,19,19,5.0,5.0,2107.0,725.0,2107.0,725.0,0
15,193,193,5.0,730.0,2420.0,456.0,2420.0,456.0,0
15,20,20,2112.0,5.0,311.0,642.0,642.0,311.0,1
16,624,624,5.0,5.0,2345.0,630.0,2345.0,630.0,0
16,518,518,5.0,635.0,2405.0,580.0,2405.0,580.0,0
16,179,179,2350.0,5.0,75.0,584.0,584.0,75.0,1
17,227,227,5.0,5.0,2417.0,605.0,2417.0,605.0,0
17,1388,1388,5.0,610.0,2417.0,605.0,2417.0,605.0,0
18,653,653,5.0,5.0,2000.0,723.0,2000.0,723.0,0
18,965,965,5.0,728.0,2395.0,460.0,2395.0,460.0,0
18,592,592,2005.0,5.0,423.0,426.0,426.0,423.0,1
18,536,536,2005.0,431.0,413.0,232.0,232.0,413.0,1
19,207,207,5.0,5.0,1200.0,1200.0,1200.0,1200.0,0
19,632,632,1205.0,5.0,1200.0,1200.0,1200.0,1200.0,0
20,681,681,5.0,5.0,1200.0,1200.0,1200.0,1200.0,0
20,924,924,1205.0,5.0,1200.0,1200.0,1200.0,1200.0,0
21,1318,1318,5.0,5.0,1200.0,1200.0,1200.0,1200.0,0
21,1964,1964,1205.0,5.0,1200.0,1200.0,1200.0,1200.0,0
22,1283,1283,5.0,5.0,2300.0,610.0,2300.0,610.0,0
