uid,step
670,1
42,2
246,3
47,4
30,5
602,6
516,7
50,8
756,9
973,10
310,11
1164,12
526,13
490,14
597,15
465,16
231,17
994,18
644,19
39,20
113,21
263,22
311,23
494,24
583,25
852,26
178,27
1113,28
188,29
1053,30
142,31
976,32
1173,33
838,34
618,35
82,36
260,37
423,38
675,39
832,40
1098,41
1115,42
1190,43
1233,44
714,45
43,46
1057,47
287,48
453,49
1163,50
94,51
849,52
685,53
889,54
747,55
139,56
424,57
84,58
1059,59
88,60
534,61
120,62
277,63
298,64
412,65
737,66
758,67
1037,68
79,69
106,70
136,71
195,72
325,73
327,74
355,75
467,76
503,77
505,78
577,79
622,80
628,81
629,82
773,83
775,84
795,85
904,86
958,87
991,88
1118,89
472,90
744,91
172,92
413,93
468,94
601,95
796,96
196,97
224,98
210,99
434,100
752,101
1100,102
680,103
996,104
69,105
1038,106
1175,107
986,108
1224,109
73,110
248,111
1019,112
1066,113
911,114
1040,115
270,116
662,117
152,118
808,119
1188,120
426,121
903,122
238,123
242,124
244,125
672,126
267,127
908,128
557,129
1045,130
1181,131
436,132
790,133
1227,134
687,135
1180,136
185,137
147,138
938,139
1052,140
1093,141
1195,142
933,143
985,144
68,145
444,146
742,147
1032,148
116,149
611,150
679,151
984,152
1089,153
479,154
853,155
1088,156
845,157
1110,158
663,159
203,160
858,161
463,162
387,163
762,164
487,165
841,166
932,167
1199,168
916,169
1051,170
576,171
513,172
748,173
207,174
646,175
818,176
264,177
204,178
382,179
473,180
497,181
1036,182
1096,183
1101,184
734,185
215,186
138,187
1189,188
85,189
455,190
18,191
712,192
418,193
961,194
625,195
26,196
405,197
543,198
226,199
357,200
401,201
866,202
306,203
307,204
283,205
1107,206
440,207
1034,208
1025,209
634,210
1186,211
954,212
1017,213
691,214
252,215
1104,216
766,217
842,218
105,219
141,220
652,221
91,222
156,223
636,224
302,225
1128,226
599,227
787,228
698,229
724,230
1139,231
295,232
923,233
67,234
442,235
64,236
159,237
200,238
495,239
584,240
881,241
488,242
358,243
230,244
235,245
446,246
501,247
573,248
930,249
931,250
1135,251
374,252
530,253
846,254
1176,255
119,256
228,257
408,258
476,259
477,260
512,261
643,262
815,263
33,264
71,265
280,266
506,267
739,268
1138,269
1030,270
175,271
237,272
304,273
484,274
569,275
606,276
772,277
840,278
1041,279
41,280
651,281
87,282
217,283
349,284
448,285
515,286
998,287
273,288
227,289
233,290
696,291
733,292
1015,293
1065,294
924,295
173,296
529,297
620,298
935,299
510,300
410,301
697,302
28,303
268,304
338,305
768,306
820,307
205,308
521,309
988,310
989,311
1094,312
894,313
171,314
192,315
300,316
326,317
769,318
745,319
927,320
78,321
229,322
619,323
109,324
1197,325
163,326
328,327
345,328
356,329
365,330
419,331
422,332
552,333
715,334
879,335
275,336
568,337
540,338
45,339
55,340
956,341
253,342
323,343
