board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,756,756,5.0,5.0,1864.5,924.0,1864.5,924.0,0
1,401,401,1869.5,5.0,561.0,1094.0,1094.0,561.0,1
1,1178,1178,5.0,929.0,1680.0,250.5,1680.0,250.5,0
1,50,50,1685.0,1099.0,550.0,92.0,550.0,92.0,0
2,602,602,5.0,5.0,2376.0,620.0,2376.0,620.0,0
2,516,516,5.0,625.0,2326.0,575.0,2326.0,575.0,0
2,778,778,2331.0,625.0,92.0,550.0,550.0,92.0,1
3,973,973,5.0,5.0,1833.0,800.0,1833.0,800.0,0
3,672,672,5.0,805.0,2375.0,380.0,2375.0,380.0,0
3,45,45,1838.0,5.0,574.0,800.0,800.0,574.0,1
4,310,310,5.0,5.0,1897.0,762.0,1897.0,762.0,0
4,1175,1175,5.0,767.0,2350.0,442.0,2350.0,442.0,0
4,673,673,1902.0,5.0,519.0,732.5,732.5,519.0,1
4,875,875,2355.0,737.5,70.0,435.0,435.0,70.0,1
5,1164,1164,5.0,5.0,2326.0,575.0,2326.0,575.0,0
5,231,231,5.0,580.0,2400.0,520.0,2400.0,520.0,0
5,47,47,5.0,1100.0,2400.0,100.0,2400.0,100.0,0
5,1136,1136,2331.0,5.0,70.0,501.0,501.0,70.0,1
6,526,526,5.0,5.0,1775.0,753.0,1775.0,753.0,0
6,434,434,5.0,758.0,2363.0,449.0,2363.0,449.0,0
6,205,205,1780.0,5.0,655.0,733.0,655.0,733.0,0
6,873,873,2368.0,738.0,60.0,443.0,443.0,60.0,1
7,383,383,5.0,5.0,975.0,274.0,975.0,274.0,0
7,465,465,5.0,279.0,1555.5,804.0,1555.5,804.0,0
7,734,734,1560.5,5.0,795.0,857.5,795.0,857.5,0
7,37,37,1560.5,862.5,539.0,311.0,539.0,311.0,0
7,554,554,2099.5,862.5,330.0,351.0,351.0,330.0,1
8,670,670,5.0,5.0,2420.0,370.0,2420.0,370.0,0
8,994,994,5.0,375.0,1785.0,680.0,1785.0,680.0,0
8,117,117,1790.0,375.0,624.0,648.0,624.0,648.0,0
8,1141,1141,5.0,1055.0,501.0,70.0,501.0,70.0,0
8,1216,1216,506.0,1055.0,1600.0,92.0,1600.0,92.0,0
8,781,781,5.0,1147.0,1403.0,60.0,1403.0,60.0,0
8,1070,1070,1408.0,1147.0,877.0,60.0,877.0,60.0,0
9,39,39,5.0,5.0,2340.0,514.0,2340.0,514.0,0
9,644,644,5.0,519.0,1945.0,620.0,1945.0,620.0,0
9,683,683,1950.0,519.0,476.0,586.0,476.0,586.0,0
9,122,122,5.0,1139.0,2243.0,70.0,2243.0,70.0,0
9,1081,1081,2345.0,5.0,70.0,419.0,419.0,70.0,1
10,113,113,5.0,5.0,2340.0,514.0,2340.0,514.0,0
10,263,263,5.0,519.0,2340.0,514.0,2340.0,514.0,0
