board,n_parts,used_area,waste_area,board_area,U
1,6,2852992.0,123808.0,2976800.0,0.9584090298306907
2,6,2857290.0,119510.0,2976800.0,0.959852862133835
3,5,2919885.0,56915.0,2976800.0,0.980880475678581
4,4,2890594.0,86206.0,2976800.0,0.9710407148615964
5,3,2836165.0,140635.0,2976800.0,0.9527563155065842
6,4,2879429.0,97371.0,2976800.0,0.9672900429991937
7,4,2879949.0,96851.0,2976800.0,0.9674647272238646
8,3,2882342.0,94458.0,2976800.0,0.9682686105885515
9,2,2881962.0,94838.0,2976800.0,0.9681409567320612
10,2,2881962.0,94838.0,2976800.0,0.9681409567320612
11,8,2811105.5,165694.5,2976800.0,0.9443380475678581
12,4,2897225.0,79575.0,2976800.0,0.9732682746573502
13,3,2867218.0,109582.0,2976800.0,0.9631879871002419
14,3,2847300.0,129500.0,2976800.0,0.9564969094329482
15,4,2868699.0,108101.0,2976800.0,0.9636855012093524
16,4,2912855.0,63945.0,2976800.0,0.9785188793335124
17,4,2912855.0,63945.0,2976800.0,0.9785188793335124
18,4,2914801.0,61999.0,2976800.0,0.9791726014512228
19,5,2815346.5,161453.5,2976800.0,0.9457627317925289
20,3,2777283.0,199517.0,2976800.0,0.9329760145122279
21,3,2873360.0,103440.0,2976800.0,0.9652512765385649
22,4,2823680.0,153120.0,2976800.0,0.9485622144584789
23,5,2914588.0,62212.0,2976800.0,0.979101048105348
24,6,2913924.0,62876.0,2976800.0,0.9788779897876915
25,4,2924120.0,52680.0,2976800.0,0.982303144316044
26,3,2810863.0,165937.0,2976800.0,0.9442565842515452
27,4,2874334.0,102466.0,2976800.0,0.9655784735286214
28,4,2843196.0,133604.0,2976800.0,0.955118247782854
29,5,2863539.0,113261.0,2976800.0,0.961952096210696
30,4,2896387.0,80413.0,2976800.0,0.9729867643106692
31,3,2791460.0,185340.0,2976800.0,0.9377385111529158
32,5,2913773.0,63027.0,2976800.0,0.9788272641762967
33,5,2931260.0,45540.0,2976800.0,0.9847016930932545
34,5,2925166.0,51634.0,2976800.0,0.9826545283525934
35,4,2916800.0,60000.0,2976800.0,0.9798441279226014
36,3,2823043.0,153757.0,2976800.0,0.9483482262832572
37,5,2888635.5,88164.5,2976800.0,0.9703827936038699
38,5,2873743.0,103057.0,2976800.0,0.965379938188659
39,5,2876185.2,100614.79999999981,2976800.0,0.9662003493684495
40,7,2896987.0,79813.0,2976800.0,0.9731883230314432
41,6,2875983.25,100816.75,2976800.0,0.9661325080623488
42,6,2895656.5,81143.5,2976800.0,0.9727413665681268
43,5,2901573.0,75227.0,2976800.0,0.974728903520559
44,5,2916474.0,60326.0,2976800.0,0.979734614350981
45,5,2867696.0,109104.0,2976800.0,0.9633485622144585
46,6,2917783.0,59017.0,2976800.0,0.9801743482934695
47,5,2875630.0,101170.0,2976800.0,0.9660138403654931
48,5,2844602.0,132198.0,2976800.0,0.9555905670518677
49,3,2873408.0,103392.0,2976800.0,0.9652674012362268
50,6,2848312.0,128488.0,2976800.0,0.9568368718086536
51,6,2780427.0,196373.0,2976800.0,0.9340321822090836
52,4,2893267.25,83532.75,2976800.0,0.9719387429454448
53,4,2794352.0,182448.0,2976800.0,0.9387100241870465
54,6,2861696.2,115103.79999999981,2976800.0,0.9613330421929589
55,5,2920140.0,56660.0,2976800.0,0.98096613813491
56,5,2849698.0,127102.0,2976800.0,0.9573024724536415
57,4,2845256.25,131543.75,2976800.0,0.9558103500403118
58,5,2878901.0,97899.0,2976800.0,0.9671126713249126
59,4,2848912.0,127888.0,2976800.0,0.9570384305294276
60,5,2742465.0,234335.0,2976800.0,0.9212795619457135
61,5,2878408.0,98392.0,2976800.0,0.9669470572426767
