uid,step
622,1
1890,2
859,3
538,4
543,5
4,6
140,7
1006,8
1672,9
1025,10
1643,11
44,12
153,13
1400,14
325,15
372,16
519,17
1878,18
1493,19
1103,20
41,21
229,22
234,23
1320,24
1694,25
1432,26
338,27
145,28
1965,29
526,30
284,31
997,32
33,33
471,34
187,35
488,36
1185,37
404,38
955,39
413,40
1012,41
1180,42
860,43
1483,44
359,45
384,46
1463,47
1676,48
1182,49
1215,50
1870,51
1947,52
2064,53
424,54
749,55
648,56
1152,57
1826,58
1245,59
38,60
1636,61
2053,62
732,63
816,64
910,65
454,66
847,67
831,68
1996,69
1099,70
1658,71
757,72
379,73
279,74
147,75
148,76
1535,77
306,78
641,79
1259,80
1335,81
977,82
1298,83
904,84
1288,85
1684,86
1886,87
709,88
232,89
1908,90
868,91
1243,92
5,93
2088,94
1201,95
1999,96
607,97
1276,98
2105,99
1461,100
1825,101
682,102
1252,103
1832,104
1913,105
1867,106
699,107
442,108
1933,109
2108,110
842,111
1285,112
112,113
1398,114
265,115
401,116
198,117
1602,118
532,119
885,120
979,121
431,122
1768,123
918,124
2045,125
571,126
664,127
1693,128
278,129
115,130
746,131
1296,132
378,133
1030,134
1591,135
1375,136
1613,137
700,138
537,139
1692,140
1379,141
1509,142
1708,143
1170,144
747,145
610,146
1834,147
2034,148
369,149
184,150
1163,151
1518,152
1004,153
1723,154
1062,155
422,156
1032,157
2005,158
430,159
736,160
64,161
65,162
1365,163
1010,164
1157,165
188,166
1,167
461,168
496,169
1474,170
1253,171
2109,172
743,173
647,174
223,175
499,176
1331,177
1673,178
360,179
836,180
16,181
691,182
386,183
1238,184
564,185
1968,186
68,187
1239,188
1511,189
690,190
165,191
1985,192
1530,193
1726,194
1916,195
36,196
298,197
1727,198
950,199
1848,200
755,201
1189,202
1040,203
1128,204
1797,205
368,206
1447,207
445,208
1794,209
2002,210
470,211
834,212
387,213
1265,214
235,215
1418,216
1686,217
710,218
675,219
761,220
968,221
919,222
958,223
523,224
1944,225
2030,226
1220,227
567,228
810,229
533,230
1106,231
568,232
1578,233
375,234
1393,235
505,236
1679,237
127,238
416,239
341,240
441,241
