board,n_parts,used_area,waste_area,board_area,U
1,6,2919122.0,57678.0,2976800.0,0.9806241601719968
2,4,2521038.0,455762.0,2976800.0,0.8468953238376781
3,3,2900989.0,75811.0,2976800.0,0.9745327196990057
4,3,2911954.0,64846.0,2976800.0,0.9782162053211503
5,4,2862595.5,114204.5,2976800.0,0.961635145122279
6,4,2813256.25,163543.75,2976800.0,0.9450605515990326
7,4,2917373.0,59427.0,2976800.0,0.9800366165009406
8,6,2901886.0,74914.0,2976800.0,0.9748340499865628
9,5,2915820.0,60980.0,2976800.0,0.9795149153453373
10,4,2911405.25,65394.75,2976800.0,0.9780318630744423
11,4,2894316.75,82483.25,2976800.0,0.9722913027411986
12,4,2889672.5,87127.5,2976800.0,0.9707311542596077
13,3,2897620.0,79180.0,2976800.0,0.9734009674818597
14,2,2769600.0,207200.0,2976800.0,0.930395055092717
15,3,2854410.0,122390.0,2976800.0,0.9588853802741198
16,3,2827160.0,149640.0,2976800.0,0.949731255038968
17,4,2870566.0,106234.0,2976800.0,0.9643126847621607
18,5,2921320.0,55480.0,2976800.0,0.9813625369524321
19,3,2878710.0,98090.0,2976800.0,0.9670485084654663
20,6,2881170.0,95630.0,2976800.0,0.9678748992206396
21,3,2801330.0,175470.0,2976800.0,0.9410541521096479
22,5,2839630.0,137170.0,2976800.0,0.953920317119054
23,2,2624420.0,352380.0,2976800.0,0.8816245632894383
24,2,2601408.0,375392.0,2976800.0,0.8738941144853534
25,2,2581088.0,395712.0,2976800.0,0.8670679924751411
26,2,2570560.0,406240.0,2976800.0,0.8635313087879603
27,2,2570560.0,406240.0,2976800.0,0.8635313087879603
28,2,2564580.0,412220.0,2976800.0,0.8615224402042462
29,2,2556800.0,420000.0,2976800.0,0.8589088954582101
30,2,2553536.0,423264.0,2976800.0,0.8578124160171997
31,2,2553100.0,423700.0,2976800.0,0.8576659500134373
32,2,2553100.0,423700.0,2976800.0,0.8576659500134373
33,6,2877030.0,99770.0,2976800.0,0.9664841440472991
34,2,2548770.0,428030.0,2976800.0,0.8562113679118517
35,2,2548740.0,428060.0,2976800.0,0.8562012899758129
36,2,2539714.0,437086.0,2976800.0,0.8531691749529696
37,2,2529960.0,446840.0,2976800.0,0.8498925020155872
38,2,2527584.0,449216.0,2976800.0,0.8490943294813222
39,2,2525248.0,451552.0,2976800.0,0.8483095941951089
40,5,2876367.0,100433.0,2976800.0,0.9662614216608438
41,3,2907300.0,69500.0,2976800.0,0.9766527815103467
42,4,2885238.0,91562.0,2976800.0,0.9692414673474873
43,4,2921191.0,55609.0,2976800.0,0.9813192018274657
44,4,2920421.0,56379.0,2976800.0,0.9810605348024725
45,2,2450102.0,526698.0,2976800.0,0.8230657081429723
46,3,2619900.0,356900.0,2976800.0,0.8801061542596076
47,4,2880080.0,96720.0,2976800.0,0.9675087342112335
48,5,2854566.0,122234.0,2976800.0,0.9589377855415211
49,4,2804753.0,172047.0,2976800.0,0.9422040446116635
50,5,2808401.0,168399.0,2976800.0,0.9434295216339693
51,4,2832609.0,144191.0,2976800.0,0.9515617441547971
52,5,2849137.0,127663.0,2976800.0,0.9571140150497178
53,4,2895970.0,80830.0,2976800.0,0.9728466809997313
54,4,2826513.0,150287.0,2976800.0,0.9495139075517334
55,4,2817337.0,159463.0,2976800.0,0.9464314028486965
56,5,2885563.25,91236.75,2976800.0,0.9693507289707068
57,4,2830759.0,146041.0,2976800.0,0.9509402714324107
58,4,2870231.25,106568.75,2976800.0,0.9642002317925289
59,3,2808117.25,168682.75,2976800.0,0.9433342011556033
60,6,2885693.0,91107.0,2976800.0,0.9693943160440742
61,3,2630637.0,346163.0,2976800.0,0.8837130475678581
62,3,2630597.0,346203.0,2976800.0,0.8836996103198065
63,3,2630597.0,346203.0,2976800.0,0.8836996103198065
64,9,2887811.0,88989.0,2976800.0,0.9701058183284064
65,9,2881838.0,94962.0,2976800.0,0.9680993012631013
66,3,2595842.0,380958.0,2976800.0,0.8720243214189733
67,3,2595840.0,380960.0,2976800.0,0.8720236495565709
68,3,2595840.0,380960.0,2976800.0,0.8720236495565709
69,6,2809665.0,167135.0,2976800.0,0.9438541386723999
70,6,2880598.0,96202.0,2976800.0,0.9676827465735017
