board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,1214,1214,5.0,5.0,459.0,188.0,459.0,188.0,0
1,300,300,464.0,5.0,295.0,250.0,250.0,295.0,1
1,335,335,5.0,193.0,180.0,465.0,180.0,465.0,0
1,1074,1074,759.0,5.0,340.0,262.0,262.0,340.0,1
1,1273,1273,1099.0,5.0,459.0,188.0,459.0,188.0,0
1,1701,1701,1558.0,5.0,201.0,332.0,332.0,201.0,1
1,1923,1923,1099.0,193.0,459.0,188.0,459.0,188.0,0
1,557,557,1558.0,337.0,182.0,445.0,182.0,445.0,0
1,1826,1826,5.0,658.0,1140.0,261.0,1140.0,261.0,0
1,1796,1796,5.0,919.0,2360.0,282.0,2360.0,282.0,0
1,47,47,1759.0,5.0,673.0,865.0,865.0,673.0,1
1,1207,1207,1145.0,381.0,221.0,454.0,454.0,221.0,1
1,351,351,185.0,267.0,704.0,299.0,704.0,299.0,0
1,1830,1830,1366.0,381.0,182.0,530.0,182.0,530.0,0
1,1669,1669,889.0,267.0,201.0,332.0,332.0,201.0,1
1,1397,1397,185.0,566.0,667.0,70.0,667.0,70.0,0
2,622,622,5.0,5.0,2347.0,856.0,2347.0,856.0,0
2,1890,1890,5.0,861.0,2380.0,342.0,2380.0,342.0,0
2,859,859,2352.0,5.0,83.0,841.0,841.0,83.0,1
3,538,538,5.0,5.0,2357.0,840.0,2357.0,840.0,0
3,543,543,5.0,845.0,2220.0,354.0,2220.0,354.0,0
3,4,4,2362.0,5.0,70.0,1201.0,1201.0,70.0,1
3,140,140,2225.0,845.0,131.0,324.0,324.0,131.0,1
4,1006,1006,5.0,5.0,1766.0,1107.5,1766.0,1107.5,0
4,1672,1672,1771.0,5.0,663.5,1113.0,1113.0,663.5,1
4,1025,1025,5.0,1112.5,1520.0,100.0,1520.0,100.0,0
5,1643,1643,5.0,5.0,2259.0,861.0,2259.0,861.0,0
5,44,44,5.0,866.0,2352.0,328.0,2352.0,328.0,0
5,153,153,2264.0,5.0,166.0,854.0,854.0,166.0,1
5,1400,1400,2357.0,859.0,70.0,303.0,303.0,70.0,1
6,325,325,5.0,5.0,2232.0,718.0,2232.0,718.0,0
6,372,372,5.0,723.0,2352.0,474.0,2352.0,474.0,0
6,519,519,2237.0,5.0,190.0,653.5,653.5,190.0,1
