board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,1028,1028,5.0,5.0,841.0,70.0,841.0,70.0,0
1,848,848,5.0,75.0,2290.0,232.0,2290.0,232.0,0
1,970,970,5.0,307.0,2420.0,544.0,2420.0,544.0,0
1,1422,1422,5.0,851.0,2415.0,330.0,2415.0,330.0,0
1,992,992,846.0,5.0,1482.0,60.0,1482.0,60.0,0
2,97,97,5.0,5.0,2420.0,550.0,2420.0,550.0,0
2,130,130,5.0,555.0,864.0,429.0,864.0,429.0,0
2,1263,1263,869.0,555.0,1522.0,332.0,1522.0,332.0,0
2,568,568,869.0,887.0,1458.0,309.0,1458.0,309.0,0
2,312,312,5.0,984.0,777.0,221.0,777.0,221.0,0
2,421,421,2327.0,887.0,70.0,300.0,70.0,300.0,0
3,1356,1356,5.0,5.0,1684.0,1166.5,1684.0,1166.5,0
3,1245,1245,1689.0,5.0,350.0,1050.0,1050.0,350.0,1
3,1570,1570,2039.0,5.0,323.0,476.0,476.0,323.0,1
3,816,816,2039.0,481.0,364.0,724.5,724.5,364.0,1
3,622,622,1689.0,1055.0,328.0,160.0,160.0,328.0,1
3,1484,1484,2362.0,5.0,60.0,451.0,451.0,60.0,1
4,1547,1547,5.0,5.0,1900.0,392.0,1900.0,392.0,0
4,1251,1251,5.0,397.0,1746.0,331.0,1746.0,331.0,0
4,681,681,5.0,728.0,1196.0,399.0,1196.0,399.0,0
4,144,144,1905.0,5.0,511.0,1164.0,1164.0,511.0,1
4,1552,1552,1201.0,728.0,623.0,458.0,458.0,623.0,1
4,789,789,5.0,1127.0,1017.0,70.0,1017.0,70.0,0
4,372,372,1824.0,397.0,60.0,789.0,789.0,60.0,1
5,304,304,5.0,5.0,1748.0,311.0,1748.0,311.0,0
5,389,389,5.0,316.0,1164.0,775.0,775.0,1164.0,1
5,504,504,1169.0,316.0,900.0,625.0,900.0,625.0,0
5,1533,1533,2069.0,5.0,353.0,876.0,876.0,353.0,1
5,115,115,1169.0,941.0,1240.0,268.0,1240.0,268.0,0
5,955,955,1753.0,5.0,307.0,282.0,282.0,307.0,1
5,1034,1034,5.0,1091.0,920.0,100.0,100.0,920.0,1
5,925,925,2069.0,881.0,364.0,60.0,364.0,60.0,0
6,1227,1227,5.0,5.0,2313.0,554.0,2313.0,554.0,0
6,292,292,5.0,559.0,2034.5,364.0,2034.5,364.0,0
6,187,187,5.0,923.0,1917.0,288.0,1917.0,288.0,0
6,276,276,2039.5,559.0,359.0,544.0,544.0,359.0,1
6,1584,1584,1922.0,1103.0,350.0,60.0,60.0,350.0,1
6,671,671,2318.0,5.0,60.0,350.0,60.0,350.0,0
7,820,820,5.0,5.0,1374.0,775.0,1374.0,775.0,0
7,1177,1177,5.0,780.0,2340.0,385.0,2340.0,385.0,0
7,850,850,1379.0,5.0,964.0,392.0,964.0,392.0,0
7,1574,1574,1379.0,397.0,833.0,287.0,833.0,287.0,0
7,94,94,2212.0,397.0,221.0,350.0,350.0,221.0,1
7,492,492,1379.0,684.0,789.0,60.0,789.0,60.0,0
8,35,35,5.0,5.0,2406.0,316.0,2406.0,316.0,0
8,1369,1369,5.0,321.0,904.0,573.0,904.0,573.0,0
8,711,711,5.0,894.0,1605.0,304.0,1605.0,304.0,0
8,437,437,1610.0,321.0,710.0,725.0,725.0,710.0,1
8,657,657,909.0,321.0,654.0,541.0,654.0,541.0,0
8,607,607,1610.0,1046.0,315.0,162.0,162.0,315.0,1
8,888,888,2320.0,321.0,60.0,804.0,804.0,60.0,1
8,1053,1053,1925.0,1046.0,319.0,151.5,151.5,319.0,1
9,1362,1362,5.0,5.0,2230.0,544.0,2230.0,544.0,0
9,908,908,5.0,549.0,2000.0,554.0,2000.0,554.0,0
9,119,119,2005.0,549.0,380.0,640.0,380.0,640.0,0
9,376,376,5.0,1103.0,1964.0,111.0,1964.0,111.0,0
9,401,401,2235.0,5.0,160.0,502.0,160.0,502.0,0
10,1204,1204,5.0,5.0,2277.0,549.0,2277.0,549.0,0
10,395,395,5.0,554.0,2040.0,360.0,2040.0,360.0,0
10,1447,1447,5.0,914.0,1684.0,291.0,1684.0,291.0,0
10,1604,1604,1689.0,914.0,731.0,301.0,731.0,301.0,0
10,1196,1196,2045.0,554.0,382.0,360.0,360.0,382.0,1
10,290,290,2282.0,5.0,120.0,463.5,463.5,120.0,1
11,653,653,5.0,5.0,2054.0,324.0,2054.0,324.0,0
11,1146,1146,5.0,329.0,1918.5,532.0,1918.5,532.0,0
11,1106,1106,5.0,861.0,1747.0,311.0,1747.0,311.0,0
11,959,959,2059.0,5.0,311.0,1114.0,1114.0,311.0,1
