uid,step
756,1
574,2
663,3
385,4
156,5
43,6
94,7
198,8
31,9
326,10
212,11
217,12
785,13
827,14
60,15
1009,16
533,17
81,18
13,19
569,20
788,21
618,22
900,23
539,24
1059,25
332,26
474,27
548,28
355,29
86,30
394,31
282,32
792,33
891,34
68,35
810,36
848,37
628,38
420,39
979,40
375,41
532,42
744,43
265,44
482,45
1050,46
913,47
142,48
1105,49
314,50
381,51
747,52
274,53
706,54
293,55
483,56
948,57
194,58
294,59
484,60
447,61
780,62
748,63
943,64
877,65
959,66
1111,67
875,68
1004,69
1065,70
82,71
147,72
944,73
580,74
219,75
269,76
1000,77
451,78
429,79
378,80
812,81
57,82
773,83
537,84
588,85
175,86
218,87
841,88
469,89
561,90
422,91
283,92
11,93
123,94
631,95
360,96
1061,97
1005,98
300,99
144,100
834,101
939,102
1066,103
272,104
311,105
350,106
813,107
997,108
328,109
683,110
478,111
617,112
1030,113
1031,114
192,115
1067,116
874,117
817,118
912,119
226,120
750,121
724,122
709,123
718,124
850,125
1010,126
1021,127
183,128
572,129
1058,130
1002,131
940,132
621,133
766,134
622,135
1024,136
776,137
401,138
664,139
746,140
35,141
639,142
599,143
207,144
1064,145
74,146
1096,147
725,148
1107,149
942,150
996,151
958,152
659,153
1011,154
660,155
616,156
715,157
779,158
250,159
615,160
96,161
592,162
822,163
711,164
946,165
89,166
186,167
1102,168
487,169
336,170
655,171
27,172
76,173
1071,174
849,175
892,176
656,177
73,178
570,179
551,180
595,181
521,182
597,183
999,184
12,185
75,186
749,187
865,188
238,189
641,190
419,191
540,192
794,193
228,194
421,195
1006,196
805,197
62,198
576,199
102,200
241,201
409,202
798,203
679,204
880,205
790,206
36,207
701,208
952,209
386,210
937,211
489,212
486,213
1104,214
783,215
770,216
811,217
290,218
134,219
104,220
193,221
700,222
740,223
29,224
980,225
66,226
791,227
505,228
699,229
184,230
769,231
894,232
15,233
601,234
1014,235
1028,236
1074,237
423,238
461,239
373,240
287,241
259,242
77,243
153,244
612,245
9,246
506,247
464,248
83,249
452,250
42,251
528,252
845,253
846,254
209,255
180,256
52,257
145,258
964,259
1082,260
608,261
982,262
79,263
876,264
441,265
784,266
557,267
281,268
584,269
485,270
1049,271
178,272
629,273
201,274
728,275
823,276
2,277
741,278
341,279
296,280
619,281
777,282
309,283
413,284
938,285
908,286
245,287
844,288
504,289
713,290
17,291
1068,292
481,293
988,294
583,295
637,296
78,297
1007,298
349,299
989,300
54,301
46,302
1075,303
119,304
607,305
994,306
1089,307
279,308
666,309
1003,310
630,311
896,312
609,313
100,314
10,315
88,316
22,317
926,318
131,319
136,320
297,321
1063,322
549,323
925,324
1056,325
196,326
95,327
503,328
138,329
868,330
164,331
494,332
969,333
261,334
137,335
919,336
235,337
195,338
444,339
531,340
970,341
437,342
863,343
657,344
634,345
334,346
356,347
978,348
571,349
384,350
357,351
585,352
425,353
4,354
118,355
626,356
955,357
442,358
752,359
696,360
881,361
85,362
866,363
1042,364
677,365
998,366
536,367
826,368
132,369
801,370
864,371
847,372
935,373
347,374
260,375
130,376
55,377
712,378
412,379
414,380
435,381
246,382
568,383
1001,384
210,385
807,386
653,387
6,388
463,389
453,390
508,391
7,392
544,393
513,394
16,395
918,396
611,397
415,398
680,399
976,400
825,401
206,402
410,403
965,404
763,405
84,406
559,407
839,408
471,409
127,410
121,411
1039,412
23,413
50,414
541,415
697,416
20,417
885,418
668,419
775,420
161,421
1044,422
247,423
1098,424
109,425
911,426
553,427
686,428
455,429
358,430
240,431
907,432
3,433
333,434
377,435
1060,436
331,437
642,438
765,439
1083,440
651,441
14,442
488,443
735,444
732,445
915,446
150,447
253,448
140,449
764,450
878,451
171,452
276,453
277,454
379,455
587,456
1027,457
433,458
648,459
671,460
761,461
971,462
58,463
155,464
562,465
594,466
524,467
650,468
467,469
53,470
114,471
842,472
632,473
703,474
61,475
418,476
110,477
383,478
404,479
330,480
638,481
1072,482
