board,n_parts,used_area,waste_area,board_area,U
1,6,2662417.25,314382.75,2976800.0,0.8943890251276538
2,7,2839422.0,137378.0,2976800.0,0.9538504434291857
3,4,2782852.0,193948.0,2976800.0,0.9348468153722118
4,5,2748982.5,227817.5,2976800.0,0.9234689935501209
5,3,2703959.5,272840.5,2976800.0,0.9083443630744423
6,7,2858859.5,117940.5,2976800.0,0.9603801061542596
7,6,2843596.0,133204.0,2976800.0,0.9552526202633701
8,7,2860741.25,116058.75,2976800.0,0.961012244692287
9,4,2722340.25,254459.75,2976800.0,0.9145190305025531
10,5,2828324.0,148476.0,2976800.0,0.9501222789572695
11,3,2392714.75,584085.25,2976800.0,0.8037875403117442
12,5,2801414.25,175385.75,2976800.0,0.9410824543133566
13,5,2890731.0,86069.0,2976800.0,0.971086737436173
14,5,2638099.5,338700.5,2976800.0,0.8862199341574846
15,6,2864129.0,112671.0,2976800.0,0.9621502956194571
16,6,2839932.0,136868.0,2976800.0,0.9540217683418436
17,4,2517943.0,458857.0,2976800.0,0.8458556167696856
18,4,2887058.0,89742.0,2976800.0,0.969852862133835
19,7,2869544.75,107255.25,2976800.0,0.9639696150228433
20,6,2903730.0,73070.0,2976800.0,0.9754535071217415
21,5,2772963.0,203837.0,2976800.0,0.9315247917226552
22,6,2889683.5,87116.5,2976800.0,0.9707348495028219
23,4,2759517.0,217283.0,2976800.0,0.9270078607901102
24,5,2778467.0,198333.0,2976800.0,0.9333737570545553
25,4,2691179.0,285621.0,2976800.0,0.9040509943563558
26,6,2855978.1,120821.8999999999,2976800.0,0.9594121539908627
27,5,2696397.0,280403.0,2976800.0,0.9058038833646869
28,7,2730537.0,246263.0,2976800.0,0.9172725745767267
29,6,2643569.0,333231.0,2976800.0,0.8880573098629401
30,4,2825659.75,151140.25,2976800.0,0.9492272742542327
31,6,2837836.75,138963.25,2976800.0,0.9533179084923408
32,7,2817702.5,159097.5,2976800.0,0.9465541857027681
33,6,2817158.25,159641.75,2976800.0,0.946371355146466
34,6,2838238.25,138561.75,2976800.0,0.9534527848696587
35,5,2667216.5,309583.5,2976800.0,0.8960012429454448
36,9,2843495.25,133304.75,2976800.0,0.9552187751948401
37,5,2835696.0,141104.0,2976800.0,0.9525987637731792
38,7,2839377.5,137422.5,2976800.0,0.9538354944907284
39,6,2826536.25,150263.75,2976800.0,0.9495217179521634
40,6,2706188.0,270612.0,2976800.0,0.9090929857565171
41,8,2774714.0,202086.0,2976800.0,0.9321130072561139
42,5,2815224.5,161575.5,2976800.0,0.9457217481859715
43,5,2838056.5,138743.5,2976800.0,0.9533917293738242
44,5,2770264.75,206535.25,2976800.0,0.9306183653587745
45,4,2884939.0,91861.0,2976800.0,0.9691410239183015
46,5,2663492.0,313308.0,2976800.0,0.8947500671862403
47,6,2846335.25,130464.75,2976800.0,0.9561728198065036
48,5,2468154.75,508645.25,2976800.0,0.8291301901370599
49,4,2780300.0,196500.0,2976800.0,0.9339895189465197
50,5,2875240.0,101560.0,2976800.0,0.96588282719699
51,6,2824012.5,152787.5,2976800.0,0.9486739115829078
52,6,2905358.0,71442.0,2976800.0,0.9760004031174415
53,5,2836804.75,139995.25,2976800.0,0.9529712274926095
54,8,2890148.0,86652.0,2976800.0,0.970890889545821
55,5,2776918.25,199881.75,2976800.0,0.9328534836065574
56,6,2872898.5,103901.5,2976800.0,0.9650962442891696
57,4,2682555.0,294245.0,2976800.0,0.9011539236764311
58,5,2714766.0,262034.0,2976800.0,0.9119746036011824
59,4,2776371.5,200428.5,2976800.0,0.9326698132222521
60,6,2712871.5,263928.5,2976800.0,0.9113381819403387
61,6,2802558.5,174241.5,2976800.0,0.9414668435904326
62,8,2907349.75,69450.25,2976800.0,0.9766694940876108
63,7,2883855.0,92945.0,2976800.0,0.9687768744961032
64,7,2854362.5,122437.5,2976800.0,0.9588694235420586
65,8,2827371.0,149429.0,2976800.0,0.9498021365224402
66,8,2884404.0,92396.0,2976800.0,0.9689613007256114
67,8,2827251.25,149548.75,2976800.0,0.9497619087610857
68,9,2867877.5,108922.5,2976800.0,0.9634095337274926
69,8,2842806.0,133994.0,2976800.0,0.954987234614351
70,8,2813025.0,163775.0,2976800.0,0.9449828675087342
71,5,2751399.0,225401.0,2976800.0,0.9242807712980382
72,7,2598834.0,377966.0,2976800.0,0.873029427573233
73,5,2655619.5,321180.5,2976800.0,0.8921054488040849
74,6,2842464.0,134336.0,2976800.0,0.9548723461435098
75,7,2838677.9,138122.1000000001,2976800.0,0.9536004770223058
76,5,2849583.0,127217.0,2976800.0,0.9572638403654932
77,7,2720935.0,255865.0,2976800.0,0.9140469631819403
78,5,2412984.0,563816.0,2976800.0,0.810596613813491
79,6,2745565.0,231235.0,2976800.0,0.9223209486697125
