uid,step
691,1
891,2
765,3
735,4
1105,5
328,6
848,7
401,8
53,9
778,10
597,11
621,12
699,13
131,14
994,15
494,16
1042,17
798,18
300,19
744,20
435,21
794,22
959,23
186,24
863,25
537,26
637,27
833,28
1048,29
1049,30
581,31
865,32
355,33
770,34
183,35
741,36
378,37
228,38
639,39
336,40
86,41
964,42
373,43
332,44
175,45
114,46
531,47
447,48
912,49
890,50
264,51
7,52
780,53
314,54
592,55
601,56
846,57
805,58
626,59
265,60
866,61
915,62
792,63
528,64
481,65
89,66
9,67
913,68
274,69
752,70
121,71
1050,72
622,73
540,74
582,75
683,76
501,77
1030,78
638,79
668,80
404,81
630,82
834,83
521,84
469,85
62,86
192,87
245,88
240,89
505,90
631,91
788,92
1106,93
709,94
881,95
464,96
54,97
655,98
827,99
123,100
412,101
232,102
1096,103
715,104
914,105
193,106
844,107
1039,108
511,109
703,110
1035,111
766,112
50,113
808,114
786,115
988,116
583,117
147,118
1021,119
701,120
544,121
205,122
552,123
569,124
641,125
238,126
81,127
356,128
926,129
562,130
132,131
1103,132
269,133
629,134
6,135
73,136
541,137
980,138
706,139
474,140
194,141
82,142
219,143
1026,144
775,145
1082,146
1028,147
1031,148
35,149
1060,150
612,151
1070,152
823,153
508,154
740,155
896,156
659,157
415,158
680,159
178,160
553,161
841,162
609,163
588,164
970,165
354,166
925,167
1056,168
290,169
29,170
729,171
138,172
807,173
347,174
822,175
718,176
257,177
386,178
720,179
402,180
327,181
519,182
517,183
74,184
666,185
496,186
297,187
826,188
442,189
599,190
357,191
955,192
557,193
978,194
656,195
976,196
27,197
276,198
648,199
171,200
413,201
987,202
761,203
907,204
229,205
686,206
113,207
360,208
545,209
529,210
1092,211
753,212
310,213
515,214
224,215
727,216
927,217
476,218
129,219
664,220
341,221
837,222
523,223
898,224
48,225
46,226
646,227
95,228
1033,229
318,230
575,231
590,232
340,233
543,234
369,235
275,236
674,237
983,238
400,239
351,240
676,241
64,242
203,243
610,244
416,245
215,246
940,247
776,248
559,249
1102,250
653,251
195,252
428,253
607,254
96,255
155,256
226,257
849,258
684,259
725,260
80,261
892,262
924,263
783,264
1032,265
437,266
504,267
130,268
737,269
334,270
23,271
989,272
370,273
1098,274
384,275
576,276
307,277
885,278
651,279
479,280
1083,281
628,282
134,283
2,284
650,285
144,286
600,287
911,288
1034,289
1014,290
785,291
188,292
349,293
979,294
250,295
958,296
252,297
180,298
1063,299
779,300
408,301
777,302
934,303
330,304
595,305
319,306
414,307
594,308
397,309
235,310
85,311
919,312
608,313
539,314
514,315
473,316
93,317
375,318
309,319
110,320
713,321
184,322
1113,323
688,324
835,325
768,326
922,327
801,328
868,329
880,330
260,331
1047,332
287,333
900,334
965,335
243,336
800,337
253,338
990,339
104,340
480,341
311,342
832,343
172,344
383,345
817,346
1000,347
177,348
842,349
20,350
190,351
845,352
587,353
682,354
98,355
935,356
671,357
463,358
279,359
533,360
948,361
333,362
871,363
603,364
272,365
196,366
921,367
266,368
742,369
784,370
632,371
1091,372
21,373
237,374
137,375
323,376
19,377
312,378
568,379
445,380
606,381
538,382
870,383
561,384
331,385
201,386
425,387
1076,388
58,389
1104,390
1086,391
67,392
799,393
1012,394
754,395
513,396
302,397
164,398
679,399
122,400
256,401
459,402
604,403
308,404
563,405
678,406
724,407
411,408
944,409
84,410
932,411
627,412
359,413
346,414
1016,415
524,416
790,417
1074,418
281,419
429,420
405,421
497,422
83,423
933,424
884,425
1089,426
995,427
961,428
506,429
458,430
947,431
860,432
100,433
564,434
929,435
3,436
774,437
993,438
739,439
500,440
66,441
45,442
325,443
339,444
828,445
546,446
317,447
106,448
974,449
585,450
872,451
167,452
273,453
366,454
433,455
858,456
518,457
757,458
462,459
277,460
157,461
782,462
967,463
478,464
1107,465
700,466
705,467
438,468
396,469
173,470
213,471
542,472
368,473
928,474
819,475
441,476
647,477
636,478
971,479
818,480
348,481
957,482
864,483
159,484
1041,485
236,486
565,487
344,488
673,489
1052,490
593,491
547,492
887,493
371,494
797,495
903,496
1114,497
421,498
1093,499
1111,500
150,501
1023,502
367,503
573,504
1055,505
596,506
298,507
182,508
732,509
1046,510
1057,511
611,512
202,513
372,514
634,515
1011,516
380,517
859,518
769,519
352,520
1019,521
763,522
991,523
87,524
174,525
643,526
530,527
254,528
1054,529
242,530
246,531
625,532
795,533
65,534
806,535
161,536
109,537
952,538
362,539
873,540
141,541
292,542
963,543
736,544
869,545
37,546
289,547
923,548
239,549
635,550
361,551
278,552
642,553
199,554
209,555
598,556
223,557
589,558
214,559
854,560
796,561
908,562
772,563
461,564
24,565
453,566
1022,567
16,568
1027,569
962,570
358,571
906,572
820,573
879,574
787,575
969,576
672,577
259,578
1067,579
982,580
1053,581
101,582
633,583
771,584
443,585
821,586
231,587
465,588
424,589
1051,590
168,591
47,592
251,593
316,594
1094,595
124,596
379,597
815,598
707,599
111,600
503,601
374,602
321,603
1085,604
91,605
851,606
148,607
726,608
938,609
406,610
755,611
107,612
76,613
677,614
733,615
905,616
893,617
490,618
382,619
981,620
191,621
1025,622
1037,623
1101,624
446,625
350,626
758,627
294,628
572,629
936,630
448,631
92,632
204,633
233,634
977,635
862,636
432,637
69,638
417,639
34,640
698,641
829,642
681,643
811,644
390,645
985,646
200,647
695,648
10,649
492,650
18,651
708,652
875,653
930,654
267,655
566,656
158,657
660,658
762,659
578,660
146,661
41,662
102,663
675,664
1036,665
63,666
4,667
591,668
953,669
649,670
852,671
901,672
839,673
456,674
126,675
696,676
133,677
888,678
187,679
169,680
904,681
407,682
1018,683
28,684
1077,685
571,686
225,687
789,688
472,689
244,690
56,691
306,692
197,693
920,694
293,695
5,696
112,697
812,698
809,699
262,700
115,701
222,702
802,703
781,704
1108,705
1080,706
280,707
376,708
512,709
1,710
475,711
577,712
39,713
917,714
263,715
322,716
363,717
857,718
731,719
398,720
477,721
299,722
181,723
71,724
1013,725
248,726
136,727
304,728
154,729
838,730
574,731
1084,732
759,733
466,734
692,735
992,736
99,737
140,738
931,739
431,740
721,741
270,742
665,743
17,744
644,745
657,746
291,747
467,748
867,749
320,750
579,751
816,752
288,753
654,754
326,755
345,756
31,757
685,758
470,759
61,760
689,761
60,762
615,763
451,764
32,765
303,766
139,767
831,768
814,769
105,770
711,771
185,772
605,773
258,774
804,775
743,776
704,777
825,778
751,779
1040,780
840,781
135,782
1081,783
966,784
509,785
156,786
899,787
645,788
580,789
26,790
902,791
716,792
329,793
315,794
57,795
305,796
836,797
499,798
942,799
33,800
142,801
984,802
975,803
1087,804
1079,805
669,806
986,807
556,808
535,809
468,810
861,811
520,812
108,813
507,814
937,815
70,816
393,817
434,818
301,819
313,820
125,821
498,822
522,823
55,824
712,825
103,826
152,827
1095,828
439,829
385,830
882,831
939,832
949,833
49,834
567,835
617,836
856,837
227,838
381,839
68,840
419,841
230,842
389,843
667,844
813,845
151,846
117,847
1029,848
149,849
426,850
170,851
853,852
77,853
670,854
207,855
44,856
1088,857
525,858
960,859
710,860
1020,861
284,862
444,863
1068,864
702,865
440,866
491,867
889,868
950,869
756,870
8,871
338,872
847,873
1078,874
221,875
554,876
694,877
25,878
973,879
652,880
1045,881
1044,882
116,883
658,884
728,885
216,886
730,887
558,888
430,889
1090,890
217,891
693,892
502,893
663,894
94,895
391,896
748,897
1075,898
1112,899
295,900
377,901
324,902
120,903
916,904
1097,905
296,906
212,907
1109,908
661,909
909,910
1110,911
767,912
897,913
452,914
883,915
395,916
793,917
286,918
526,919
198,920
38,921
51,922
697,923
954,924
555,925
640,926
527,927
43,928
335,929
918,930
343,931
1043,932
88,933
455,934
420,935
255,936
220,937
268,938
998,939
176,940
570,941
471,942
399,943
247,944
1099,945
427,946
40,947
165,948
179,949
337,950
560,951
59,952
160,953
403,954
662,955
1004,956
586,957
410,958
584,959
218,960
943,961
532,962
79,963
394,964
241,965
791,966
353,967
249,968
423,969
968,970
895,971
624,972
1017,973
1058,974
271,975
364,976
894,977
824,978
163,979
153,980
1072,981
619,982
1024,983
850,984
1061,985
127,986
487,987
1002,988
206,989
773,990
449,991
722,992
516,993
910,994
764,995
422,996
387,997
876,998
1006,999
22,1000
162,1001
1015,1002
843,1003
946,1004
760,1005
886,1006
36,1007
714,1008
13,1009
999,1010
623,1011
602,1012
690,1013
738,1014
78,1015
485,1016
14,1017
97,1018
436,1019
392,1020
719,1021
956,1022
388,1023
945,1024
618,1025
128,1026
342,1027
734,1028
1001,1029
460,1030
30,1031
972,1032
747,1033
489,1034
90,1035
723,1036
488,1037
878,1038
52,1039
1062,1040
12,1041
687,1042
457,1043
803,1044
1007,1045
493,1046
1038,1047
166,1048
119,1049
261,1050
536,1051
486,1052
951,1053
285,1054
613,1055
1073,1056
210,1057
1069,1058
234,1059
1064,1060
548,1061
745,1062
510,1063
830,1064
855,1065
42,1066
365,1067
1009,1068
620,1069
495,1070
189,1071
211,1072
614,1073
941,1074
550,1075
534,1076
616,1077
1008,1078
145,1079
418,1080
208,1081
1003,1082
717,1083
143,1084
450,1085
15,1086
549,1087
1100,1088
409,1089
454,1090
72,1091
118,1092
874,1093
810,1094
484,1095
282,1096
1059,1097
1005,1098
1010,1099
1066,1100
482,1101
746,1102
483,1103
877,1104
750,1105
1071,1106
996,1107
551,1108
75,1109
749,1110
283,1111
1065,1112
997,1113
11,1114
