board,n_parts,used_area,waste_area,board_area,U
1,7,2902897.0,73903.0,2976800.0,0.9751736764310669
2,4,2863160.5,113639.5,2976800.0,0.9618249462510078
3,5,2882820.0,93980.0,2976800.0,0.968429185702768
4,4,2915220.25,61579.75,2976800.0,0.9793134406073636
5,3,2885510.0,91290.0,2976800.0,0.9693328406342381
6,3,2850550.0,126250.0,2976800.0,0.9575886858371405
7,2,2754085.0,222715.0,2976800.0,0.925183082504703
8,3,2881950.0,94850.0,2976800.0,0.9681369255576457
9,4,2900920.0,75880.0,2976800.0,0.9745095404461166
10,4,2890480.0,86320.0,2976800.0,0.9710024187046493
11,3,2868040.0,108760.0,2976800.0,0.9634641225477022
12,3,2814010.0,162790.0,2976800.0,0.9453137597420048
13,2,2777450.0,199350.0,2976800.0,0.9330321150228433
14,3,2749065.0,227735.0,2976800.0,0.9234967078742273
15,6,2904181.0,72619.0,2976800.0,0.9756050120935232
16,4,2855984.0,120816.0,2976800.0,0.9594141359849503
17,3,2796594.0,180206.0,2976800.0,0.9394631819403386
18,6,2849397.0,127403.0,2976800.0,0.9572013571620532
19,3,2511303.0,465497.0,2976800.0,0.8436250335931201
20,2,2403000.0,573800.0,2976800.0,0.8072426766998119
21,5,2792856.9,183943.1000000001,2976800.0,0.9382077734479978
22,3,2833985.0,142815.0,2976800.0,0.9520239854877721
23,4,2844093.5,132706.5,2976800.0,0.9554197460360119
24,5,2805704.25,171095.75,2976800.0,0.9425235991668907
25,4,2735742.25,241057.75,2976800.0,0.9190211804622413
26,4,2883160.5,93639.5,2976800.0,0.9685435702768073
27,5,2890874.75,85925.25,2976800.0,0.9711350275463585
28,3,2733640.0,243160.0,2976800.0,0.9183149690943295
29,4,2867687.0,109113.0,2976800.0,0.9633455388336468
30,3,2588121.0,388679.0,2976800.0,0.8694305966138135
31,4,2910208.0,66592.0,2976800.0,0.9776296694436979
32,3,2805688.75,171111.25,2976800.0,0.9425183922332706
33,4,2766646.0,210154.0,2976800.0,0.9294027143241064
34,6,2907782.0,69018.0,2976800.0,0.9768147003493685
35,5,2830831.0,145969.0,2976800.0,0.9509644584789035
36,4,2880662.0,96138.0,2976800.0,0.9677042461703843
37,4,2842379.0,134421.0,2976800.0,0.9548437919914001
38,4,2854518.0,122282.0,2976800.0,0.9589216608438592
39,5,2921092.0,55708.0,2976800.0,0.981285944638538
40,6,2889864.0,86936.0,2976800.0,0.9707954850846546
41,6,2812734.75,164065.25,2976800.0,0.9448853634775598
42,6,2842895.0,133905.0,2976800.0,0.9550171324912657
43,7,2854153.0,122647.0,2976800.0,0.9587990459553883
44,5,2906289.5,70510.5,2976800.0,0.9763133230314431
45,5,2741742.5,235057.5,2976800.0,0.9210368516527815
46,5,2727757.5,249042.5,2976800.0,0.9163388538027412
47,3,2381920.5,594879.5,2976800.0,0.8001614149422198
48,4,2789574.25,187225.75,2976800.0,0.9371050288900833
49,4,2850138.25,126661.75,2976800.0,0.9574503661650094
50,5,2881151.25,95648.75,2976800.0,0.9678686005106154
51,5,2803907.1,172892.8999999999,2976800.0,0.9419198804084924
52,5,2671037.75,305762.25,2976800.0,0.8972849200483741
53,4,2422664.0,554136.0,2976800.0,0.813848427841978
54,6,2828456.0,148344.0,2976800.0,0.9501666218758398
55,7,2854517.0,122283.0,2976800.0,0.9589213249126579
56,5,2724521.75,252278.25,2976800.0,0.9152518644181672
57,5,2767054.75,209745.25,2976800.0,0.9295400262026337
58,8,2874421.0,102379.0,2976800.0,0.9656076995431335
59,3,1927433.0,1049367.0,2976800.0,0.647484883095942
60,7,2885987.9,90812.1000000001,2976800.0,0.9694933821553345
61,6,2868584.0,108216.0,2976800.0,0.963646869121204
62,6,2888046.0,88754.0,2976800.0,0.9701847621607095
63,6,2841928.5,134871.5,2976800.0,0.954692454985219
64,4,2744821.0,231979.0,2976800.0,0.9220710158559527
65,5,2764515.25,212284.75,2976800.0,0.9286869289169578
66,5,2641922.25,334877.75,2976800.0,0.8875041151572158
67,8,2835685.25,141114.75,2976800.0,0.9525951525127654
68,6,2753457.0,223343.0,2976800.0,0.924972117710293
69,5,2769789.0,207011.0,2976800.0,0.9304585460897609
70,8,2900084.75,76715.25,2976800.0,0.9742289539102392
71,6,2826075.5,150724.5,2976800.0,0.9493669376511691
72,6,2794416.75,182383.25,2976800.0,0.93873177573233
73,7,2867374.75,109425.25,2976800.0,0.9632406443160441
74,6,2835218.75,141581.25,2976800.0,0.9524384406073636
75,7,2892545.5,84254.5,2976800.0,0.9716962846009137
76,6,2776983.5,199816.5,2976800.0,0.9328754031174415
77,6,2843416.0,133384.0,2976800.0,0.9551921526471379
78,7,2828685.5,148114.5,2976800.0,0.9502437180865358
79,8,2835437.0,141363.0,2976800.0,0.9525117575920451
80,7,2786973.5,189826.5,2976800.0,0.9362313558183284
81,7,2810035.5,166764.5,2976800.0,0.9439786011824778
82,7,2822116.0,154684.0,2976800.0,0.9480368180596613
83,6,2835520.0,141280.0,2976800.0,0.9525396398817522
84,7,2791455.0,185345.0,2976800.0,0.9377368314969095
85,9,2860953.0,115847.0,2976800.0,0.9610833781241602
86,7,2826430.0,150370.0,2976800.0,0.9494860252620263
87,7,2864459.25,112340.75,2976800.0,0.9622612368986831
88,7,2863679.25,113120.75,2976800.0,0.9619992105616769
89,6,2809291.0,167509.0,2976800.0,0.9437285004031174
90,7,2825140.0,151660.0,2976800.0,0.9490526740123623
91,7,2838222.0,138578.0,2976800.0,0.9534473259876377
92,7,2785284.0,191516.0,2976800.0,0.9356638000537489
93,7,2730534.0,246266.0,2976800.0,0.9172715667831228
94,8,2845365.9,131434.1000000001,2976800.0,0.9558471848965332
95,8,2870425.0,106375.0,2976800.0,0.9642653184627789
96,10,2882116.0,94684.0,2976800.0,0.9681926901370599
97,7,2805526.0,171274.0,2976800.0,0.9424637194302606
98,7,2813683.25,163116.75,2976800.0,0.9452039942219833
99,7,2673994.0,302806.0,2976800.0,0.8982780166621875
100,8,2779167.0,197633.0,2976800.0,0.9336089088954582
101,7,2723247.75,253552.25,2976800.0,0.9148238880677237
102,8,2805206.0,171594.0,2976800.0,0.9423562214458479
103,9,2853230.0,123570.0,2976800.0,0.9584889814565977
104,9,2810288.0,166512.0,2976800.0,0.9440634238108035
105,11,2809162.0,167638.0,2976800.0,0.943685165278151
106,9,2848810.75,127989.25,2976800.0,0.957004417495297
107,9,2868961.5,107838.5,2976800.0,0.9637736831496909
108,10,2844999.1,131800.8999999999,2976800.0,0.9557239653319001
109,9,2807635.5,169164.5,2976800.0,0.9431723662993818
110,7,2359516.5,617283.5,2976800.0,0.7926352123085192
111,9,2786730.0,190070.0,2976800.0,0.9361495565708143
112,10,2887240.75,89559.25,2976800.0,0.9699142535608707
113,9,2769410.5,207389.5,2976800.0,0.9303313961300725
114,9,2900320.25,76479.75,2976800.0,0.974308065708143
115,9,2766099.5,210700.5,2976800.0,0.9292191279226014
116,8,2638240.0,338560.0,2976800.0,0.8862671324912658
117,10,2785286.5,191513.5,2976800.0,0.9356646398817522
118,8,2635933.0,340867.0,2976800.0,0.8854921392098898
119,8,2746390.5,230409.5,2976800.0,0.9225982598763773
120,9,2627453.5,349346.5,2976800.0,0.8826436105885515
121,10,2868484.0,108316.0,2976800.0,0.9636132760010749
122,10,2612330.0,364470.0,2976800.0,0.8775631550658425
123,11,2774036.25,202763.75,2976800.0,0.9318853298844396
124,10,2821566.5,155233.5,2976800.0,0.9478522238645526
125,10,2830416.25,146383.75,2976800.0,0.9508251310131685
126,9,2499747.5,477052.5,2976800.0,0.8397431805966138
127,11,2815854.0,160946.0,2976800.0,0.9459332168771836
128,10,2751068.5,225731.5,2976800.0,0.9241697460360119
129,10,2710118.5,266681.5,2976800.0,0.9104133633431873
130,10,2608265.3,368534.7000000002,2976800.0,0.8761976955119591
131,12,2702387.6,274412.3999999999,2976800.0,0.9078163128191347
132,10,2801251.25,175548.75,2976800.0,0.9410276975275463
133,13,2691422.0,285378.0,2976800.0,0.9041326256382692
134,12,2592976.5,383823.5,2976800.0,0.8710617105616769
135,11,2770220.75,206579.25,2976800.0,0.9306035843859177
136,12,2803954.35,172845.6499999999,2976800.0,0.9419357531577534
137,13,2677183.5,299616.5,2976800.0,0.899349469228702
138,12,2420373.25,556426.75,2976800.0,0.813078893442623
139,12,2752630.0,224170.0,2976800.0,0.9246943026068262
140,15,2860968.25,115831.75,2976800.0,0.9610885010749799
141,14,2718677.0,258123.0,2976800.0,0.9132884305294275
142,13,2754558.5,222241.5,2976800.0,0.9253421459285138
143,16,2847570.5,129229.5,2976800.0,0.956587778822897
144,14,2738540.0,238260.0,2976800.0,0.9199610319806504
145,16,2623661.0,353139.0,2976800.0,0.8813695915076593
146,15,2426838.0,549962.0,2976800.0,0.8152506046761623
147,15,2312881.5,663918.5,2976800.0,0.7769690607363612
148,18,2650129.0,326671.0,2976800.0,0.8902610185434023
149,21,2613211.0,363589.0,2976800.0,0.877859110454179
150,26,2685495.5,291304.5,2976800.0,0.9021417293738242
151,11,842952.0,2133848.0,2976800.0,0.2831738779897877
