uid,step
54,1
630,2
896,3
1012,4
359,5
261,6
328,7
683,8
478,9
617,10
283,11
913,12
474,13
78,14
420,15
1065,16
785,17
533,18
569,19
900,20
332,21
355,22
792,23
848,24
979,25
744,26
265,27
1050,28
1105,29
314,30
274,31
948,32
447,33
780,34
959,35
1111,36
82,37
147,38
86,39
891,40
219,41
269,42
429,43
628,44
537,45
588,46
375,47
841,48
706,49
378,50
123,51
300,52
272,53
311,54
1030,55
1031,56
817,57
912,58
469,59
724,60
709,61
1021,62
621,63
766,64
194,65
776,66
183,67
401,68
35,69
639,70
1096,71
725,72
958,73
659,74
715,75
779,76
96,77
89,78
186,79
336,80
655,81
849,82
892,83
539,84
631,85
81,86
144,87
595,88
788,89
521,90
592,91
865,92
238,93
540,94
794,95
805,96
62,97
798,98
597,99
641,100
701,101
952,102
679,103
1104,104
783,105
290,106
134,107
740,108
29,109
505,110
576,111
699,112
386,113
770,114
601,115
1014,116
1028,117
461,118
373,119
9,120
506,121
464,122
528,123
845,124
846,125
964,126
1082,127
441,128
784,129
608,130
1049,131
178,132
629,133
823,134
2,135
741,136
777,137
309,138
245,139
844,140
504,141
481,142
988,143
583,144
349,145
989,146
980,147
607,148
994,149
228,150
287,151
557,152
609,153
926,154
131,155
136,156
925,157
1056,158
138,159
868,160
196,161
137,162
919,163
184,164
1089,165
822,166
827,167
235,168
531,169
970,170
164,171
195,172
437,173
634,174
104,175
384,176
334,177
356,178
357,179
585,180
626,181
955,182
881,183
85,184
866,185
297,186
442,187
752,188
826,189
863,190
132,191
801,192
864,193
935,194
347,195
412,196
414,197
807,198
250,199
1102,200
260,201
435,202
653,203
508,204
6,205
7,206
544,207
611,208
415,209
680,210
360,211
513,212
965,213
763,214
494,215
121,216
1039,217
130,218
84,219
23,220
20,221
885,222
668,223
775,224
1098,225
109,226
911,227
358,228
240,229
907,230
834,231
3,232
27,233
656,234
880,235
976,236
331,237
553,238
642,239
765,240
978,241
559,242
735,243
1083,244
732,245
686,246
915,247
50,248
150,249
171,250
276,251
277,252
379,253
433,254
648,255
671,256
425,257
155,258
664,259
562,260
594,261
761,262
53,263
114,264
842,265
524,266
110,267
383,268
404,269
582,270
632,271
703,272
330,273
638,274
511,275
113,276
232,277
302,278
319,279
257,280
428,281
622,282
264,283
307,284
529,285
600,286
753,287
778,288
1091,289
1092,290
737,291
637,292
46,293
95,294
157,295
174,296
646,297
833,298
961,299
1033,300
1034,301
1103,302
177,303
963,304
650,305
837,306
413,307
987,308
405,309
727,310
688,311
678,312
739,313
884,314
542,315
541,316
990,317
341,318
361,319
684,320
161,321
808,322
858,323
275,324
790,325
246,326
224,327
603,328
828,329
587,330
971,331
1019,332
1026,333
463,334
1032,335
93,336
312,337
564,338
786,339
256,340
80,341
122,342
340,343
390,344
501,345
552,346
575,347
589,348
590,349
636,350
832,351
914,352
1035,353
736,354
339,355
167,356
369,357
175,358
561,359
1042,360
98,361
226,362
281,363
568,364
253,365
327,366
402,367
517,368
519,369
695,370
514,371
647,372
201,373
523,374
821,375
1113,376
19,377
172,378
213,379
370,380
400,381
462,382
538,383
887,384
173,385
279,386
351,387
193,388
713,389
546,390
928,391
476,392
927,393
967,394
66,395
346,396
352,397
862,398
1048,399
453,400
651,401
87,402
581,403
860,404
1057,405
67,406
480,407
18,408
154,409
229,410
458,411
543,412
933,413
