board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,62,62,5.0,5.0,1865.5,463.5,1865.5,463.5,0
1,798,798,5.0,468.5,1865.5,463.5,1865.5,463.5,0
1,104,104,5.0,932.0,2345.0,280.0,2345.0,280.0,0
1,330,330,1870.5,5.0,549.0,919.0,919.0,549.0,1
1,11,11,2350.0,924.0,60.0,264.0,264.0,60.0,1
2,415,415,5.0,5.0,1870.5,319.5,1870.5,319.5,0
2,680,680,5.0,324.5,1870.5,319.5,1870.5,319.5,0
2,121,121,5.0,644.0,1888.0,304.0,1888.0,304.0,0
2,775,775,5.0,948.0,2120.0,264.0,2120.0,264.0,0
2,113,113,1893.0,5.0,533.0,929.0,929.0,533.0,1
2,247,247,2125.0,934.0,273.0,264.0,264.0,273.0,1
3,334,334,5.0,5.0,963.0,681.0,963.0,681.0,0
3,384,384,5.0,686.0,2345.0,280.0,2345.0,280.0,0
3,356,356,968.0,5.0,963.0,681.0,963.0,681.0,0
3,790,790,5.0,966.0,2390.0,185.0,2390.0,185.0,0
3,4,4,1931.0,5.0,472.0,652.5,652.5,472.0,1
3,78,78,5.0,1151.0,2000.0,63.0,2000.0,63.0,0
3,551,551,2005.0,1151.0,429.0,60.0,429.0,60.0,0
3,1065,1065,2350.0,657.5,70.0,265.0,265.0,70.0,1
4,785,785,5.0,5.0,2172.5,918.5,2172.5,918.5,0
4,827,827,5.0,923.5,2285.0,289.0,2285.0,289.0,0
4,60,60,2177.5,5.0,251.0,814.0,814.0,251.0,1
4,1009,1009,2290.0,819.0,145.0,380.0,380.0,145.0,1
5,533,533,5.0,5.0,2360.0,800.0,2360.0,800.0,0
5,81,81,5.0,805.0,2299.0,400.0,2299.0,400.0,0
5,13,13,2365.0,5.0,70.0,1113.0,1113.0,70.0,1
6,569,569,5.0,5.0,2360.0,800.0,2360.0,800.0,0
6,788,788,5.0,805.0,2335.0,380.0,2335.0,380.0,0
6,618,618,2365.0,5.0,70.0,1075.0,1075.0,70.0,1
7,900,900,5.0,5.0,2400.0,750.0,2400.0,750.0,0
7,539,539,5.0,755.0,2299.0,415.0,2299.0,415.0,0
8,332,332,5.0,5.0,2390.0,655.0,2390.0,655.0,0
8,474,474,5.0,660.0,2299.0,540.0,2299.0,540.0,0
8,616,616,2304.0,660.0,109.0,469.0,469.0,109.0,1
9,355,355,5.0,5.0,2240.0,684.0,2240.0,684.0,0
9,86,86,5.0,689.0,2340.0,522.0,2340.0,522.0,0
9,394,394,2245.0,5.0,182.0,600.0,600.0,182.0,1
9,282,282,2345.0,605.0,70.0,544.0,544.0,70.0,1
10,792,792,5.0,5.0,2240.0,684.0,2240.0,684.0,0
10,891,891,5.0,689.0,2340.0,522.0,2340.0,522.0,0
10,68,68,2245.0,5.0,180.0,590.0,180.0,590.0,0
10,810,810,2345.0,595.0,70.0,544.0,544.0,70.0,1
11,848,848,5.0,5.0,2240.0,684.0,2240.0,684.0,0
11,628,628,5.0,689.0,2299.0,520.0,2299.0,520.0,0
11,420,420,2304.0,5.0,120.0,1170.0,1170.0,120.0,1
12,979,979,5.0,5.0,2240.0,684.0,2240.0,684.0,0
12,375,375,5.0,689.0,2390.0,495.0,2390.0,495.0,0
12,623,623,2245.0,5.0,183.5,532.0,183.5,532.0,0
13,744,744,5.0,5.0,2333.0,600.0,2333.0,600.0,0
13,265,265,5.0,605.0,2335.0,590.0,2335.0,590.0,0
14,1050,1050,5.0,5.0,2315.0,590.0,2315.0,590.0,0
14,913,913,5.0,595.0,2299.0,590.0,2299.0,590.0,0
14,142,142,2320.0,5.0,109.0,1026.0,1026.0,109.0,1
15,1105,1105,5.0,5.0,2295.0,573.0,2295.0,573.0,0
15,314,314,5.0,578.0,2150.0,590.0,2150.0,590.0,0
15,381,381,2155.0,578.0,262.0,600.0,600.0,262.0,1
16,274,274,5.0,5.0,1852.0,683.0,1852.0,683.0,0
16,706,706,5.0,688.0,2360.0,500.0,2360.0,500.0,0
16,293,293,1857.0,5.0,574.0,667.0,667.0,574.0,1
16,746,746,2365.0,672.0,70.0,403.0,403.0,70.0,1
17,948,948,5.0,5.0,1852.0,683.0,1852.0,683.0,0
17,194,194,5.0,688.0,2335.0,492.0,2335.0,492.0,0
17,294,294,1857.0,5.0,574.0,667.0,667.0,574.0,1
18,447,447,5.0,5.0,2254.0,550.0,2254.0,550.0,0
18,780,780,5.0,555.0,2254.0,550.0,2254.0,550.0,0
19,959,959,5.0,5.0,2254.0,550.0,2254.0,550.0,0
19,1111,1111,5.0,555.0,2254.0,550.0,2254.0,550.0,0
20,82,82,5.0,5.0,2254.0,544.0,2254.0,544.0,0
20,147,147,5.0,549.0,2254.0,544.0,2254.0,544.0,0
21,219,219,5.0,5.0,2250.0,534.0,2250.0,534.0,0
21,269,269,5.0,539.0,2250.0,534.0,2250.0,534.0,0
21,207,207,5.0,1073.0,1451.0,134.0,1451.0,134.0,0
21,943,943,2255.0,5.0,140.0,1135.0,1135.0,140.0,1
21,999,999,1456.0,1073.0,718.0,110.0,718.0,110.0,0
22,429,429,5.0,5.0,2250.0,534.0,2250.0,534.0,0
22,378,378,5.0,539.0,2100.0,560.0,2100.0,560.0,0
22,535,535,2105.0,539.0,297.0,609.7,609.7,297.0,1
22,77,77,5.0,1099.0,1956.0,81.0,1956.0,81.0,0
22,773,773,2255.0,5.0,160.0,480.0,480.0,160.0,1
23,537,537,5.0,5.0,1207.0,983.5,1207.0,983.5,0
23,588,588,1212.0,5.0,1207.0,983.5,1207.0,983.5,0
23,541,541,5.0,988.5,2254.0,204.0,2254.0,204.0,0
24,841,841,5.0,5.0,1360.0,869.0,1360.0,869.0,0
24,469,469,1365.0,5.0,973.5,1187.0,1187.0,973.5,1
24,561,561,5.0,874.0,1260.0,334.0,1260.0,334.0,0
24,422,422,2338.5,5.0,94.0,913.5,913.5,94.0,1
25,123,123,5.0,5.0,1523.5,765.5,1523.5,765.5,0
25,631,631,5.0,770.5,2205.0,419.0,2205.0,419.0,0
25,360,360,1528.5,5.0,782.0,755.0,755.0,782.0,1
25,1004,1004,2310.5,5.0,120.0,1170.0,1170.0,120.0,1
25,1005,1005,2210.0,760.0,80.0,383.0,383.0,80.0,1
26,300,300,5.0,5.0,1523.5,765.5,1523.5,765.5,0
26,144,144,5.0,770.5,2187.0,419.0,2187.0,419.0,0
26,3,3,1528.5,5.0,870.0,633.0,870.0,633.0,0
26,764,764,2192.0,638.0,199.5,531.0,199.5,531.0,0
27,272,272,5.0,5.0,2100.0,554.0,2100.0,554.0,0
27,311,311,5.0,559.0,2100.0,554.0,2100.0,554.0,0
27,350,350,2105.0,5.0,311.0,1155.5,1155.5,311.0,1
27,748,748,5.0,1113.0,1970.0,100.0,1970.0,100.0,0
28,328,328,5.0,5.0,2100.0,554.0,2100.0,554.0,0
28,683,683,5.0,559.0,2100.0,554.0,2100.0,554.0,0
28,478,478,2105.0,5.0,311.0,1155.5,1155.5,311.0,1
28,875,875,5.0,1113.0,1970.0,100.0,1970.0,100.0,0
29,1030,1030,5.0,5.0,2100.0,554.0,2100.0,554.0,0
29,1031,1031,5.0,559.0,2100.0,554.0,2100.0,554.0,0
29,599,599,2105.0,5.0,298.5,1133.5,298.5,1133.5,0
29,1067,1067,5.0,1113.0,1770.0,100.0,1770.0,100.0,0
29,874,874,1775.0,1138.5,621.0,70.0,621.0,70.0,0
30,817,817,5.0,5.0,2000.0,580.0,2000.0,580.0,0
30,912,912,5.0,585.0,2000.0,580.0,2000.0,580.0,0
30,226,226,2005.0,5.0,383.0,1080.0,1080.0,383.0,1
31,724,724,5.0,5.0,1187.0,973.5,1187.0,973.5,0
31,709,709,1192.0,5.0,1215.0,947.5,1215.0,947.5,0
31,425,425,5.0,978.5,2254.0,230.0,2254.0,230.0,0
31,118,118,2259.0,952.5,163.5,260.0,163.5,260.0,0
32,1021,1021,5.0,5.0,1215.0,947.5,1215.0,947.5,0
32,183,183,1220.0,5.0,1073.0,1062.5,1073.0,1062.5,0
32,572,572,5.0,952.5,1133.0,262.0,1133.0,262.0,0
33,621,621,5.0,5.0,1908.0,603.0,1908.0,603.0,0
33,766,766,5.0,608.0,1908.0,603.0,1908.0,603.0,0
33,622,622,1913.0,5.0,510.0,964.0,964.0,510.0,1
33,1024,1024,1913.0,969.0,520.0,226.0,226.0,520.0,1
34,776,776,5.0,5.0,2335.0,492.0,2335.0,492.0,0
34,401,401,5.0,497.0,1610.5,707.5,1610.5,707.5,0
34,664,664,1615.5,497.0,784.0,660.0,784.0,660.0,0
34,749,749,2340.0,5.0,60.0,384.0,384.0,60.0,1
35,35,35,5.0,5.0,2100.0,534.0,2100.0,534.0,0
35,639,639,5.0,539.0,2100.0,534.0,2100.0,534.0,0
