uid,step
62,1
798,2
104,3
330,4
11,5
415,6
680,7
121,8
775,9
113,10
247,11
334,12
384,13
356,14
790,15
4,16
78,17
785,18
533,19
569,20
900,21
332,22
355,23
792,24
848,25
979,26
744,27
265,28
1050,29
913,30
1105,31
314,32
274,33
948,34
474,35
447,36
780,37
959,38
1111,39
82,40
147,41
86,42
891,43
219,44
269,45
429,46
628,47
537,48
588,49
375,50
841,51
706,52
378,53
123,54
300,55
272,56
311,57
328,58
683,59
1030,60
1031,61
817,62
912,63
469,64
724,65
709,66
1021,67
621,68
766,69
194,70
776,71
183,72
401,73
35,74
639,75
1096,76
725,77
958,78
659,79
715,80
779,81
96,82
89,83
186,84
336,85
655,86
849,87
892,88
539,89
631,90
81,91
144,92
595,93
788,94
521,95
592,96
865,97
238,98
540,99
794,100
805,101
597,102
641,103
701,104
952,105
679,106
1104,107
783,108
290,109
134,110
740,111
29,112
505,113
576,114
699,115
386,116
770,117
601,118
1014,119
1028,120
461,121
373,122
9,123
506,124
464,125
528,126
845,127
846,128
964,129
1082,130
441,131
784,132
608,133
1049,134
178,135
629,136
823,137
2,138
741,139
777,140
309,141
245,142
844,143
504,144
481,145
988,146
583,147
349,148
989,149
980,150
607,151
994,152
228,153
287,154
557,155
54,156
630,157
896,158
609,159
926,160
131,161
136,162
925,163
1056,164
138,165
868,166
196,167
137,168
919,169
184,170
1089,171
822,172
827,173
235,174
531,175
970,176
164,177
195,178
437,179
634,180
357,181
585,182
626,183
955,184
881,185
85,186
866,187
297,188
442,189
752,190
826,191
863,192
132,193
801,194
864,195
935,196
347,197
412,198
414,199
807,200
250,201
1102,202
260,203
435,204
653,205
508,206
6,207
7,208
544,209
611,210
360,211
513,212
965,213
763,214
494,215
1039,216
130,217
84,218
23,219
20,220
885,221
668,222
1098,223
109,224
911,225
358,226
240,227
907,228
834,229
3,230
27,231
656,232
880,233
976,234
331,235
553,236
642,237
765,238
978,239
559,240
735,241
1083,242
732,243
686,244
915,245
50,246
150,247
171,248
276,249
277,250
379,251
433,252
648,253
671,254
425,255
155,256
664,257
562,258
594,259
761,260
53,261
114,262
842,263
524,264
110,265
383,266
404,267
582,268
632,269
703,270
638,271
511,272
232,273
302,274
319,275
257,276
428,277
622,278
264,279
307,280
529,281
600,282
753,283
778,284
1091,285
1092,286
737,287
637,288
46,289
95,290
157,291
174,292
646,293
833,294
961,295
1033,296
1034,297
1103,298
177,299
963,300
650,301
837,302
413,303
987,304
405,305
727,306
688,307
678,308
739,309
884,310
542,311
541,312
990,313
341,314
361,315
684,316
161,317
808,318
858,319
275,320
246,321
224,322
603,323
828,324
587,325
971,326
1019,327
1026,328
463,329
1032,330
93,331
312,332
564,333
786,334
256,335
80,336
122,337
340,338
390,339
501,340
552,341
575,342
589,343
590,344
636,345
832,346
914,347
1035,348
736,349
1012,350
339,351
167,352
369,353
175,354
561,355
1042,356
98,357
226,358
281,359
568,360
253,361
327,362
402,363
517,364
519,365
695,366
514,367
647,368
201,369
523,370
821,371
1113,372
19,373
172,374
213,375
370,376
400,377
462,378
538,379
887,380
173,381
279,382
351,383
193,384
713,385
546,386
928,387
476,388
927,389
967,390
66,391
346,392
352,393
862,394
1048,395
453,396
651,397
87,398
581,399
860,400
1057,401
67,402
480,403
18,404
154,405
229,406
458,407
543,408
933,409
293,410
294,411
424,412
565,413
932,414
934,415
1046,416
1047,417
333,418
729,419
674,420
806,421
871,422
983,423
252,424
459,425
473,426
606,427
800,428
870,429
625,430
720,431
819,432
1011,433
64,434
676,435
199,436
47,437
239,438
48,439
129,440
243,441
563,442
947,443
835,444
974,445
188,446
769,447
924,448
408,449
497,450
782,451
406,452
1106,453
71,454
545,455
742,456
266,457
202,458
350,459
478,460
797,461
362,462
890,463
344,464
479,465
923,466
718,467
445,468
323,469
953,470
192,471
599,472
133,473
872,474
1107,475
325,476
898,477
100,478
407,479
604,480
754,481
666,482
1027,483
962,484
1022,485
1023,486
111,487
159,488
318,489
598,490
203,491
204,492
610,493
673,494
675,495
861,496
929,497
205,498
982,499
21,500
92,501
37,502
215,503
242,504
380,505
733,506
774,507
993,508
1053,509
191,510
289,511
214,512
470,513
593,514
682,515
382,516
852,517
411,518
795,519
397,520
901,521
273,522
374,523
1041,524
58,525
496,526
63,527
985,528
124,529
231,530
446,531
726,532
859,533
922,534
1052,535
359,536
635,537
348,538
547,539
873,540
416,541
809,542
921,543
991,544
1051,545
500,546
169,547
1076,548
572,549
45,550
292,551
573,552
627,553
771,554
906,555
24,556
317,557
372,558
768,559
227,560
236,561
1094,562
698,563
316,564
371,565
578,566
787,567
1025,568
367,569
759,570
757,571
815,572
1055,573
368,574
1101,575
944,576
1000,577
5,578
69,579
16,580
91,581
814,582
903,583
65,584
672,585
1054,586
76,587
421,588
811,589
1074,590
905,591
660,592
209,593
938,594
908,595
973,596
721,597
1016,598
957,599
354,600
366,601
643,602
190,603
197,604
571,605
83,606
126,607
148,608
168,609
448,610
522,611
772,612
818,613
820,614
1085,615
518,616
141,617
182,618
681,619
708,620
1110,621
200,622
930,623
254,624
888,625
107,626
439,627
758,628
904,629
879,630
596,631
649,632
677,633
280,634
530,635
222,636
731,637
10,638
936,639
804,640
995,641
345,642
477,643
799,644
869,645
26,646
39,647
185,648
