uid,step
81,1
1067,2
608,3
384,4
1977,5
829,6
2137,7
1500,8
2312,9
1516,10
184,11
1371,12
1595,13
903,14
547,15
519,16
343,17
930,18
1004,19
2371,20
607,21
2549,22
119,23
369,24
1302,25
471,26
1982,27
1675,28
2304,29
1843,30
170,31
2033,32
956,33
454,34
1091,35
1023,36
2741,37
1370,38
1972,39
340,40
2614,41
2492,42
2138,43
492,44
599,45
1156,46
546,47
1589,48
1639,49
883,50
2664,51
2329,52
1848,53
468,54
1409,55
659,56
775,57
992,58
827,59
1495,60
2536,61
954,62
847,63
41,64
952,65
2199,66
1596,67
2335,68
484,69
1590,70
2682,71
144,72
2668,73
2697,74
2640,75
2027,76
2696,77
1238,78
1046,79
603,80
1947,81
1240,82
702,83
145,84
535,85
855,86
283,87
752,88
837,89
831,90
1175,91
2380,92
953,93
1237,94
834,95
2593,96
1805,97
2665,98
1835,99
1068,100
1999,101
1838,102
832,103
1263,104
172,105
700,106
1264,107
998,108
996,109
487,110
530,111
2309,112
614,113
2191,114
1619,115
1631,116
401,117
2427,118
2545,119
1930,120
866,121
836,122
350,123
2192,124
1260,125
1669,126
199,127
773,128
24,129
1376,130
995,131
538,132
456,133
1430,134
1242,135
1351,136
2311,137
1615,138
370,139
543,140
1836,141
1591,142
2550,143
2063,144
2533,145
816,146
1105,147
2423,148
1239,149
1842,150
2106,151
892,152
886,153
1951,154
1953,155
887,156
539,157
1070,158
1738,159
1354,160
2547,161
2577,162
1488,163
1919,164
711,165
1177,166
610,167
2669,168
400,169
1834,170
1097,171
1222,172
157,173
1970,174
266,175
949,176
1479,177
1126,178
1552,179
1034,180
31,181
2495,182
2504,183
1720,184
1487,185
2133,186
1584,187
1593,188
2086,189
770,190
55,191
663,192
171,193
2305,194
904,195
27,196
1124,197
2187,198
2213,199
1466,200
908,201
2722,202
1939,203
2649,204
534,205
880,206
999,207
1080,208
1454,209
2753,210
2205,211
53,212
2718,213
1103,214
1462,215
579,216
846,217
1760,218
2552,219
734,220
1752,221
463,222
2196,223
905,224
1353,225
1414,226
514,227
69,228
22,229
587,230
713,231
667,232
1485,233
1457,234
738,235
1585,236
1946,237
2174,238
1244,239
1854,240
2416,241
257,242
931,243
2425,244
2567,245
1045,246
1787,247
997,248
2193,249
1855,250
43,251
638,252
540,253
2209,254
2457,255
517,256
1133,257
1475,258
162,259
1123,260
772,261
395,262
1786,263
925,264
1828,265
991,266
884,267
984,268
1559,269
2181,270
902,271
2422,272
612,273
1681,274
1870,275
2273,276
1374,277
28,278
958,279
430,280
444,281
2420,282
993,283
2307,284
830,285
624,286
693,287
2255,288
398,289
1373,290
2426,291
2197,292
942,293
1269,294
2267,295
613,296
473,297
881,298
2424,299
1297,300
2012,301
2604,302
833,303
1106,304
1355,305
2736,306
2748,307
625,308
1460,309
2310,310
1950,311
2805,312
385,313
77,314
2743,315
2430,316
2583,317
1491,318
2075,319
2411,320
2185,321
2666,322
2702,323
2556,324
2607,325
2586,326
2277,327
929,328
396,329
1546,330
2014,331
1599,332
611,333
1349,334
955,335
774,336
2738,337
740,338
1253,339
2087,340
2421,341
778,342
94,343
783,344
1683,345
2058,346
2100,347
421,348
2265,349
1170,350
932,351
210,352
2328,353
690,354
366,355
2061,356
1259,357
2337,358
1733,359
1739,360
98,361
2306,362
990,363
2067,364
466,365
29,366
2169,367
2208,368
2816,369
2777,370
542,371
2704,372
2212,373
2278,374
1648,375
1318,376
2359,377
1225,378
1305,379
1974,380
408,381
105,382
1830,383
8,384
1483,385
2699,386
2700,387
951,388
2382,389
1698,390
459,391
680,392
2237,393
641,394
1234,395
23,396
399,397
2471,398
2119,399
288,400
811,401
2122,402
968,403
1568,404
556,405
2482,406
1472,407
1652,408
174,409
220,410
470,411
907,412
776,413
2139,414
1041,415
1100,416
2303,417
1463,418
1481,419
1569,420
1332,421
1582,422
888,423
1241,424
1261,425
1104,426
2198,427
545,428
2070,429
2519,430
1592,431
2428,432
2701,433
397,434
2543,435
25,436
469,437
695,438
1751,439
2631,440
828,441
2551,442
994,443
2760,444
2076,445
2431,446
1184,447
2703,448
1243,449
