board,n_parts,used_area,waste_area,board_area,U
1,5,2901985.0,74815.0,2976800.0,0.9748673071754904
2,3,2866278.0,110522.0,2976800.0,0.9628722117710293
3,3,2839329.0,137471.0,2976800.0,0.9538192018274657
4,4,2863709.0,113091.0,2976800.0,0.9620092045149153
5,3,2883293.0,93507.0,2976800.0,0.9685880811609783
6,3,2879163.0,97637.0,2976800.0,0.9672006852996506
7,3,2890172.0,86628.0,2976800.0,0.970898951894652
8,3,2874592.0,102208.0,2976800.0,0.9656651437785542
9,3,2881557.0,95243.0,2976800.0,0.9680049045955388
10,3,2740137.0,236663.0,2976800.0,0.9204975141091104
11,3,2884845.0,91955.0,2976800.0,0.9691094463853803
12,2,2903550.0,73250.0,2976800.0,0.9753930395055093
13,2,2889120.0,87680.0,2976800.0,0.9705455522708949
14,3,2830757.0,146043.0,2976800.0,0.9509395995700081
15,3,2916050.0,60750.0,2976800.0,0.979592179521634
16,2,2924570.0,52230.0,2976800.0,0.9824543133566246
17,3,2835926.0,140874.0,2976800.0,0.9526760279494759
18,2,2880000.0,96800.0,2976800.0,0.9674818597151303
19,2,2880000.0,96800.0,2976800.0,0.9674818597151303
20,2,2880000.0,96800.0,2976800.0,0.9674818597151303
21,3,2858400.0,118400.0,2976800.0,0.9602257457672668
22,3,2824010.0,152790.0,2976800.0,0.9486730717549046
23,4,2910968.0,65832.0,2976800.0,0.9778849771566783
24,4,2886420.0,90380.0,2976800.0,0.969638538027412
25,4,2869484.5,107315.5,2976800.0,0.9639493751679656
26,4,2836240.25,140559.75,2976800.0,0.9527815943294813
27,3,2740524.25,236275.75,2976800.0,0.92062760346681
28,3,2740524.25,236275.75,2976800.0,0.92062760346681
29,6,2893671.0,83129.0,2976800.0,0.9720743751679656
30,6,2891196.0,85604.0,2976800.0,0.971242945444773
31,7,2914196.0,62604.0,2976800.0,0.9789693630744424
32,6,2883838.0,92962.0,2976800.0,0.9687711636656813
33,7,2825770.0,151030.0,2976800.0,0.9492643106691749
34,2,2656128.0,320672.0,2976800.0,0.8922762698199409
35,2,2651928.0,324872.0,2976800.0,0.890865358774523
36,2,2645400.0,331400.0,2976800.0,0.888672399892502
37,2,2614880.0,361920.0,2976800.0,0.878419779629132
38,3,2660594.5,316205.5,2976800.0,0.8937767065305026
39,2,2593920.0,382880.0,2976800.0,0.871378661650094
40,2,2584500.0,392300.0,2976800.0,0.8682141897339425
41,5,2873140.0,103660.0,2976800.0,0.9651773716742811
