board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,2101,2101,5.0,5.0,2372.0,100.0,2372.0,100.0,0
1,2200,2200,5.0,105.0,2295.0,830.0,2295.0,830.0,0
1,665,665,5.0,935.0,1641.0,279.0,1641.0,279.0,0
1,1764,1764,1646.0,935.0,778.0,272.0,272.0,778.0,1
1,1857,1857,2300.0,105.0,120.0,754.0,754.0,120.0,1
2,1212,1212,5.0,5.0,1938.0,1144.0,1938.0,1144.0,0
2,460,460,1943.0,5.0,450.0,1124.0,450.0,1124.0,0
2,2255,2255,5.0,1149.0,2313.0,62.0,2313.0,62.0,0
3,494,494,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
3,506,506,1868.0,5.0,543.0,1179.0,1179.0,543.0,1
3,1979,1979,5.0,1129.0,1752.0,60.0,1752.0,60.0,0
4,1454,1454,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
4,2424,2424,1868.0,5.0,543.0,1179.0,1179.0,543.0,1
4,1740,1740,5.0,1129.0,1486.0,70.0,1486.0,70.0,0
4,2105,2105,1491.0,1129.0,364.0,70.0,364.0,70.0,0
5,1946,1946,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
5,1074,1074,1868.0,5.0,563.0,1107.0,1107.0,563.0,1
5,2332,2332,5.0,1129.0,2372.0,70.0,2372.0,70.0,0
6,1953,1953,5.0,5.0,1863.0,1124.0,1863.0,1124.0,0
6,1787,1787,1868.0,5.0,563.0,1107.0,1107.0,563.0,1
6,1743,1743,5.0,1129.0,2313.0,70.0,2313.0,70.0,0
7,77,77,5.0,5.0,2320.0,683.0,2320.0,683.0,0
7,163,163,5.0,688.0,2373.0,524.0,2373.0,524.0,0
7,1279,1279,2325.0,5.0,105.0,592.0,592.0,105.0,1
8,1699,1699,5.0,5.0,2320.0,677.0,2320.0,677.0,0
8,1091,1091,5.0,682.0,2373.0,524.0,2373.0,524.0,0
8,172,172,2325.0,5.0,110.0,550.0,550.0,110.0,1
9,1528,1528,5.0,5.0,2295.0,683.0,2295.0,683.0,0
9,1092,1092,5.0,688.0,2373.0,524.0,2373.0,524.0,0
9,1676,1676,2300.0,5.0,132.0,535.0,132.0,535.0,0
10,1980,1980,5.0,5.0,2295.0,683.0,2295.0,683.0,0
10,348,348,5.0,688.0,2398.0,474.0,2398.0,474.0,0
10,2107,2107,2300.0,5.0,80.0,450.0,450.0,80.0,1
11,1875,1875,5.0,5.0,1952.0,798.0,1952.0,798.0,0
11,141,141,5.0,803.0,2380.0,404.0,2380.0,404.0,0
11,1692,1692,1957.0,5.0,473.0,773.0,773.0,473.0,1
12,990,990,5.0,5.0,2395.0,650.0,2395.0,650.0,0
12,1726,1726,5.0,655.0,2405.0,560.0,2405.0,560.0,0
