uid,step
2101,1
1212,2
494,3
1454,4
1946,5
1953,6
2200,7
77,8
1699,9
1528,10
1980,11
1875,12
990,13
1892,14
19,15
624,16
227,17
1388,18
653,19
207,20
632,21
681,22
924,23
1318,24
1964,25
1283,26
518,27
2148,28
1041,29
502,30
1389,31
718,32
2270,33
1442,34
401,35
1527,36
1726,37
215,38
970,39
983,40
1175,41
1305,42
1529,43
1672,44
1920,45
108,46
1056,47
1716,48
698,49
699,50
194,51
1030,52
690,53
2391,54
2116,55
1115,56
2276,57
746,58
1039,59
1968,60
408,61
711,62
697,63
1034,64
1466,65
407,66
724,67
873,68
926,69
1019,70
1658,71
1879,72
1916,73
1913,74
1923,75
2095,76
2153,77
839,78
124,79
539,80
1357,81
603,82
1418,83
1612,84
2277,85
1536,86
25,87
1100,88
1868,89
145,90
831,91
1755,92
1507,93
658,94
1042,95
1838,96
256,97
319,98
412,99
1625,100
571,101
118,102
1310,103
2350,104
778,105
1514,106
163,107
1091,108
1092,109
485,110
516,111
641,112
1181,113
1608,114
1914,115
1924,116
2130,117
266,118
836,119
475,120
830,121
1151,122
1766,123
1919,124
2073,125
2074,126
2078,127
2094,128
1440,129
783,130
1364,131
2338,132
1644,133
233,134
479,135
1196,136
726,137
1217,138
1464,139
559,140
1728,141
1935,142
2385,143
359,144
1506,145
1594,146
2240,147
917,148
981,149
576,150
1531,151
1545,152
1606,153
2034,154
2143,155
191,156
505,157
936,158
1114,159
1451,160
1504,161
1876,162
467,163
646,164
1945,165
1846,166
2121,167
205,168
727,169
1174,170
1238,171
1443,172
1515,173
1516,174
2071,175
2294,176
2360,177
226,178
2087,179
1093,180
1111,181
348,182
1356,183
2120,184
2236,185
2246,186
1127,187
1133,188
1134,189
1492,190
1646,191
1922,192
49,193
258,194
534,195
654,196
859,197
921,198
1239,199
1272,200
1498,201
2384,202
1965,203
450,204
739,205
1079,206
1191,207
1261,208
1439,209
1812,210
2090,211
2250,212
2251,213
2287,214
1565,215
97,216
572,217
573,218
867,219
1268,220
2352,221
2136,222
2355,223
103,224
147,225
195,226
290,227
294,228
322,229
332,230
444,231
490,232
491,233
620,234
908,235
1033,236
1046,237
1204,238
1385,239
1467,240
1552,241
1628,242
1794,243
1940,244
2047,245
2137,246
2392,247
193,248
965,249
1486,250
1600,251
78,252
1368,253
684,254
2190,255
1478,256
1785,257
2135,258
2262,259
1878,260
2426,261
1733,262
56,263
422,264
680,265
2194,266
2045,267
347,268
391,269
363,270
676,271
421,272
731,273
2086,274
2125,275
2411,276
353,277
262,278
743,279
821,280
890,281
1719,282
801,283
509,284
1849,285
2401,286
744,287
1485,288
2380,289
2406,290
816,291
973,292
6,293
489,294
1358,295
677,296
2388,297
1983,298
15,299
81,300
1307,301
260,302
2225,303
91,304
93,305
486,306
824,307
877,308
881,309
1249,310
1634,311
1779,312
1780,313
1216,314
1234,315
1052,316
1517,317
1484,318
1958,319
1810,320
2019,321
324,322
868,323
1499,324
437,325
895,326
2092,327
141,328
1020,329
1459,330
1533,331
1621,332
1638,333
2169,334
265,335
286,336
9,337
361,338
1900,339
1474,340
1392,341
1609,342
851,343
102,344
666,345
2152,346
1220,347
713,348
1847,349
2226,350
2075,351
1428,352
581,353
1566,354
638,355
846,356
119,357
1548,358
857,359
1654,360
1989,361
644,362
720,363
905,364
1630,365
2368,366
986,367
1647,368
804,369
1757,370
2346,371
