board,uid,pid_raw,x,y,w,h,w0,h0,rotated
1,54,54,5.0,5.0,2120.0,330.0,2120.0,330.0,0
1,630,630,5.0,335.0,2120.0,330.0,2120.0,330.0,0
1,896,896,5.0,665.0,2033.5,342.0,2033.5,342.0,0
1,1012,1012,5.0,1007.0,2142.0,200.0,2142.0,200.0,0
1,666,666,2147.0,5.0,283.0,1164.0,1164.0,283.0,1
1,1065,1065,2038.5,665.0,70.0,265.0,265.0,70.0,1
2,62,62,5.0,5.0,1865.5,463.5,1865.5,463.5,0
2,798,798,5.0,468.5,1865.5,463.5,1865.5,463.5,0
2,104,104,5.0,932.0,2345.0,280.0,2345.0,280.0,0
2,330,330,1870.5,5.0,549.0,919.0,919.0,549.0,1
2,11,11,2350.0,924.0,60.0,264.0,264.0,60.0,1
3,785,785,5.0,5.0,2172.5,918.5,2172.5,918.5,0
3,827,827,5.0,923.5,2285.0,289.0,2285.0,289.0,0
3,60,60,2177.5,5.0,251.0,814.0,814.0,251.0,1
3,1009,1009,2290.0,819.0,145.0,380.0,380.0,145.0,1
4,533,533,5.0,5.0,2360.0,800.0,2360.0,800.0,0
4,81,81,5.0,805.0,2299.0,400.0,2299.0,400.0,0
4,13,13,2365.0,5.0,70.0,1113.0,1113.0,70.0,1
5,569,569,5.0,5.0,2360.0,800.0,2360.0,800.0,0
5,788,788,5.0,805.0,2335.0,380.0,2335.0,380.0,0
5,618,618,2365.0,5.0,70.0,1075.0,1075.0,70.0,1
6,900,900,5.0,5.0,2400.0,750.0,2400.0,750.0,0
6,539,539,5.0,755.0,2299.0,415.0,2299.0,415.0,0
7,332,332,5.0,5.0,2390.0,655.0,2390.0,655.0,0
7,474,474,5.0,660.0,2299.0,540.0,2299.0,540.0,0
7,1059,1059,2304.0,660.0,122.0,318.5,318.5,122.0,1
8,355,355,5.0,5.0,2240.0,684.0,2240.0,684.0,0
8,86,86,5.0,689.0,2340.0,522.0,2340.0,522.0,0
8,394,394,2245.0,5.0,182.0,600.0,600.0,182.0,1
8,282,282,2345.0,605.0,70.0,544.0,544.0,70.0,1
9,792,792,5.0,5.0,2240.0,684.0,2240.0,684.0,0
9,891,891,5.0,689.0,2340.0,522.0,2340.0,522.0,0
9,68,68,2245.0,5.0,180.0,590.0,180.0,590.0,0
9,810,810,2345.0,595.0,70.0,544.0,544.0,70.0,1
