uid,step
54,1
630,2
896,3
1012,4
666,5
1065,6
62,7
798,8
104,9
330,10
11,11
785,12
533,13
569,14
900,15
332,16
355,17
792,18
848,19
979,20
744,21
265,22
1050,23
913,24
1105,25
314,26
274,27
948,28
474,29
447,30
780,31
959,32
1111,33
82,34
147,35
86,36
891,37
219,38
269,39
429,40
628,41
537,42
588,43
375,44
841,45
706,46
378,47
123,48
300,49
272,50
311,51
328,52
683,53
1030,54
1031,55
817,56
912,57
469,58
724,59
709,60
1021,61
621,62
766,63
194,64
776,65
183,66
401,67
35,68
639,69
1096,70
725,71
958,72
659,73
715,74
779,75
96,76
89,77
186,78
336,79
655,80
849,81
892,82
539,83
631,84
81,85
144,86
595,87
788,88
521,89
592,90
865,91
238,92
540,93
794,94
805,95
597,96
641,97
701,98
952,99
679,100
1104,101
783,102
290,103
134,104
740,105
29,106
505,107
576,108
699,109
386,110
770,111
601,112
1014,113
1028,114
461,115
373,116
9,117
506,118
464,119
528,120
845,121
846,122
964,123
1082,124
441,125
784,126
608,127
1049,128
178,129
629,130
823,131
2,132
741,133
777,134
309,135
245,136
844,137
504,138
481,139
988,140
583,141
349,142
989,143
980,144
607,145
994,146
228,147
287,148
557,149
609,150
926,151
131,152
136,153
925,154
1056,155
138,156
868,157
196,158
137,159
919,160
184,161
1089,162
822,163
827,164
235,165
531,166
970,167
164,168
195,169
437,170
634,171
384,172
334,173
356,174
357,175
585,176
626,177
955,178
881,179
85,180
866,181
297,182
442,183
752,184
826,185
863,186
132,187
801,188
864,189
935,190
347,191
412,192
414,193
807,194
250,195
1102,196
260,197
435,198
653,199
508,200
6,201
7,202
544,203
611,204
415,205
680,206
360,207
513,208
965,209
763,210
494,211
121,212
1039,213
130,214
84,215
23,216
20,217
885,218
668,219
775,220
1098,221
109,222
911,223
358,224
240,225
907,226
834,227
3,228
27,229
656,230
880,231
976,232
331,233
553,234
642,235
765,236
978,237
559,238
735,239
1083,240
732,241
686,242
915,243
50,244
150,245
171,246
276,247
277,248
379,249
433,250
648,251
671,252
425,253
155,254
664,255
562,256
594,257
761,258
53,259
114,260
842,261
524,262
110,263
383,264
404,265
582,266
632,267
703,268
638,269
511,270
113,271
232,272
302,273
319,274
257,275
428,276
622,277
264,278
307,279
529,280
600,281
753,282
778,283
1091,284
1092,285
737,286
637,287
46,288
95,289
157,290
174,291
646,292
833,293
961,294
1033,295
1034,296
1103,297
177,298
963,299
650,300
837,301
413,302
987,303
405,304
727,305
688,306
678,307
739,308
884,309
542,310
541,311
990,312
341,313
361,314
684,315
161,316
808,317
858,318
275,319
790,320
246,321
224,322
603,323
828,324
587,325
971,326
1019,327
1026,328
463,329
1032,330
93,331
312,332
564,333
786,334
256,335
80,336
122,337
340,338
390,339
501,340
552,341
575,342
589,343
590,344
636,345
832,346
914,347
1035,348
736,349
339,350
167,351
369,352
175,353
561,354
1042,355
98,356
226,357
281,358
568,359
253,360
327,361
402,362
517,363
519,364
695,365
514,366
647,367
201,368
523,369
821,370
1113,371
19,372
172,373
213,374
370,375
400,376
462,377
538,378
887,379
173,380
279,381
351,382
193,383
713,384
546,385
928,386
476,387
927,388
967,389
66,390
346,391
352,392
862,393
1048,394
453,395
651,396
87,397
581,398
860,399
1057,400
67,401
480,402
18,403
154,404
229,405
458,406
543,407
933,408
293,409
294,410
424,411
565,412
932,413
